queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action	batch_id	review_priority	source_review_role	shards	queries	source_path	source_line
BTR-00060	LIMEN-SIGNAL-324BC7764828B777	candidate_for_parent_source_extraction	en local archived metadata	https://writer.com/product/action-agent/ ; https://writer.com/product/ai-studio/ ; https://writer.com/trust/ ; https://writer.com/product/knowledge-graph/	Writer AI Agents	Local archived English metadata lists concrete public source URLs and provenance/control cues; not a translation claim.	provider source-surface cues only; no safety/compliance/legal adequacy claim	candidate for parent source extraction with archived snapshots	20260616T120553Z-lane4-482076ed	P1_official_or_regulator_review	translation_sensitive_surface_pointer	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	44
BTR-00067	LIMEN-SIGNAL-34F19B81CEEB4934	candidate_for_parent_source_extraction	en local archived metadata	https://egov-ai.e.gov.ph/developers/chat-ai	Chat AI / eGovAI API	Local developer-doc metadata explicitly describes API authentication, message processing, intent/entity extraction, JSON responses, and workflow-trigger handling while disclaiming automated-decision proof.	API/supply-chain source-surface cue only; no automated-decision or policy finding	extract parent source with archived evidence and keep issue-spotting caveat	20260616T120907Z-lane4-0d840664	P1_official_or_regulator_review	translation_sensitive_surface_pointer	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-332-active-lanes-159-foreign-language-and-supply-chain-hardening/facts.jsonl	1088
BTR-00083	LIMEN-SIGNAL-3DE3A550596A3811	candidate_for_parent_source_extraction	Spanish / local English digest metadata	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	Corte Constitucional de Colombia T-323/24 / PretorIA digest record	Local digest explicitly names PretorIA in a Colombian Constitutional Court judgment, but translation status remains human-review-needed.	Candidate source-level court-AI surface only; no legal holding, due-process finding, deployment status, or promotion claim.	Extract as parent/source candidate with Spanish original-language verification and explicit citation caveat.	20260616T120941Z-lane1-403cd0cf	P1_official_or_regulator_review	foreign_language_digest	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8702
BTR-00089	LIMEN-SIGNAL-4194AEBF4E86F541	candidate_for_parent_source_extraction	Swedish / local English metadata	https://www.regeringen.se/regeringens-politik/sveriges-ai-strategi/handlingsplan-for-sveriges-ai-strategi/	Handlingsplan för Sveriges AI-strategi	Official Swedish AI strategy/action-plan page supports public AI governance context but not a comprehensive algorithm register.	AI-governance parent/source context only; no register, prevalence, compliance, or implementation ranking claim.	Extract as parent context with Swedish original-language verification and no-register caveat.	20260616T120941Z-lane1-403cd0cf	P1_official_or_regulator_review	translation_sensitive_official_policy	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	892
BTR-00093	LIMEN-SIGNAL-434650A7398EFCEE	candidate_for_parent_source_extraction	Czech / local English metadata	https://www.mpo.gov.cz/assets/cz/podnikani/digitalni-ekonomika/umela-inteligence/2024/8/Narodni-strategie-umele-intelience-CR-2030.pdf	Národní strategie umělé inteligence ČR 2030 - public administration section	Official Czech AI strategy supports ethical/transparent public-service AI context but no dedicated algorithm register.	Strategy/source-context only; no register, implementation, compliance, or public-sector AI case claim.	Extract as parent context with Czech original-language verification and no-register caveat.	20260616T120941Z-lane1-403cd0cf	P1_official_or_regulator_review	translation_sensitive_official_policy	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	254
BTR-00110	LIMEN-SIGNAL-4E95E6A06DBE491D	candidate_for_parent_source_extraction	nl (English auto-translation)	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Octobox Anonymisation	Dutch algorithm-register sample has concrete record fields, but the local page language is English auto-translation from Dutch.	Candidate register-record surface only; no legal/compliance/safety finding from auto-translation.	Extract from original Dutch/source-specific terms before parent promotion.	20260616T120948Z-lane2-d1ea0eca	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-sample-records-v0.2.csv	2
BTR-00116	LIMEN-SIGNAL-52A8DA87885822CC	candidate_for_parent_source_extraction	es	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	Colombia Constitutional Court judgment T-323/24	Local digest names PretorIA and tutela review-selection, but translation_status is human_review_needed.	Concrete source-surface candidate only; no legal, due-process, compliance, or incident truth claim from translation.	Extract and human-review original Spanish parent source before any case-level use.	20260616T121058Z-lane3-735fe69f	P1_official_or_regulator_review	translation_sensitive_surface	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8739
BTR-00120	LIMEN-SIGNAL-5ADCE729A5D90248	candidate_for_parent_source_extraction	el	https://www.et.gr/api/DownloadFeksApi/?fek_pdf=20220100146	Law 4961/2022 Article 7 / Hellenic Government Gazette	Local row identifies a concrete official gazette article on AI contractor obligations, but source is materially Greek.	Statutory source-surface only pending original-language extraction; no legal interpretation or compliance finding.	Extract Article 7 Greek text and reviewer-safe paraphrase before case-level use.	20260616T121058Z-lane3-735fe69f	P1_official_or_regulator_review	non_english_statutory_surface	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	152
BTR-00134	LIMEN-SIGNAL-65291C2A1198F12F	candidate_for_parent_source_extraction	en	https://moitt.gov.pk/SiteImage/Misc/files/National%20AI%20Policy.pdf	Pakistan National Artificial Intelligence Policy PDF	Named official PDF lead has no local source body because fetch failed; metadata alone is not enough for substantive review.	translation-safe source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Deduplicate with other MOITT leads and extract one canonical local source copy.	20260616T121250Z-lane1-97137d56	P1_official_or_regulator_review	translation_sensitive_surface	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/persian-urdu-language-history.jsonl	20
BTR-00159	LIMEN-SIGNAL-73E0E76FB831190E	candidate_for_parent_source_extraction	Korean/English route metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.md#L17	readiness-negative-route-v0.1-kr-register	Protocol row defines a translated South Korea public-register route; it is not a source surface or evidence item itself.	routing/protocol only; no register existence, absence, or case claim	Run bounded parent-source extraction against explicit Korean government/register sources.	20260616T121358Z-lane2-edecfa53	P1_official_or_regulator_review	translation_route_wrapper	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.md	17
BTR-00163	LIMEN-SIGNAL-765054855C14FDD6	candidate_for_parent_source_extraction	zh	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Provisions on the Administration of Deep Synthesis Internet Information Services	Local digest identifies an official Chinese source with human-review-needed translation status and explicit deep-synthesis/deepfake governance relevance.	Candidate official-source surface for deep-synthesis governance only; no legal interpretation, compliance finding, or incident truth.	Extract parent source with original Chinese title/excerpt and human translation review.	20260616T121432Z-lane3-4c926721	P1_official_or_regulator_review	translation_sensitive_digest	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	7617
BTR-00171	LIMEN-SIGNAL-7F0B9EF62897A26E	candidate_for_parent_source_extraction	ms	https://aiaas.jdn.gov.my/jdn/blog/2025/08/15/ai-chatbot-aishah/	AISHAH AI Chatbot for Malaysia Jabatan Digital Negara	Bridge row gives a concrete Malaysian public-sector chatbot URL, Malay translation-review flag, and bounded Gaia/Pallas summaries.	Candidate source surface for public-sector chatbot evidence only; no register, risk, compliance, or deployment-status finding beyond local metadata.	Extract Malay parent source with bounded quote and preserve GAIA_HUMAN_REVIEW_BOUNDARY.	20260616T121432Z-lane3-4c926721	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GAIA_BRIDGE_MATRIX.csv	16
BTR-00190	LIMEN-SIGNAL-9144D1F3CE61D668	candidate_for_parent_source_extraction	Dutch	https://minbzk.github.io/Algoritmekader/onderwerpen/publieke-inkoop/	Ministry of the Interior and Kingdom Relations / Algoritmekader	Official Dutch Algoritmekader public-procurement topic page is a plausible parent source, but claims remain guidance-level.	parent-source candidate only; no universal operational procurement claim	Extract original Dutch parent-source metadata/snippets with translation caution.	20260616T121450Z-lane4-86e36a90	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	280
BTR-00191	LIMEN-SIGNAL-919104F93FE5A232	candidate_for_parent_source_extraction	Norwegian	https://www.digdir.no/kunstig-intelligens/anskaffelse-av-generativ-ki/7546	Digitaliseringsdirektoratet (Digdir)	Official Norwegian generative-AI procurement guidance is a plausible parent source for procurement-governance context.	parent-source candidate only; no compliance, prevalence, or implementation claim	Extract original Norwegian parent-source metadata/snippets with translation caution.	20260616T121450Z-lane4-86e36a90	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	743
BTR-00198	LIMEN-SIGNAL-973E3156BFB001C3	candidate_for_parent_source_extraction	Portuguese	https://intic.gov.mz/itu-aprova-apoio-ao-estabelecimento-do-sandbox-regulatorio-de-inteligencia-artificial-em-mocambique/	ITU aprova apoio ao estabelecimento do Sandbox Regulatório de Inteligência Artificial em Moçambique	Official INTIC Portuguese news explicitly names ITU support for establishing an AI regulatory sandbox, but local notes say pre-implementation.	official source-surface for planned/supported AI sandbox only; no operational sandbox claim	extract parent source text locally and verify dates/status before any case promotion	20260616T121718Z-lane1-eea3e52d	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv	257
BTR-00202	LIMEN-SIGNAL-9838146402E21D51	candidate_for_parent_source_extraction	English	https://moitt.gov.pk/SiteImage/Misc/files/National%20AI%20Policy.pdf	Pakistan National Artificial Intelligence Policy PDF	Local record is an official English AI policy PDF seed with sandbox/governance themes, but fetch failed and no content was captured.	candidate official parent source only; no policy-detail claim from unavailable content	fetch/extract the PDF in a controlled source-extraction pass before using details	20260616T121718Z-lane1-eea3e52d	P1_official_or_regulator_review	translation-sensitive direct surface	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/south-asian-language-latest.jsonl	3
BTR-00205	LIMEN-SIGNAL-999F0A3865F2148B	candidate_for_parent_source_extraction	Norwegian	https://www.datatilsynet.no/regelverk-og-verktoy/sandkasse-for-kunstig-intelligens/	Sandkasse for kunstig intelligens	Official Norwegian DPA page explicitly names an AI sandbox; local metadata cautions it is not confirmed as SJ-specific or AI Act sandbox.	official Norway-linked AI sandbox source-surface only; no SJ-specific or AI Act claim	extract page and verify territorial/participant scope before parent use	20260616T121718Z-lane1-eea3e52d	P1_official_or_regulator_review	translation-sensitive direct surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1645
BTR-00208	LIMEN-SIGNAL-9B9C8AE15210DF55	candidate_for_parent_source_extraction	Italian/Vatican legal PDF	https://www.vaticanstate.va/phocadownload/leggi-decreti/normativa-generale/N.%20DCCII%20-%2020241216.pdf	N. DCCII - AI experimentation/application opinions	Official Vatican decree metadata explicitly assigns AI Commission advice on experimentation/application, while noting it is not a published sandbox.	emerging AI experimentation-governance source only; no regulatory-sandbox claim	extract decree text and map Article 14 carefully before parent use	20260616T121718Z-lane1-eea3e52d	P1_official_or_regulator_review	translation-sensitive direct surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	684
BTR-00215	LIMEN-SIGNAL-A15121A15AA3A4AE	candidate_for_parent_source_extraction	en	https://aiweek.pakistan.gov.pk/about	Pakistan official Indus AI Week platform	Local record names an official English source surface but fetch failed and no content snapshot is present.	candidate parent/source surface only; no program facts beyond locator metadata	Retry local capture or obtain source snapshot before evidence extraction.	20260616T121732Z-lane2-60e971d5	P1_official_or_regulator_review	translation_sensitive_surface	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/south-asian-language-latest.jsonl	2
BTR-00217	LIMEN-SIGNAL-A2108CE960762FBF	candidate_for_parent_source_extraction	en	https://moitt.gov.pk/Detail/ZWUzMjIyN2UtMWQ3Yi00Y2M1LTgxYTctY2QxMmUzOTdhNjVj	Pakistan Ministry of IT and Telecom AI Policy material	Historical local record names an official English source but has fetch warning and no captured content.	candidate parent/source surface only; no policy or implementation claim	Retry capture or attach verified local source before extraction.	20260616T121732Z-lane2-60e971d5	P1_official_or_regulator_review	translation_sensitive_official_record	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/south-asian-language-history.jsonl	1
BTR-00219	LIMEN-SIGNAL-A365F8142D39E65C	candidate_for_parent_source_extraction	nl / English interface	https://algoritmes.overheid.nl/en	The Algorithm Register of the Dutch government	Multilingual analysis row identifies the Dutch Algorithm Register parent source and evidence-object class, not a specific verified case.	parent source surface only; no record-level or legal conclusion	Use for parent-source extraction; select individual Dutch records separately.	20260616T121732Z-lane2-60e971d5	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/multilingual/multilingual-law-to-evidence-v0.2.csv	233
BTR-00225	LIMEN-SIGNAL-A57C9EC8F4FDD87B	candidate_for_parent_source_extraction	es	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	T-323/24	Local digest identifies an official Colombian Constitutional Court judgment naming PretorIA, but the reviewed evidence remains a translation-mediated digest/paraphrase.	direct source-surface candidate only; no legal, safety, compliance, or incident finding	if used, extract from the original Spanish court source or local snapshot with human translation review	20260616T121959Z-lane4-5d475839	P1_official_or_regulator_review	translation_sensitive_digest	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1516EEST/daily/gaia-foreign-language-digest-latest.json	8739
BTR-00226	LIMEN-SIGNAL-A589BC4F62C41DDE	candidate_for_parent_source_extraction	nl	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Octobox Anonymisation	Registry row is explicitly an English auto-translation from Dutch and contains concrete register-record fields for an anonymisation system.	direct register-record surface only; no factual claim beyond local translated row fields	extract against the Dutch original/register record before any stronger use	20260616T121959Z-lane4-5d475839	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-sample-records-v0.2.csv	2
BTR-00242	LIMEN-SIGNAL-B0609521CEF6A24B	candidate_for_parent_source_extraction	Greek	https://www.mindigital.gr/wp-content/uploads/2022/12/nomos_4961_2022.pdf	Law 4961/2022 Government Gazette PDF	Official Greek statutory PDF is a parent legal source for public-sector AI register/transparency posture; no case claim made.	translation-safe source review only; no legal or policy conclusion from machine translation	extract as parent/source context with original-language check	20260616T122124Z-lane2-138d0028	P1_official_or_regulator_review	non_english_statutory_pdf	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	243
BTR-00256	LIMEN-SIGNAL-B992680524DE90B0	candidate_for_parent_source_extraction	Czech	https://www.dia.gov.cz/cs/nase-cinnosti/na-cem-pracujeme/kompetencni-centra/katalog-vyuziti-ai-ve-verejnem-sektoru	Katalog využití AI ve veřejném sektoru	Official Czech DIA page names a public-sector AI-use catalog, but local static capture has little item-level content.	translation-safe source review only; no legal or policy conclusion from machine translation	extract parent source surface; require original-language item-level evidence before any case use	20260616T122124Z-lane2-138d0028	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_SOURCE_REFRESH.csv	57
BTR-00287	LIMEN-SIGNAL-C844886B1F990C26	candidate_for_parent_source_extraction	Dutch via English register locator	https://algoritmes.overheid.nl/en/algoritme/88456515	Algorithm Register of the Dutch government - Sounding language	Accession metadata gives resolved official listing/detail page, but full field coding is pending.	parent-source/record-locator candidate only	Extract parent/record source from original Dutch register page before coding fields.	20260616T122515Z-lane2-72129a6b	P1_official_or_regulator_review	translated_registry_record	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	13
BTR-00289	LIMEN-SIGNAL-C90446E3B915DED8	candidate_for_parent_source_extraction	hu	https://njt.jog.gov.hu/jogszabaly/2023-103-00-00	Act CIII of 2023 on the digital state and digital services	Official Hungarian statute surface is direct, but local summary supports only digital-service evidence-lifecycle context, not an AI case claim.	Source-surface/context only; no legal interpretation or AI-governance finding from translated/local summary.	Extract original-language statutory citation and translation notes before any parent use.	20260616T122533Z-lane4-60555c5f	P1_official_or_regulator_review	non-English official statutory source	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_SOURCE_REFRESH.csv	73
BTR-00292	LIMEN-SIGNAL-CA3D0DE846C076C4	candidate_for_parent_source_extraction	el	https://www.et.gr/api/DownloadFeksApi/?fek_pdf=20220100146	Law 4961/2022 Article 8: register of public-sector AI systems	Official Greek Gazette surface is direct and local metadata explicitly identifies an AI-system register provision, but legal meaning still needs original-language extraction.	Source-surface plus local metadata only; no legal finding or reviewed-core promotion.	Extract Article 8 from the Greek original with citation-safe translation notes.	20260616T122533Z-lane4-60555c5f	P1_official_or_regulator_review	non-English official gazette source	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	147
BTR-00344	LIMEN-SIGNAL-E804FB26BBC30768	candidate_for_parent_source_extraction	English	https://moitt.gov.pk/SiteImage/Misc/files/National%20AI%20Policy.pdf	Pakistan National Artificial Intelligence Policy PDF	Local record says English and translation not needed, but fetch failed with network unreachable; source should be captured before use.	source locator only until PDF capture; no policy claim	Extract/capture parent PDF locally, then review as English official source.	20260616T122833Z-lane4-be5fa579	P1_official_or_regulator_review	multilingual_official_source_tuned	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/persian-urdu-language-latest.jsonl	4
BTR-00346	LIMEN-SIGNAL-E8A8C916AA672CFD	candidate_for_parent_source_extraction	English	https://moc.gov.gh/2026/04/24/ghana-launches-national-ai-strategy-to-drive-digital-transformation-and-economic-growth/	Ghana Ministry of Communication — Ghana launches National AI Strategy	Local record is English and translation not needed, but fetch ended in SSL timeout with no snippet.	source locator only until capture; no strategy/evidence claim	Retry/capture official page locally before source extraction.	20260616T122833Z-lane4-be5fa579	P1_official_or_regulator_review	translation_sensitive_surface	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	46
BTR-00348	LIMEN-SIGNAL-ED17ABFB9F71E2BC	candidate_for_parent_source_extraction	English	https://aiweek.pakistan.gov.pk/about	Pakistan official Indus AI Week platform	Local record is English and translation not needed, but fetch failed with network unreachable and no snippet.	source locator only; no programme or policy claim	Capture official platform page before any source-level extraction.	20260616T122833Z-lane4-be5fa579	P1_official_or_regulator_review	official_non_english_surface	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/south-asian-language-latest.jsonl	2
BTR-00356	LIMEN-SIGNAL-F1FE0396E37BB1D2	candidate_for_parent_source_extraction	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government - Zylab Disclosure Support	Public Dutch algorithm-register record is a concrete source surface, but evidence is auto-translated and already registry-artifact derived.	parent-source/record-surface only; no factual reliance on translated risk or decision claims	extract from original Dutch parent source before any case-level use	20260616T122957Z-lane2-e10076e4	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/tables/registry-sample-records-v0.2.csv	3
