row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00351	LIMEN-SIGNAL-B927AFAFE3D9DC45	cross_project_duplicate	Danish	https://digst.dk/data/dansk-sprogteknologi/	Digitaliseringsstyrelsen Dansk sprogteknologi	Duplicate Pallas Danish language-technology source row with official URL.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe with TH-00099 in Pallas
TH-00354	LIMEN-SIGNAL-BB2516034848A100	needs_original_language_source	Finnish	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-010/taxonomy-threshold-next-move-board.tsv:7	Finnish broadcaster-backed procedural-hallucination lineage	Threshold board says Finnish lineage lacks official corroboration and gives no source URL.	translation-safe source review only; no legal or policy conclusion from machine translation	locate authoritative Finnish police/court/ministry companion
TH-00361	LIMEN-SIGNAL-BDCA6269480C6724	cross_project_duplicate	not resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:24653	Pallas MTIT/Yemen weak-source warning	Pallas app warning text is derived negative-evidence synthesis, not a LIMEN translation source.	translation-safe source review only; no legal or policy conclusion from machine translation	route to Pallas app/source-warning owner
TH-00380	LIMEN-SIGNAL-C9CC3E18315E1A45	reject_noise	not resolved	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-006/source-delta.tsv:5	LIMEN source-delta template row	Template for desired future source fields, not an actual external source.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from translation-source queue
TH-00009	LIMEN-SIGNAL-0570AB4885BCEC4D	cross_project_duplicate	Dutch	/srv/tyche/projects/public-ai-registry/data/registry-record-sampling-quota-v0.3.csv:2	Algorithm Register of the Dutch government quota	Public-ai-registry quota metadata should be handled in that project source-family dedupe.	translation-safe source review only; no legal or policy conclusion from machine translation	route to public-ai-registry accession workflow
TH-00013	LIMEN-SIGNAL-067EF7E19BDBE594	cross_project_duplicate	French	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:7	Pallas France observability country index	Pallas country-index synthesis row with human-review warnings; no row-level source locator for LIMEN.	translation-safe source review only; no legal or policy conclusion from machine translation	route to Pallas France indicator review
TH-00015	LIMEN-SIGNAL-06EE08E95993911C	cross_project_duplicate	English	https://ncra.gov.sl/ncra-launches-africas-first-blockchain-and-decentralized-national-digital-identity-platform-in-sierra-leone/	Sierra Leone NCRA digital identity platform context	Pallas official identity-body source row; context-only and cross-project.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Pallas SL source-hardening
TH-00018	LIMEN-SIGNAL-09378D2453601F99	cross_project_duplicate	Dutch/English interface	https://algoritmes.overheid.nl/en/algoritme/88456515	Dutch Algorithm Register NL-ALG-88456515 Sounding language	Public-ai-registry deployed-record accession candidate already has stable URL and source owner.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe with public-ai-registry record accession
TH-00024	LIMEN-SIGNAL-0BE2DAE175086278	cross_project_duplicate	Dutch/English interface	https://algoritmes.overheid.nl/en/algoritme/88456515	Dutch Algorithm Register NL-ALG-88456515 Sounding language	Duplicate public-ai-registry accession row for the same stable Dutch register URL.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe with TH-00018/public-ai-registry
TH-00029	LIMEN-SIGNAL-0E7236BF6DAA049A	cross_project_duplicate	not resolved	https://www.ppa.gov.et/	Ethiopia Public Procurement and Property Authority	Pallas source-pack negative-check row with official URL; cross-project transparency context only.	translation-safe source review only; no legal or policy conclusion from machine translation	route/dedupe in Pallas ET source pack
TH-00040	LIMEN-SIGNAL-157D6E459C2BF4A7	cross_project_duplicate	Spanish/not resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/algorithm-register-scarcity-map.csv:97	Pallas Guatemala algorithm-register scarcity map	Pallas scarcity-map synthesis with no row-level source URL; not a LIMEN translation source.	translation-safe source review only; no legal or policy conclusion from machine translation	route to Pallas Guatemala second-pass verification
