category_code	category_label	sample_case_ref	case_title	review_kind_now	review_owner_now	jurisdictions	languages	record_status	evidence_tier	current_authority_signal	document_grade_signal_now	strongest_document_depth_now	document_depth_statuses_now	authoritative_source_count_now	issuing_bodies_now	source_types_now	authority_source_urls_now	framework_anchor_profile_now	claim_ceiling_bucket_now	document_depth_interpretation_now	case_specific_review_reason_now	next_stronger_source_needed_now	linked_review_queue_ids	paper_use_now	updated_at
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	regulator/procurement/source-authority review	Lawyer/regulator review	United Kingdom	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	notice_pdf_text_present	regulator_newsroom_summary; regulator_enforcement_record_summary; notice_pdf_text_present	3	Information Commissioner's Office	data protection authority enforcement news page; ICO enforcement-action record; ICO enforcement notice PDF	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/02/ico-orders-serco-leisure-to-stop-using-facial-recognition-technology/; https://ico.org.uk/action-weve-taken/enforcement/2024/02/serco-leisure-operating-limited-and-relevant-associated-trusts/; https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf	oecd	authority_led_but_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Keep to the ICO's proportionality/fairness framing and enforcement-notice description; do not generalize beyond the notice summary page.	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	LQ-002	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	2026-06-08T12:57:42+02:00
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	regulator/procurement/source-authority review	Lawyer/regulator review	United Kingdom	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	reprimand_pdf_text_present	regulator_newsroom_summary; regulator_enforcement_record_summary; reprimand_pdf_text_present	3	Information Commissioner's Office	data protection authority reprimand news page; ICO enforcement-action record; ICO reprimand PDF	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/07/essex-school-reprimanded-after-using-facial-recognition-technology-for-canteen-payments/; https://ico.org.uk/action-weve-taken/enforcement/2024/07/chelmer-valley-high-school/; https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf	oecd	authority_led_but_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	The source frames this as a reprimand and data-protection failure; avoid inferring broader school-sector prevalence from one case.	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	LQ-002	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	2026-06-08T12:57:42+02:00
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	data/cases/authoritative-candidates.jsonl:LIMEN-000015	CNIL warns sports club over proposed facial-recognition checks for commercial stadium bans	lawyer/source-authority review	Lawyer/regulator review	France	fr	authoritative_candidate	T3_authoritative_source	authoritative	authority_summary_only	regulator_warning_page_text_present	regulator_warning_page_text_present	1	Commission nationale de l'informatique et des libertés (CNIL)	data protection authority warning page	https://www.cnil.fr/fr/reconnaissance-faciale-et-interdiction-commerciale-de-stade-la-cnil-adresse-un-avertissement-un-club	oecd	authority_led_but_context_insufficient	Local package contains one direct public regulator warning page for this sampled case, but it remains below document-grade enforcement/court depth and should travel as a bounded legality-warning sidecar.	Keep this at CNIL warning-page legality posture only; do not restate it as public-authority deployment proof, sanction-depth equivalence, or completed implementation.	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	LQ-002	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	2026-06-08T19:20:16Z
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	lawyer/source-authority review	Lawyer/source-authority review	United States	en	authoritative_charging_stage	T3_authoritative_source	authoritative_charging_stage	partial_document_grade_local_text_present	indictment_pdf_captured	charging_stage_summary_with_linked_indictment; indictment_pdf_captured	2	U.S. Attorney's Office, Southern District of New York	federal prosecutor press release; DOJ-linked indictment PDF	https://www.justice.gov/usao-sdny/pr/tech-ceo-charged-artificial-intelligence-investment-fraud-scheme; https://www.justice.gov/usao-sdny/media/1396131/dl?inline	unesco	mixed_authority_context_insufficient	Local package already contains a captured public document for this sampled case, but local normalization remains incomplete and category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use this row as charging-stage authority only; do not convert the indictment allegations into adjudicated fact or liability.	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	2026-06-08T12:57:42+02:00
ai_washing_or_false_ai_claim	AI washing or false AI claim	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	regulator/procurement/source-authority review	Lawyer/procurement review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	complaint_pdf_text_present|final_order_pdf_text_present	complaint_pdf_text_present; final_order_pdf_text_present	2	Federal Trade Commission	FTC administrative complaint; FTC final decision and order	https://www.ftc.gov/system/files/ftc_gov/pdf/2323042_donotpay_complaint.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/2323042_donotpay_decision_and_order_0.pdf	oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use FTC complaint/final-order posture only; do not restate the row as a judicial unauthorized-practice finding, adjudicated product-truth finding, or general legal-services automation verdict.	non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition	LQ-008; LQ-009	AI-washing typology for procurement and market-facing visuals	2026-06-08T12:57:42+02:00
ai_washing_or_false_ai_claim	AI washing or false AI claim	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	regulator/procurement/source-authority review	Lawyer/procurement review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	complaint_pdf_text_present|final_order_pdf_text_present	complaint_pdf_text_present; final_order_pdf_text_present	2	Federal Trade Commission	FTC administrative complaint; FTC final decision and order	https://www.ftc.gov/system/files/ftc_gov/pdf/ContentatScaleAI-Complaint.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/ContentatScaleAI-DecisionandOrder.pdf	oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use FTC complaint/final-order posture only; do not convert this row into a general scientific-validity conclusion about all AI detectors or a prevalence claim about detector fraud.	non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition	LQ-008; LQ-009	AI-washing typology for procurement and market-facing visuals	2026-06-08T12:57:42+02:00
deepfake_or_synthetic_identity	Deepfake or synthetic identity	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	lawyer/source-authority review	Lawyer/source-authority review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	agency_release_summary|allegation_stage_document_text_present|consent_decree_order_text_present	allegation_stage_document_text_present; consent_decree_order_text_present; agency_release_summary	3	Federal Communications Commission	FCC notice of apparent liability; FCC consent-decree order; FCC media release	https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt; https://docs.fcc.gov/public/attachments/DA-24-790A1.txt; https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	eu_ai_act+oecd	direct_legal_anchor_but_case_applicability_unresolved	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Keep allegation-stage and consent-decree stages distinct: the May 2024 FCC Notice of Apparent Liability is not a final adjudication, while the August 2024 order resolves the matter through a Consent Decree and civil penalty.	authoritative police/court/platform source, election-authority notice, securities/consumer record, or forensics/contract record tying provenance to a legal process	LQ-005	Synthetic-identity topology linking media, provenance evidence, and harm types	2026-06-08T12:57:42+02:00
education_workplace_or_hr	Education, workplace, or HR	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	lawyer/source-authority review	Lawyer/regulator review	United States	en	authoritative	T3_authoritative_source	authoritative	authority_summary_only	agency_press_release_summary|agency_settlement_summary	agency_press_release_summary; agency_settlement_summary	2	U.S. Equal Employment Opportunity Commission	federal agency lawsuit press release; federal agency settlement press release	https://www.eeoc.gov/newsroom/eeoc-sues-itutorgroup-age-discrimination; https://www.eeoc.gov/newsroom/itutorgroup-pay-365000-settle-eeoc-discriminatory-hiring-suit	unesco	mixed_authority_context_insufficient	Current local authority is summary-page depth only; downstream legal prose should not act as though notice/order/complaint text has already been captured.	Do not convert the EEOC allegation into a final judicial finding; the press release states the agency filed suit.	court complaint/decree, school/employer policy, official redress record, or regulator notice text	LQ-004	Employment/education decision-flow matrix	2026-06-08T12:57:42+02:00
education_workplace_or_hr	Education, workplace, or HR	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	lawyer/source-authority review	Lawyer/regulator review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	complaint_pdf_text_present|final_order_pdf_text_present	complaint_pdf_text_present; final_order_pdf_text_present	2	Federal Trade Commission	FTC administrative complaint; FTC final decision and order	https://www.ftc.gov/system/files/ftc_gov/pdf/ContentatScaleAI-Complaint.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/ContentatScaleAI-DecisionandOrder.pdf	unesco	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use FTC complaint/final-order posture only; do not convert this row into a general scientific-validity conclusion about all AI detectors or a prevalence claim about detector fraud.	court complaint/decree, school/employer policy, official redress record, or regulator notice text	LQ-004	Employment/education decision-flow matrix	2026-06-08T12:57:42+02:00
education_workplace_or_hr	Education, workplace, or HR	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration	lawyer/regulator plus language review	Lawyer/regulator review	Denmark	da	authoritative_candidate	T3_authoritative_source	authoritative_candidate	authority_summary_only	regulator_decision_page_text_present	regulator_decision_page_text_present	1	Datatilsynet	data protection authority decision page	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	unesco	mixed_authority_context_insufficient	Current local authority is summary-page depth only; downstream legal prose should not act as though notice/order/complaint text has already been captured.	Preserve Danish original and treat any English gloss as a translation-aided paraphrase rather than a final legal interpretation.	court complaint/decree, school/employer policy, official redress record, or regulator notice text	LQ-004	Employment/education decision-flow matrix	2026-06-08T12:57:42+02:00
legal_procedural_contamination	Legal/procedural contamination	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	lawyer/source-authority review	Lawyer/institutional-process review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	complaint_pdf_text_present|final_order_pdf_text_present	complaint_pdf_text_present; final_order_pdf_text_present	2	Federal Trade Commission	FTC administrative complaint; FTC final decision and order	https://www.ftc.gov/system/files/ftc_gov/pdf/2323042_donotpay_complaint.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/2323042_donotpay_decision_and_order_0.pdf	nist+oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Use FTC complaint/final-order posture only; do not restate the row as a judicial unauthorized-practice finding, adjudicated product-truth finding, or general legal-services automation verdict.	court filing/order, institutional correction notice, or official process-integrity statement from a second document-grade family	LQ-007	Process-contamination typology for justice/admin case tables	2026-06-08T12:57:42+02:00
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	regulator/procurement/source-authority review	Lawyer/regulator/source-authority review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	agency_release_summary|allegation_stage_document_text_present|consent_decree_order_text_present	allegation_stage_document_text_present; consent_decree_order_text_present; agency_release_summary	3	Federal Communications Commission	FCC notice of apparent liability; FCC consent-decree order; FCC media release	https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt; https://docs.fcc.gov/public/attachments/DA-24-790A1.txt; https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	nist+oecd	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Keep allegation-stage and consent-decree stages distinct: the May 2024 FCC Notice of Apparent Liability is not a final adjudication, while the August 2024 order resolves the matter through a Consent Decree and civil penalty.	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	2026-06-08T12:57:42+02:00
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration	lawyer/regulator plus language review	Lawyer/regulator/source-authority review	Denmark	da	authoritative_candidate	T3_authoritative_source	authoritative_candidate	authority_summary_only	regulator_decision_page_text_present	regulator_decision_page_text_present	1	Datatilsynet	data protection authority decision page	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	nist+oecd	mixed_authority_context_insufficient	Current local authority is summary-page depth only; downstream legal prose should not act as though notice/order/complaint text has already been captured.	Preserve Danish original and treat any English gloss as a translation-aided paraphrase rather than a final legal interpretation.	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	2026-06-08T12:57:42+02:00
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	lawyer/source-authority review	Lawyer/source-authority review	United States	en	authoritative	T3_authoritative_source	authoritative	authority_summary_only	agency_press_release_summary|agency_settlement_summary	agency_press_release_summary; agency_settlement_summary	2	U.S. Equal Employment Opportunity Commission	federal agency lawsuit press release; federal agency settlement press release	https://www.eeoc.gov/newsroom/eeoc-sues-itutorgroup-age-discrimination; https://www.eeoc.gov/newsroom/itutorgroup-pay-365000-settle-eeoc-discriminatory-hiring-suit	unesco	mixed_authority_context_insufficient	Current local authority is summary-page depth only; downstream legal prose should not act as though notice/order/complaint text has already been captured.	Do not convert the EEOC allegation into a final judicial finding; the press release states the agency filed suit.	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	2026-06-08T12:57:42+02:00
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	lawyer/source-authority review	Lawyer/source-authority review	United States	en	authoritative	T3_authoritative_source	authoritative	document_grade_local_text_present	agency_release_summary|allegation_stage_document_text_present|consent_decree_order_text_present	allegation_stage_document_text_present; consent_decree_order_text_present; agency_release_summary	3	Federal Communications Commission	FCC notice of apparent liability; FCC consent-decree order; FCC media release	https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt; https://docs.fcc.gov/public/attachments/DA-24-790A1.txt; https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	unesco	mixed_authority_context_insufficient	Local package already contains direct public document text for this sampled case, but category-level review still needs narrower actor-role, applicability, or companion-source interpretation.	Keep allegation-stage and consent-decree stages distinct: the May 2024 FCC Notice of Apparent Liability is not a final adjudication, while the August 2024 order resolves the matter through a Consent Decree and civil penalty.	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	2026-06-08T12:57:42+02:00
