anchor_id	anchor_level	parent_anchor_id	domain_code	domain_label	subdomain_code	subdomain_label	description	sheet_name	sheet_updated_note	source_url	export_url	retrieved_at_utc	language	jurisdiction_scope	source_family	rights_note	evidence_surface	claim_ceiling	limen_use_now
MITAIR-D04	domain	not_applicable	4.0	Malicious actors				Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S4-1	subdomain	MITAIR-D04	4.0	Malicious actors	4.1	Disinformation, surveillance, and influence at scale	Using AI systems to conduct large-scale disinformation campaigns, malicious surveillance, or targeted and sophisticated automated censorship and propaganda, with the aim to manipulate political processes, public opinion and behavior.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S4-2	subdomain	MITAIR-D04	4.0	Malicious actors	4.2	Cyberattacks, weapon development or use, and mass harm	Using AI systems to develop cyber weapons (e.g., coding cheaper, more effective malware), develop new or enhance existing weapons (e.g., Lethal Autonomous Weapons or CBRNE), or use weapons to cause mass harm.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S4-3	subdomain	MITAIR-D04	4.0	Malicious actors	4.3	Fraud, scams, and targeted manipulation	Using AI systems to gain a personal advantage over others such as through cheating, fraud, scams, blackmail or targeted manipulation of beliefs or behavior. Examples include AI-facilitated plagiarism for research or education, impersonating a trusted or fake individual for illegitimate financial benefit, or creating humiliating or sexual imagery.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-D05	domain	not_applicable	5.0	Human- Computer Interaction				Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S5-1	subdomain	MITAIR-D05	5.0	Human- Computer Interaction	5.1	Overreliance and unsafe use	Users anthropomorphizing, trusting, or relying on AI systems, leading to emotional or material dependence and inappropriate relationships with or expectations of AI systems. Trust can be exploited by malicious actors (e.g., to harvest personal information or enable manipulation), or result in harm from inappropriate use of AI in critical situations (e.g., medical emergency). Overreliance on AI systems can compromise autonomy and weaken social ties.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S5-2	subdomain	MITAIR-D05	5.0	Human- Computer Interaction	5.2	Loss of human agency and autonomy	Humans delegating key decisions to AI systems, or AI systems making decisions that diminish human control and autonomy, potentially leading to humans feeling disempowered, losing the ability to shape a fulfilling life trajectory or becoming cognitively enfeebled.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-D06	domain	not_applicable	6.0	Socioeconomic & Environmental				Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S6-1	subdomain	MITAIR-D06	6.0	Socioeconomic & Environmental	6.1	Power centralization and unfair distribution of benefits	AI-driven concentration of power and resources within certain entities or groups, especially those with access to or ownership of powerful AI systems, leading to inequitable distribution of benefits and increased societal inequality.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S6-2	subdomain	MITAIR-D06	6.0	Socioeconomic & Environmental	6.2	Increased inequality and decline in employment quality	Widespread use of AI increasing social and economic inequalities, such as by automating jobs, reducing the quality of employment, or producing exploitative dependencies between workers and their employers.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S6-3	subdomain	MITAIR-D06	6.0	Socioeconomic & Environmental	6.3	Economic and cultural devaluation of human effort	AI systems capable of creating economic or cultural value, including through reproduction of human innovation or creativity (e.g., art, music, writing, code, invention), can destabilize economic and social systems that rely on human effort. This may lead to reduced appreciation for human skills, disruption of creative and knowledge-based industries, and homogenization of cultural experiences due to the ubiquity of AI-generated content.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S6-4	subdomain	MITAIR-D06	6.0	Socioeconomic & Environmental	6.4	Competitive dynamics	AI developers or state-like actors competing in an AI ‘race’ by rapidly developing, deploying, and applying AI systems to maximize strategic or economic advantage, increasing the risk they release unsafe and error-prone systems.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S6-5	subdomain	MITAIR-D06	6.0	Socioeconomic & Environmental	6.5	Governance failure	Inadequate regulatory frameworks and oversight mechanisms failing to keep pace with AI development, leading to ineffective governance and the inability to manage AI risks appropriately.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S6-6	subdomain	MITAIR-D06	6.0	Socioeconomic & Environmental	6.6	Environmental harm	The development and operation of AI systems causing environmental harm, such as through energy consumption of data centers, or material and carbon footprints associated with AI hardware.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-D07	domain	not_applicable	7.0	AI system safety, failures, & limitations				Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S7-1	subdomain	MITAIR-D07	7.0	AI system safety, failures, & limitations	7.1	AI pursuing its own goals in conflict with human goals or values	AI systems acting in conflict with human goals or values, especially the goals of designers or users, or ethical standards. These misaligned behaviors may be introduced by humans during design and development, such as through reward hacking and goal misgeneralisation, or may result from AI using dangerous capabilities such as manipulation, deception, situational awareness to seek power, self-proliferate, or achieve other goals.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S7-2	subdomain	MITAIR-D07	7.0	AI system safety, failures, & limitations	7.2	AI possessing dangerous capabilities	AI systems that develop, access, or are provided with capabilities that increase their potential to cause mass harm through deception, weapons development and acquisition, persuasion and manipulation, political strategy, cyber-offense, AI development, situational awareness, and self-proliferation. These capabilities may cause mass harm due to malicious human actors, misaligned AI systems, or failure in the AI system.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S7-3	subdomain	MITAIR-D07	7.0	AI system safety, failures, & limitations	7.3	Lack of capability or robustness	AI systems that fail to perform reliably or effectively under varying conditions, exposing them to errors and failures that can have significant consequences, especially in critical applications or areas that require moral reasoning.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S7-4	subdomain	MITAIR-D07	7.0	AI system safety, failures, & limitations	7.4	Lack of transparency or interpretability	Challenges in understanding or explaining the decision-making processes of AI systems, which can lead to mistrust, difficulty in enforcing compliance standards or holding relevant actors accountable for harms, and the inability to identify and correct errors.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S7-5	subdomain	MITAIR-D07	7.0	AI system safety, failures, & limitations	7.5	AI welfare and rights	Ethical considerations regarding the treatment of potentially sentient AI entities, including discussions around their potential rights and welfare, particularly as AI systems become more advanced and autonomous.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S7-6	subdomain	MITAIR-D07	7.0	AI system safety, failures, & limitations	7.6	Multi-agent risks	Risks from multi-agent interactions, due to incentives (which can lead to conflict or collusion) and/or the structure of multi-agent systems, which can create cascading failures, selection pressures, new security vulnerabilities, and a lack of shared information and trust.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
