category_code	category_label	review_priority	sample_case_ref	case_title	record_status	evidence_tier	jurisdictions	languages	source_family_or_surface	current_authority_signal	framework_anchor_profile_now	claim_ceiling_bucket_now	review_kind_now	case_specific_review_reason_now	next_stronger_source_needed_now	review_owner_now	linked_review_queue_ids	paper_use_now	provenance_refs_now	updated_at
agentic_control_failure	Agentic control failure	High	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allowed remote code execution; GitHub reviewed advisory now exposes first patched version 1.0.15	authoritative	T3_authoritative_source	Global	en	public platform security advisory API; public vulnerability record; public vulnerability-record API	authoritative	nist	mixed_authority_context_insufficient	source-authority/postmortem review	Use the reviewed GitHub advisory plus CVE/OSV chain for bounded control-failure and fixed-version wording only; do not treat the advisory chain as proof of realized exploitation, deployment context, or duty-holder-specific breach.	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	Technical + legal review	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	LIMEN-S-089; LIMEN-S-090; LIMEN-S-007	2026-06-08T17:51:42Z
agentic_control_failure	Agentic control failure	High	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	authoritative	T3_authoritative_source	Global	en	public vulnerability record	authoritative	nist	mixed_authority_context_insufficient	source-authority/postmortem review	This supports a bounded argument that human-approval models for agent tools can fail through allowlist design.	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	Technical + legal review	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	LIMEN-S-008	2026-06-08T10:03:10+02:00
agentic_control_failure	Agentic control failure	High	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	authoritative	T3_authoritative_source	Global	en	public vulnerability record; public vendor release note	authoritative	nist	mixed_authority_context_insufficient	source-authority/postmortem review	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; keep the row grounded in the public vulnerability record plus vendor release note, and do not narrate the case as realized exploitation in the wild or as broad MCP ecosystem prevalence.	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	Technical + legal review	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	LIMEN-S-051; LIMEN-S-052	2026-06-08T10:03:10+02:00
institutional_absurdity	Institutional absurdity	Medium	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	candidate	T1_single_public_source	Finland	fi	public_broadcaster_news	medium_high	unesco	non_authoritative_public_reporting_only	language-aware source-authority review	Direct Yle article text supports a narrow claim that AI-assisted administrative appeals have been noticed in Internal Finland Police and the Eastern Finland Administrative Court, with some filings reportedly containing fabricated case references or distorted legal support; official actor-role provenance for Mikko Porvali and general Finnish justice-ministry AI-governance context are now captured separately, but there is still no same-event official corroborating record.	One phenomenon-specific Finnish police, court, ombudsman, or ministry statement/document on AI-assisted administrative appeals or fabricated case references.	Mixed human review	LQ-001; LQ-004; LQ-009	Public-sector absurdity typology and dashboard filter	sources/sources.md:LIMEN-S-027; sources/sources.md:LIMEN-S-034; sources/sources.md:LIMEN-S-035; results/boost/limen-boost-008/finnish-official-escalation-ladder.tsv:FEL-008-001..FEL-008-005; results/crosswalks/legal-multilingual-authority-bridge-v0.1.tsv	2026-06-08T13:32:00Z
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	authoritative	T3_authoritative_source	United Kingdom	en	Regulator and enforcement sources	authoritative	nist+oecd	mixed_authority_context_insufficient	regulator/procurement/source-authority review	Keep to the ICO's proportionality/fairness framing and enforcement-notice description; do not generalize beyond the notice summary page.	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	Lawyer/regulator/source-authority review	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	SRC-AUTH-0003; SRC-AUTH-0006; SRC-AUTH-0008	2026-06-08T10:03:10+02:00
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	authoritative	T3_authoritative_source	United Kingdom	en	Regulator and enforcement sources	authoritative	nist+oecd	mixed_authority_context_insufficient	regulator/procurement/source-authority review	The source frames this as a reprimand and data-protection failure; avoid inferring broader school-sector prevalence from one case.	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	Lawyer/regulator/source-authority review	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	SRC-AUTH-0004; SRC-AUTH-0007; SRC-AUTH-0009	2026-06-08T10:03:10+02:00
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	authoritative	T3_authoritative_source	United States	en	Regulator and enforcement sources	authoritative	nist+oecd	mixed_authority_context_insufficient	regulator/procurement/source-authority review	Keep allegation-stage and consent-decree stages distinct: the May 2024 FCC Notice of Apparent Liability is not a final adjudication, while the August 2024 order resolves the matter through a Consent Decree and civil penalty.	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	Lawyer/regulator/source-authority review	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	SRC-AUTH-0016; SRC-AUTH-0017; SRC-AUTH-0018	2026-06-08T10:03:10+02:00
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration	authoritative_candidate	T3_authoritative_source	Denmark	da	Public-sector registers and procurement	authoritative_candidate	nist+oecd	mixed_authority_context_insufficient	lawyer/regulator plus language review	The Danish AI-SU row now has regulator pages, exact legal-basis chain, and one official planning/taskforce report, which strengthens governance-planning wording but still leaves procurement, deployment, DPIA, and outcome questions open.	One later official operational, DPIA, procurement, evaluation, or implementation surface for the same SU AI screening row.	Lawyer/regulator/source-authority review	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	SRC-AUTH-0024; SRC-AUTH-0032; SRC-AUTH-0034; SRC-AUTH-0035; SRC-AUTH-0036; results/authoritative-scout/danish-ai-su-taskforce-companion-audit-v0.1.tsv; results/crosswalks/legal-multilingual-authority-bridge-v0.1.tsv	2026-06-08T15:55:00Z
deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	authoritative	T3_authoritative_source	United States	en	Regulator and enforcement sources	authoritative	eu_ai_act+oecd	direct_legal_anchor_but_case_applicability_unresolved	lawyer/source-authority review	Keep allegation-stage and consent-decree stages distinct: the May 2024 FCC Notice of Apparent Liability is not a final adjudication, while the August 2024 order resolves the matter through a Consent Decree and civil penalty.	authoritative police/court/platform source, election-authority notice, securities/consumer record, or forensics/contract record tying provenance to a legal process	Lawyer/source-authority review	LQ-005	Synthetic-identity topology linking media, provenance evidence, and harm types	SRC-AUTH-0016; SRC-AUTH-0017; SRC-AUTH-0018	2026-06-08T10:03:10+02:00
deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	candidate	T1_single_public_source	Finland	fi	local_news	medium	eu_ai_act+oecd	direct_legal_anchor_but_case_applicability_unresolved	lawyer/regulator plus language review	Public Kaleva article shell now supports a narrow claim that a dated regional-news article exists about a police-investigation-framed AI-modified intimate-image abuse case in Finland and that visible preview text on the article page itself names several women as injured parties/victims, one middle-aged male suspect, suspicion-stage offense framing, and six crime reports; full-body chronology, exact locality naming, adjudication, and legal interpretation remain unverified.	Use the preview-text-visible direct article shell for bounded route-state and suspicion-stage framing now; seek one clearly matching public police/document companion or fuller readable public surface before any publication-bucket promotion.	Lawyer/source-authority review	LQ-005	Synthetic-identity topology linking media, provenance evidence, and harm types	none	2026-06-08T10:03:10+02:00
legal_procedural_contamination	Legal/procedural contamination	High	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	authoritative	T3_authoritative_source	Italy	it	Regulator and enforcement sources	authoritative	nist+oecd	mixed_authority_context_insufficient	lawyer/source-authority review	Use the regulator's own language: urgent provisional limitation, not a generalized finding of illegality beyond the order text.	court filing/order, institutional correction notice, or official process-integrity statement from a second document-grade family	Lawyer/institutional-process review	LQ-007	Process-contamination typology for justice/admin case tables	SRC-AUTH-0001	2026-06-08T10:03:10+02:00
legal_procedural_contamination	Legal/procedural contamination	High	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	authoritative	T3_authoritative_source	United States	en	Regulator and enforcement sources	authoritative	nist+oecd	mixed_authority_context_insufficient	lawyer/source-authority review	Use FTC complaint/final-order posture only; do not restate the row as a judicial unauthorized-practice finding, adjudicated product-truth finding, or general legal-services automation verdict.	court filing/order, institutional correction notice, or official process-integrity statement from a second document-grade family	Lawyer/institutional-process review	LQ-007	Process-contamination typology for justice/admin case tables	SRC-AUTH-0020; SRC-AUTH-0021	2026-06-08T10:03:10+02:00
legal_procedural_contamination	Legal/procedural contamination	High	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	candidate	T1_single_public_source	Finland	fi	public_broadcaster_news	medium_high	nist+oecd	mixed_authority_context_insufficient	lawyer/regulator plus language review	Direct Yle article text supports a narrow claim that AI-assisted administrative appeals have been noticed in Internal Finland Police and the Eastern Finland Administrative Court, with some filings reportedly containing fabricated case references or distorted legal support; official actor-role provenance for Mikko Porvali and general Finnish justice-ministry AI-governance context are now captured separately, but there is still no same-event official corroborating record.	One phenomenon-specific Finnish police, court, ombudsman, or ministry statement/document on AI-assisted administrative appeals or fabricated case references.	Lawyer/institutional-process review	LQ-007	Process-contamination typology for justice/admin case tables	sources/sources.md:LIMEN-S-027; sources/sources.md:LIMEN-S-034; sources/sources.md:LIMEN-S-035; results/boost/limen-boost-008/finnish-official-escalation-ladder.tsv:FEL-008-001..FEL-008-005; results/crosswalks/legal-multilingual-authority-bridge-v0.1.tsv	2026-06-08T13:32:00Z
education_workplace_or_hr	Education, workplace, or HR	High	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	authoritative	T3_authoritative_source	United States	en	Regulator and enforcement sources	authoritative	unesco	mixed_authority_context_insufficient	lawyer/source-authority review	Do not convert the EEOC allegation into a final judicial finding; the press release states the agency filed suit.	court complaint/decree, school/employer policy, official redress record, or regulator notice text	Lawyer/regulator review	LQ-004	Employment/education decision-flow matrix	SRC-AUTH-0002; SRC-AUTH-0005	2026-06-08T10:03:10+02:00
education_workplace_or_hr	Education, workplace, or HR	High	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	authoritative	T3_authoritative_source	United Kingdom	en	Regulator and enforcement sources	authoritative	unesco	mixed_authority_context_insufficient	lawyer/source-authority review	Keep to the ICO's proportionality/fairness framing and enforcement-notice description; do not generalize beyond the notice summary page.	court complaint/decree, school/employer policy, official redress record, or regulator notice text	Lawyer/regulator review	LQ-004	Employment/education decision-flow matrix	SRC-AUTH-0003; SRC-AUTH-0006; SRC-AUTH-0008	2026-06-08T10:03:10+02:00
education_workplace_or_hr	Education, workplace, or HR	High	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	authoritative	T3_authoritative_source	United States	en	Regulator and enforcement sources	authoritative	unesco	mixed_authority_context_insufficient	lawyer/source-authority review	Use FTC complaint/final-order posture only; do not convert this row into a general scientific-validity conclusion about all AI detectors or a prevalence claim about detector fraud.	court complaint/decree, school/employer policy, official redress record, or regulator notice text	Lawyer/regulator review	LQ-004	Employment/education decision-flow matrix	SRC-AUTH-0022; SRC-AUTH-0023	2026-06-08T10:03:10+02:00
education_workplace_or_hr	Education, workplace, or HR	High	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration	authoritative_candidate	T3_authoritative_source	Denmark	da	Public-sector registers and procurement	authoritative_candidate	unesco	mixed_authority_context_insufficient	lawyer/regulator plus language review	Preserve Danish original and treat English gloss as translation-aided paraphrase; the row now has regulator, legal-basis, and official planning/taskforce support, but still lacks operational, procurement, DPIA, or outcome evidence.	One later official operational, DPIA, procurement, evaluation, or implementation surface for the same SU AI screening row.	Lawyer/regulator review	LQ-004	Employment/education decision-flow matrix	SRC-AUTH-0024; SRC-AUTH-0032; SRC-AUTH-0034; SRC-AUTH-0035; SRC-AUTH-0036; results/authoritative-scout/danish-ai-su-taskforce-companion-audit-v0.1.tsv; results/crosswalks/legal-multilingual-authority-bridge-v0.1.tsv	2026-06-08T15:55:00Z
finance_insurance_or_market	Finance, insurance, or market	Medium	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	authoritative	T3_authoritative_source	United States	en	Regulator and enforcement sources	authoritative	oecd	authority_led_but_context_insufficient	source-authority/postmortem review	Use as an SEC enforcement finding and settlement record, not as a judicial determination of broader fraud facts.	court/regulator record, formal consumer/securities disposition, provider/deployer postmortem, or transaction-specific technical audit	Lawyer/source-authority review; Lawyer/procurement review	LQ-005; LQ-008	Sectoral harm matrix across finance/insurance/market records	SRC-AUTH-0012; SRC-AUTH-0013	2026-06-08T10:03:10+02:00
finance_insurance_or_market	Finance, insurance, or market	Medium	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	authoritative	T3_authoritative_source	United States	en	Regulator and enforcement sources	authoritative	oecd	authority_led_but_context_insufficient	source-authority/postmortem review	Use as an SEC enforcement finding and settlement record, not as proof that all AI-enabled advisory products are similarly misleading.	court/regulator record, formal consumer/securities disposition, provider/deployer postmortem, or transaction-specific technical audit	Lawyer/source-authority review; Lawyer/procurement review	LQ-005; LQ-008	Sectoral harm matrix across finance/insurance/market records	SRC-AUTH-0014; SRC-AUTH-0015	2026-06-08T10:03:10+02:00
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	authoritative	T3_authoritative_source	United Kingdom	en	Regulator and enforcement sources	authoritative	oecd	authority_led_but_context_insufficient	regulator/procurement/source-authority review	Keep to the ICO's proportionality/fairness framing and enforcement-notice description; do not generalize beyond the notice summary page.	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	Lawyer/regulator review	LQ-002	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	SRC-AUTH-0003; SRC-AUTH-0006; SRC-AUTH-0008	2026-06-08T10:03:10+02:00
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	authoritative	T3_authoritative_source	United Kingdom	en	Regulator and enforcement sources	authoritative	oecd	authority_led_but_context_insufficient	regulator/procurement/source-authority review	The source frames this as a reprimand and data-protection failure; avoid inferring broader school-sector prevalence from one case.	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	Lawyer/regulator review	LQ-002	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	SRC-AUTH-0004; SRC-AUTH-0007; SRC-AUTH-0009	2026-06-08T10:03:10+02:00
