normalized_record_key	authority_band	primary_review_state	additional_join_hazard_state	multistate_sidecar_required	count_admission_state	omitted_row_reason_if_any	source_path	record_title	evidence_tier	publication_confidence_cap	translation_flag	safe_join_scope	counting_rule	dashboard_hook	paper_thesis_use
data/cases/security-agentic-candidates.jsonl:LIMEN-000006	technical_authority	reviewed_not_duplicate	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000007	technical_authority	reviewed_not_duplicate	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	translation_caution_provisional	no_cluster_review_row		no	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	T1_single_public_source	low	translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate provisional lineage using normalized_record_key	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000008	technical_authority	reviewed_not_duplicate	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms same-framework overlap is subtype recurrence, not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000006	authority_anchor	stable_duplicate_cluster	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000007	authority_anchor	stable_duplicate_cluster	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	translation_caution_provisional	stable_duplicate_cluster		no	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	T1_single_public_source	low	translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	translation_caution_provisional	stable_duplicate_cluster		no	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	Police warn about new fraud methods: gold trading offers and AI-assisted deception	T1_single_public_source	low	translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	translation_caution_authority	stable_duplicate_cluster		no	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	Project ORION: Artificial intelligence for safe border control	T3_authoritative_source_direct_url_resolved	high	translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	translation_caution_provisional	stable_duplicate_cluster		no	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	In Sveta Trojica, artificial intelligence already stands in for a secretary	T1_single_public_source	low	translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	translation_caution_provisional	stable_duplicate_cluster		no	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	T1_single_public_source	low	translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000008	authority_anchor	no_cluster_review_row	identifier_collision_blocker	yes	admit_with_multistate_sidecar	legacy_21_panel_omits_singleton_plus_collision_row	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate reviewed singleton lineage using normalized_record_key	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000009	technical_authority	no_cluster_review_row	identifier_collision_blocker	yes	admit_with_multistate_sidecar	legacy_21_panel_omits_singleton_plus_collision_row	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate provisional lineage using normalized_record_key	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
