case_id	cve_id	platform	record_status	current_evidence_tier	role_bucket	source_id	source_kind	authority_character	supports	cannot_support	independence_level	exactness_level	reviewer_use	dashboard_hook	verification_gap
LIMEN-000003	CVE-2025-55284	Claude Code	authoritative	T3_authoritative_source	vendor_security_advisory	LIMEN-S-013	vendor_security_advisory	issuer-authored remediation notice with concrete timing metadata	issuer-side remediation visibility, acknowledgement timing, and public patch framing	independent validation, prevalence, or compliance conclusions	issuer_self_report	case_specific_notice	usable for remediation-timeline overlay and issuer-vs-CVE timing comparison	vendor_notice_status=yes; notice_type=vendor_security_advisory; remediation_visibility_bucket=strong	Keep as strong remediation metadata; continue treating AVID/ATLAS linkage separately from issuer notice depth.
LIMEN-000003	CVE-2025-55284	Claude Code	authoritative	T3_authoritative_source	external_framework_negative_or_absent	AVID-local-snapshot-negative	AVID_snapshot_negative_evidence	negative evidence from the local AVID snapshot used in this project	a bounded statement that no canonical AVID report was present in the local checked snapshot	ecosystem absence or universal non-existence outside the local package state	independent_framework_database	negative_local_snapshot_only	Useful as hostile-reviewer-safe package-state evidence only.	role=framework_negative_evidence; framework=AVID	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000003	CVE-2025-55284	Claude Code	authoritative	T3_authoritative_source	external_framework_technique_only	AML.T0051.000 Direct; AML.T0053 AI Agent Tool Invocation	ATLAS_technique_taxonomy	framework technique and mitigation taxonomy without a direct case-study join	security technique labeling and cross-case comparability	exact external incident linkage or proof that ATLAS covers the specific CVE as a case study	independent_framework_taxonomy	technique_taxonomy_only	Use for methods/taxonomy tables, not for stronger incident-truth claims.	role=framework_taxonomy; framework=ATLAS	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	T3_authoritative_source	primary_cve_record	LIMEN-S-009	public_cve_or_cna_record	primary public vulnerability record for narrow technical claim and disclosed mitigation text	case existence, CVE identifier, bounded vulnerability summary, and any fix/workaround language explicitly present in the record	prevalence, exploit frequency, legal responsibility, or complete remediation certainty beyond the record text	semi_independent_registry_or_cna_disclosure	case_specific_primary_record	Base row for manuscript tables: every security case starts from a bounded primary public record rather than from framework taxonomy alone.	role=primary_cve_record	keep fixed-version language bounded to release-note-grade signal; direct CVE-specific vendor advisory or exact fixed-version statement still needed; keep framework linkage at technique/taxonomy level only
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	T3_authoritative_source	coordination_center_notice	LIMEN-S-015	third_party_coordination_notice	independent coordination-center summary with partial vendor-response visibility	public coordination posture and timeline metadata	full vendor remediation certainty or exact fixed-version mapping absent direct vendor bulletin	independent_third_party	case_specific_coordination_metadata	usable for remediation-timeline overlay and issuer-vs-CVE timing comparison	vendor_notice_status=no_direct_vendor_notice; third_party_notice_status=yes; remediation_visibility_bucket=partial	Look for a direct CrewAI vendor bulletin or release note with fixed-version detail; do not infer full remediation from CERT/CC summary.
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	T3_authoritative_source	external_framework_negative_or_absent	AVID-local-snapshot-negative	AVID_snapshot_negative_evidence	negative evidence from the local AVID snapshot used in this project	a bounded statement that no canonical AVID report was present in the local checked snapshot	ecosystem absence or universal non-existence outside the local package state	independent_framework_database	negative_local_snapshot_only	Useful as hostile-reviewer-safe package-state evidence only.	role=framework_negative_evidence; framework=AVID	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	T3_authoritative_source	external_framework_technique_only	AML.T0053 AI Agent Tool Invocation	ATLAS_technique_taxonomy	framework technique and mitigation taxonomy without a direct case-study join	security technique labeling and cross-case comparability	exact external incident linkage or proof that ATLAS covers the specific CVE as a case study	independent_framework_taxonomy	technique_taxonomy_only	Use for methods/taxonomy tables, not for stronger incident-truth claims.	role=framework_taxonomy; framework=ATLAS	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	T3_authoritative_source	vendor_release_note_signal	LIMEN-S-020	vendor_release_note	issuer-authored release-note signal mentioning relevant bug-fix themes without CVE-specific bulletin status	bounded remediation visibility stronger than coordination-only evidence	exact CVE-to-version mapping or complete remediation certainty by itself	issuer_self_report	release_note_grade_non_cve_specific	Useful for a partial-remediation-visibility row in tables and limitations text.	role=vendor_release_note_signal; issuer=CrewAI	Needs a direct CVE-specific vendor advisory or exact fixed-version statement before stronger comparative remediation claims.
LIMEN-000004	CVE-2026-2285	CrewAI	authoritative	T3_authoritative_source	negative_vendor_advisory_listing_check	LIMEN-S-021	vendor_advisory_listing_negative_check	bounded negative check against the public CrewAI advisory listing	a narrow package-state statement that no direct public GitHub advisory rows were identified in the checked listing	ecosystem absence or proof that no advisory exists anywhere outside the bounded check	issuer_self_report	negative_bounded_listing_check	Useful negative evidence separating advisory absence from release-note presence.	role=negative_notice_check; issuer=CrewAI	Needs a direct CVE-specific vendor advisory or exact fixed-version statement before stronger comparative remediation claims.
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	T3_authoritative_source	primary_cve_record	LIMEN-S-010	public_cve_or_cna_record	primary public vulnerability record for narrow technical claim and disclosed mitigation text	case existence, CVE identifier, bounded vulnerability summary, and any fix/workaround language explicitly present in the record	prevalence, exploit frequency, legal responsibility, or complete remediation certainty beyond the record text	semi_independent_registry_or_cna_disclosure	case_specific_primary_record	Base row for manuscript tables: every security case starts from a bounded primary public record rather than from framework taxonomy alone.	role=primary_cve_record	keep fixed-version language bounded to release-note-grade signal; direct CVE-specific vendor advisory or exact fixed-version statement still needed; keep framework linkage at technique/taxonomy level only
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	T3_authoritative_source	coordination_center_notice	LIMEN-S-015	third_party_coordination_notice	independent coordination-center summary with partial vendor-response visibility	public coordination posture and timeline metadata	full vendor remediation certainty or exact fixed-version mapping absent direct vendor bulletin	independent_third_party	case_specific_coordination_metadata	usable for remediation-timeline overlay and issuer-vs-CVE timing comparison	vendor_notice_status=no_direct_vendor_notice; third_party_notice_status=yes; remediation_visibility_bucket=partial	Look for a direct CrewAI vendor bulletin or release note with fixed-version detail; do not infer full remediation from CERT/CC summary.
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	T3_authoritative_source	external_framework_negative_or_absent	AVID-local-snapshot-negative	AVID_snapshot_negative_evidence	negative evidence from the local AVID snapshot used in this project	a bounded statement that no canonical AVID report was present in the local checked snapshot	ecosystem absence or universal non-existence outside the local package state	independent_framework_database	negative_local_snapshot_only	Useful as hostile-reviewer-safe package-state evidence only.	role=framework_negative_evidence; framework=AVID	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	T3_authoritative_source	external_framework_technique_only	AML.T0053 AI Agent Tool Invocation	ATLAS_technique_taxonomy	framework technique and mitigation taxonomy without a direct case-study join	security technique labeling and cross-case comparability	exact external incident linkage or proof that ATLAS covers the specific CVE as a case study	independent_framework_taxonomy	technique_taxonomy_only	Use for methods/taxonomy tables, not for stronger incident-truth claims.	role=framework_taxonomy; framework=ATLAS	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	T3_authoritative_source	vendor_release_note_signal	LIMEN-S-020	vendor_release_note	issuer-authored release-note signal mentioning relevant bug-fix themes without CVE-specific bulletin status	bounded remediation visibility stronger than coordination-only evidence	exact CVE-to-version mapping or complete remediation certainty by itself	issuer_self_report	release_note_grade_non_cve_specific	Useful for a partial-remediation-visibility row in tables and limitations text.	role=vendor_release_note_signal; issuer=CrewAI	Needs a direct CVE-specific vendor advisory or exact fixed-version statement before stronger comparative remediation claims.
LIMEN-000005	CVE-2026-2286	CrewAI	authoritative	T3_authoritative_source	negative_vendor_advisory_listing_check	LIMEN-S-021	vendor_advisory_listing_negative_check	bounded negative check against the public CrewAI advisory listing	a narrow package-state statement that no direct public GitHub advisory rows were identified in the checked listing	ecosystem absence or proof that no advisory exists anywhere outside the bounded check	issuer_self_report	negative_bounded_listing_check	Useful negative evidence separating advisory absence from release-note presence.	role=negative_notice_check; issuer=CrewAI	Needs a direct CVE-specific vendor advisory or exact fixed-version statement before stronger comparative remediation claims.
