normalized_record_key	source_path	line_no	local_id_field	local_id	record_title	record_status	evidence_tier	current_confidence	publication_confidence_cap	confidence_rule_status	translation_status	safe_join_scope	duplicate_control_state	cluster_id	lineage_counting_rule	jurisdictions	languages	paper_thesis_use	dashboard_hook	supporting_rule_or_queue
data/cases/security-agentic-candidates.jsonl:LIMEN-000004	data/cases/security-agentic-candidates.jsonl	4	case_id	LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	reviewed_not_duplicate	REVIEW-NOMERGE-CREWAI-001	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	Global	English	bounded subtype-recurrence example without event collapse	non-merge overlay for subtype recurrence versus duplicate control	REVIEW-NOMERGE-CREWAI-001
data/cases/security-agentic-candidates.jsonl:LIMEN-000005	data/cases/security-agentic-candidates.jsonl	5	case_id	LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	reviewed_not_duplicate	REVIEW-NOMERGE-CREWAI-001	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	Global	English	bounded subtype-recurrence example without event collapse	non-merge overlay for subtype recurrence versus duplicate control	REVIEW-NOMERGE-CREWAI-001
data/cases/security-agentic-candidates.jsonl:LIMEN-000006	data/cases/security-agentic-candidates.jsonl	6	case_id	LIMEN-000006	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	reviewed_not_duplicate	REVIEW-NOMERGE-CODEEXEC-001	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	Global	English	bounded subtype-recurrence example without event collapse	non-merge overlay for subtype recurrence versus duplicate control	REVIEW-NOMERGE-CODEEXEC-001
data/cases/security-agentic-candidates.jsonl:LIMEN-000007	data/cases/security-agentic-candidates.jsonl	7	case_id	LIMEN-000007	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	reviewed_not_duplicate	REVIEW-NOMERGE-CODEEXEC-002	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	Global	English	bounded subtype-recurrence example without event collapse	non-merge overlay for subtype recurrence versus duplicate control	REVIEW-NOMERGE-CODEEXEC-002
data/cases/security-agentic-candidates.jsonl:LIMEN-000008	data/cases/security-agentic-candidates.jsonl	8	case_id	LIMEN-000008	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	reviewed_not_duplicate	REVIEW-NOMERGE-LANGCHAIN-001	count as separate lineage; reviewed non-merge confirms same-framework overlap is subtype recurrence, not event identity	Global	English	bounded subtype-recurrence example without event collapse	non-merge overlay for subtype recurrence versus duplicate control	REVIEW-NOMERGE-LANGCHAIN-001
data/cases/security-agentic-candidates.jsonl:LIMEN-000009	data/cases/security-agentic-candidates.jsonl	9	case_id	LIMEN-000009	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	no_cluster_review_row		count as separate provisional lineage using normalized_record_key	Global	English	bounded singleton subtype exemplar for identity / authorization boundary abuse until a second reviewed lineage appears	provisional case-level exports should carry normalized_record_key; security subtype singleton watch	security_identity_singleton_watch
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	data/cases/multilingual-candidates.jsonl	1	candidate_id	LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	candidate	T3_authoritative_source_direct_url_resolved	medium	high	aligned_or_not_reviewed	machine_read_direct_source_extraction_note	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-004	collapse only for lineage counts; do not count both base and queue rows as separate cases	Slovenia	sl	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-004
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	data/cases/multilingual-candidates.jsonl	2	candidate_id	LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	candidate	T1_single_public_source	medium	low	confidence_overhang	machine_read_direct_source_extraction_note	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-001	collapse only for lineage counts; do not count both base and queue rows as separate cases	Finland	fi	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-001
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	data/cases/multilingual-candidates.jsonl	3	candidate_id	LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	candidate	T1_single_public_source	medium	medium	aligned_or_not_reviewed	title_gloss_only	normalized_record_key_canonical; bare_local_id_provenance_only	no_cluster_review_row		count as separate provisional lineage using normalized_record_key	Finland	fi	local seed or queue row; safe only with file-qualified provenance	provisional case-level exports should carry normalized_record_key	Q-OVER-003
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	data/cases/multilingual-candidates.jsonl	4	candidate_id	LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	candidate	T1_single_public_source	medium	medium	aligned_or_not_reviewed	title_gloss_only	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-003	collapse only for lineage counts; do not count both base and queue rows as separate cases	Lithuania	lt	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-003
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	data/cases/multilingual-candidates.jsonl	5	candidate_id	LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	candidate	T1_single_public_source	medium	low	confidence_overhang	machine_read_direct_source_extraction_note	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-005	collapse only for lineage counts; do not count both base and queue rows as separate cases	Slovenia	sl	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-005
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	data/cases/multilingual-candidates.jsonl	6	candidate_id	LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	candidate	T1_single_public_source	medium	low	confidence_overhang	title_gloss_only	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-006	collapse only for lineage counts; do not count both base and queue rows as separate cases	Estonia	et	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-006
results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004	results/boost/limen-boost-005/candidate-cases.jsonl	1	candidate_id	LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control				low	aligned_or_not_reviewed	machine_assisted_partial_full_page_extraction	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-004	collapse only for lineage counts; do not count both base and queue rows as separate cases	Slovenia	sl	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-004
results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001	results/boost/limen-boost-005/candidate-cases.jsonl	2	candidate_id	LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist				low	aligned_or_not_reviewed	title_gloss_only	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-001	collapse only for lineage counts; do not count both base and queue rows as separate cases	Finland	fi	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-001
results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-006	results/boost/limen-boost-005/candidate-cases.jsonl	3	candidate_id	LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam				low	aligned_or_not_reviewed	title_gloss_only	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-006	collapse only for lineage counts; do not count both base and queue rows as separate cases	Estonia	et	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-006
results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003	results/boost/limen-boost-005/candidate-cases.jsonl	4	candidate_id	LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception				low	aligned_or_not_reviewed	title_gloss_only	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-003	collapse only for lineage counts; do not count both base and queue rows as separate cases	Lithuania	lt	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-003
results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-005	results/boost/limen-boost-005/candidate-cases.jsonl	5	candidate_id	LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary				low	aligned_or_not_reviewed	title_gloss_only	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-005	collapse only for lineage counts; do not count both base and queue rows as separate cases	Slovenia	sl	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-LMWCS-20260606-005
results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	results/boost/limen-boost-009/candidate-cases.jsonl	1	case_id	LIMEN-000001	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	collapse only for lineage counts; do not count both base and queue rows as separate cases	US;CA	en	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318
results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	results/boost/limen-boost-009/candidate-cases.jsonl	2	case_id	LIMEN-000002	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	stable_duplicate_cluster	CLUSTER-DERIVATIVE-SEC-GP-20260318	collapse only for lineage counts; do not count both base and queue rows as separate cases	US	en	methods note on workflow duplicates versus new evidence	lineage-collapse rule for multilingual verification queue	CLUSTER-DERIVATIVE-SEC-GP-20260318
data/cases/authoritative-candidates.jsonl:LIMEN-000008	data/cases/authoritative-candidates.jsonl	8	case_id	LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	authoritative	T3_authoritative_source	high	high	aligned_or_not_reviewed	not_flagged	normalized_record_key_canonical; bare_local_id_provenance_only	no_cluster_review_row	REVIEW-SINGLETON-LIMEN-000008	count as separate reviewed singleton lineage using normalized_record_key	United States	en	bounded authoritative deepfake/public-sector enforcement exemplar outside duplicate collapse	provisional case-level exports should carry normalized_record_key; deepfake/public-sector singleton watch	REVIEW-SINGLETON-LIMEN-000008
