  ┊ review diff
a/results/review-candidates/bulk-review-batches/parent-source-extraction/20260616T122916Z-lane10-dc2504ef/parent-source-extraction-results.tsv → b/results/review-candidates/bulk-review-batches/parent-source-extraction/20260616T122916Z-lane10-dc2504ef/parent-source-extraction-results.tsv
@@ -0,0 +1,25 @@
+queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
+BPSE-01115	LIMEN-SIGNAL-CF8A289A6A414239	source_surface_only_no_case		Nekropolis methodological date-handling prose	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-actor-normalized-candidate-update.md:173	Methodology prose contains no concrete public parent source URL.	source-surface existence only from local metadata/files	use only as method context, not source extraction target
+BPSE-01116	LIMEN-SIGNAL-CFA2B377BD2BAA4C	source_url_extracted	https://www.mbie.govt.nz/science-and-technology/science-and-innovation/research-and-data/algorithms-at-mbie	Algorithms at MBIE: Transparency and accountability for our algorithm use	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3645	Local source-refresh row names MBIE agency algorithm-transparency page for NZ I05.	source-surface existence only from local metadata/files	review MBIE page as agency-level transparency evidence, not a national register
+BPSE-01117	LIMEN-SIGNAL-CFB534B675B3AC46	parent_source_wrapper		Retraction Watch candidate slice	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-before-successor-candidate-update-20260519T170658Z.md:39-41	Draft section describes a large Retraction Watch candidate slice but exposes no single original row URL.	source-surface existence only from local metadata/files	choose a specific retained retraction entry before parent-source extraction
+BPSE-01118	LIMEN-SIGNAL-CFD65D40963D82E1	country_gap_no_parent_source		Croatia country matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:14	Country score/profile row records gap flags and summary only; no single parent source URL.	source-surface existence only from local metadata/files	select a concrete source-pack row for Croatia I05 if further review is needed
+BPSE-01119	LIMEN-SIGNAL-CFD940DBA87672FC	source_url_extracted	https://www.rbi.org.in/Scripts/PublicationReportDetails.aspx?UrlPage=&ID=938	Enabling Framework for Regulatory Sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:3179	Local source-refresh row names RBI sandbox framework and URL for India I03.	source-surface existence only from local metadata/files	review as sectoral financial sandbox evidence; do not claim national AI sandbox
+BPSE-01120	LIMEN-SIGNAL-D008F0B5CF056B41	parent_source_wrapper		Sri Lanka hardening summary source improvements	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:225; app data lines 21687-21717	Summary row lists multiple improved source examples; local metadata exposes several URLs requiring selection.	source-surface existence only from local metadata/files	human choose one Sri Lanka source surface before single-source review
+BPSE-01121	LIMEN-SIGNAL-D02D69908B4692DA	country_gap_no_parent_source		Heard Island and McDonald Islands I05 confidence row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:630	Negative algorithm-register confidence row cites checks but no concrete parent source URL for a register.	source-surface existence only from local metadata/files	keep as gap/negative-evidence state unless a specific source-pack row is selected
+BPSE-01122	LIMEN-SIGNAL-D03C70F337DA1E5B	source_url_extracted	https://ai.gov.ua/	Roadmap for AI regulation in Ukraine - sandbox/planned regulatory instruments	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv:968	Local first-pass source pack names Ukraine AI roadmap portal for I03 planned sandbox evidence.	source-surface existence only from local metadata/files	review as planned/emerging sandbox evidence; do not claim live sandbox maturity
+BPSE-01123	LIMEN-SIGNAL-D04E0FA157A10223	source_url_extracted	https://tem.fi/hanke?tunnus=TEM050:00/2024	Government proposal for supervision of certain AI systems - stage I	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SOURCE_REFRESH.csv:35	Local source-refresh row names TEM project URL as Finland-specific partial I10 evidence.	source-surface existence only from local metadata/files	review as emerging supervision project; do not claim operational lifecycle regime
+BPSE-01124	LIMEN-SIGNAL-D052901D5C5317DA	country_gap_no_parent_source		Dominican Republic country matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv:17	Country score/profile summary contains gap flags and no single parent source URL.	source-surface existence only from local metadata/files	use DO source-pack rows only after selecting a specific indicator/source
+BPSE-01125	LIMEN-SIGNAL-D05A1995495F04E0	country_gap_no_parent_source		Botswana observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:48	Research queue row is a country query placeholder and contains no extracted parent source URL.	source-surface existence only from local metadata/files	perform bounded local source-pack selection before parent extraction
+BPSE-01126	LIMEN-SIGNAL-D062222384FC46E0	source_surface_only_no_case		RapidSOS HARMONY AI Assistant atlas target-evidence checklist	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json:3191-3204	Atlas object lists target evidence categories but no concrete public parent URL.	source-surface existence only from local metadata/files	locate a concrete evidence record for this agent before extraction
+BPSE-01127	LIMEN-SIGNAL-D084EBC761BF8AFA	source_surface_only_no_case		retraction-watch computer-generated-content aggregate count	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-counts-v01-strict-window-20260522T160305Z.csv:8	Aggregate count row has no individual public parent source URL.	source-surface existence only from local metadata/files	select underlying entry rows before source review
+BPSE-01128	LIMEN-SIGNAL-D08711C06F959430	country_gap_no_parent_source		Tunisia observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:79	Research queue row is a country query placeholder and contains no extracted parent source URL.	source-surface existence only from local metadata/files	perform bounded local source-pack selection before parent extraction
