signal_id	first_pass_verdict	candidate_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-00CF8258299EB4D3	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-00D34216F23F275B	hold_needs_direct_source	ambiguous_internal_signal	First-pass metadata is too indirect or mixed to justify immediate promotion or rejection.	Ambiguous lead only; no truth, legality, safety, or prevalence inference permitted.	Trace the row back to a direct authoritative source before any stronger adjudication.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-legal-normative-crosswalk/cycle-2026-06-08T05-52-27+02-00.md
LIMEN-SIGNAL-00DD5B975DD6BBFB	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.json
LIMEN-SIGNAL-00E8B8F7198316FD	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/papers/01-estonia-sandbox-evidence-infrastructure-v0.4-readable-draft.md
LIMEN-SIGNAL-00E94303C62D34C8	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_multilingual_exploitation.py.bak-gaia-gaps-20260604T051859Z
LIMEN-SIGNAL-00EC9A9860925861	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-00ECC71339795C17	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193210Z/claim-support-digest.md
LIMEN-SIGNAL-00EE18B55E596576	reject_as_cross_project_noise	gaia_agent_or_law_surface	Row belongs to GAIA agent/law inventory material rather than a bounded LIMEN review-candidate surface.	At most a cross-project lead; not a LIMEN-reviewed source candidate in this batch.	Exclude from this LIMEN batch and leave any follow-up to the relevant GAIA or law-surface workflow.	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260605T0845EEST/data/facts.jsonl
LIMEN-SIGNAL-00EF58063D0CC34B	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/prompts/waves/observability-global/batch-14-tl-gr.md
LIMEN-SIGNAL-00FFFFC1C70C4926	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/data/record-level-depth-audit-v0.11.csv
LIMEN-SIGNAL-0107221E1ED91370	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/boost/atlas-boost-013/display-governance-board.json
LIMEN-SIGNAL-010C0487BF72CF57	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-0116385AD3786592	hold_needs_direct_source	proxy_gap_or_seed_signal	Row is a proxy, gap note, seed, or weak source-pack row that still needs the directly named authoritative page.	Only a route-to-source hint; not enough for a reviewed-core claim or even a stable reviewed surface.	Resolve to the exact official/regulator page first, then re-enter source review with the direct record.	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-011920F60A14A5EE	reject_as_cross_project_noise	gaia_agent_or_law_surface	Row belongs to GAIA agent/law inventory material rather than a bounded LIMEN review-candidate surface.	At most a cross-project lead; not a LIMEN-reviewed source candidate in this batch.	Exclude from this LIMEN batch and leave any follow-up to the relevant GAIA or law-surface workflow.	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-eu-ai-act-extraterritorial__1__eur-lex.europa.eu__direct_public_fetch__a8832606ac318357.html
LIMEN-SIGNAL-012288B79166B0A7	hold_low_relevance	scholarly_or_theory_context_lead	Row is scholarly or theory context rather than an official/regulator source surface, so it misses the P1 slice target.	Background-context value only until connected to an authoritative public source.	Keep only as context; do not spend direct source-review budget on it in the current P1 official/regulator batch.	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-012F6D8530DCBA6B	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T193348Z/claim-support-digest.json
LIMEN-SIGNAL-013299CD76B052D4	hold_needs_direct_source	ambiguous_internal_signal	First-pass metadata is too indirect or mixed to justify immediate promotion or rejection.	Ambiguous lead only; no truth, legality, safety, or prevalence inference permitted.	Trace the row back to a direct authoritative source before any stronger adjudication.	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z
LIMEN-SIGNAL-01383B3E79B772AA	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T193210Z/claim-support-digest.json
LIMEN-SIGNAL-013C2D794358E4DB	hold_needs_direct_source	proxy_gap_or_seed_signal	Row is a proxy, gap note, seed, or weak source-pack row that still needs the directly named authoritative page.	Only a route-to-source hint; not enough for a reviewed-core claim or even a stable reviewed surface.	Resolve to the exact official/regulator page first, then re-enter source review with the direct record.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-01445E55A2212A1F	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-01447BF19706B61B	hold_needs_direct_source	proxy_gap_or_seed_signal	Row is a proxy, gap note, seed, or weak source-pack row that still needs the directly named authoritative page.	Only a route-to-source hint; not enough for a reviewed-core claim or even a stable reviewed surface.	Resolve to the exact official/regulator page first, then re-enter source review with the direct record.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-014579530AE2D653	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/papergrade-preprints/atlas-papergrade-preprint-20260606T053048Z/sources/srv_tyche_atlas_tyche-thesis-atlas-factory_analysis_claim-support_preprint-claim-verification-latest.md
LIMEN-SIGNAL-0154591E0FDB5FAB	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/results/all-record-paper-20260607/public-ai-registry-atlas-all-record-manuscript-20260607.layout.txt
LIMEN-SIGNAL-0156EEEE7507FC50	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-001/cpu-mining-source-family-router-20260612.tsv
LIMEN-SIGNAL-01598B84F7932555	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/prompts/waves/pallas-hardening-sprint-11/qa-source-hardening.md
LIMEN-SIGNAL-016B9BB9D6B0E6A6	hold_low_relevance	scholarly_or_theory_context_lead	Row is scholarly or theory context rather than an official/regulator source surface, so it misses the P1 slice target.	Background-context value only until connected to an authoritative public source.	Keep only as context; do not spend direct source-review budget on it in the current P1 official/regulator batch.	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl
LIMEN-SIGNAL-01749EAA9950CEDE	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/prompts/waves/observability-global/batch-14-tl-gr.md
LIMEN-SIGNAL-0174AE9B2F4F4C01	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/prompts/waves/observability-global/batch-07-xk-pn.md
LIMEN-SIGNAL-0178F28EF8A34EBD	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-017CC43B00650F4C	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/method-codebook/schema-table.csv
LIMEN-SIGNAL-018415F38A67AF04	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/deployed-gap-map-field-coding-template-v0.1.csv
LIMEN-SIGNAL-01855C6908DEA95C	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/prompts/waves/observability-global/batch-01-cn-gf.md
LIMEN-SIGNAL-018624E782752D38	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-018A2B5F6ED1BA11	reject_as_cross_project_noise	gaia_agent_or_law_surface	Row belongs to GAIA agent/law inventory material rather than a bounded LIMEN review-candidate surface.	At most a cross-project lead; not a LIMEN-reviewed source candidate in this batch.	Exclude from this LIMEN batch and leave any follow-up to the relevant GAIA or law-surface workflow.	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/global-agent-atlas-v0.1/exports/global-agent-atlas-laws-v0.1.csv
LIMEN-SIGNAL-018B04D79273C5A2	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/boost/atlas-boost-017/route-preprint-framing-check.json
LIMEN-SIGNAL-018E44A55B2E1921	hold_needs_direct_source	ambiguous_internal_signal	First-pass metadata is too indirect or mixed to justify immediate promotion or rejection.	Ambiguous lead only; no truth, legality, safety, or prevalence inference permitted.	Trace the row back to a direct authoritative source before any stronger adjudication.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_8_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-018FD8BBB6CB7703	hold_needs_direct_source	ambiguous_internal_signal	First-pass metadata is too indirect or mixed to justify immediate promotion or rejection.	Ambiguous lead only; no truth, legality, safety, or prevalence inference permitted.	Trace the row back to a direct authoritative source before any stronger adjudication.	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-seedtune-20260604T044720Z
LIMEN-SIGNAL-01AC554B7683B2AC	reject_as_cross_project_noise	gaia_agent_or_law_surface	Row belongs to GAIA agent/law inventory material rather than a bounded LIMEN review-candidate surface.	At most a cross-project lead; not a LIMEN-reviewed source candidate in this batch.	Exclude from this LIMEN batch and leave any follow-up to the relevant GAIA or law-surface workflow.	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-121-20260603T0419/records.jsonl
LIMEN-SIGNAL-01BCF47D55B4E205	hold_needs_direct_source	ambiguous_internal_signal	First-pass metadata is too indirect or mixed to justify immediate promotion or rejection.	Ambiguous lead only; no truth, legality, safety, or prevalence inference permitted.	Trace the row back to a direct authoritative source before any stronger adjudication.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/sandboxes-cases-latest.md
LIMEN-SIGNAL-01C0F2558A8123A6	hold_needs_direct_source	ambiguous_internal_signal	First-pass metadata is too indirect or mixed to justify immediate promotion or rejection.	Ambiguous lead only; no truth, legality, safety, or prevalence inference permitted.	Trace the row back to a direct authoritative source before any stronger adjudication.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv
LIMEN-SIGNAL-01CB81EE819FC06F	reject_as_cross_project_noise	gaia_agent_or_law_surface	Row belongs to GAIA agent/law inventory material rather than a bounded LIMEN review-candidate surface.	At most a cross-project lead; not a LIMEN-reviewed source candidate in this batch.	Exclude from this LIMEN batch and leave any follow-up to the relevant GAIA or law-surface workflow.	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/facts.jsonl.bak-cycle227
