public_id	paper_layer	review_verdict	title	jurisdiction	language	evidence_tier	confidence_cap	translation_status	source_family	publication_role	candidate_status	source_review_basis	claim_scope_review	flags	next_action
LIMEN-ML-000001	reviewed_core	limited_core_keep_for_methods_or_coverage	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	Finland	fi	T1_single_public_source	low	translation_dependent	Reputable multilingual media and investigations	core_low_confidence	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Title-gloss lead only; no legal status, intent, attribution, or harm conclusion.	translation_caution;low_confidence_cap	Keep in low-confidence or methods layer; seek official or second public source before stronger use.
LIMEN-SEC-000008	reviewed_core	ready_bounded_core	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	Global	en	T3_authoritative_source	high	not_translation_dependent	Security research and advisories	core_case	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Mechanism exemplar only; use exact advisory/source posture.	no_authoritative_anchor_row_in_anchor_export	Use as reviewed-core example with stated claim scope.
LIMEN-AUTH-000006	reviewed_core	ready_bounded_core	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	United States	en	T3_authoritative_source	high	not_translation_dependent	Regulator and enforcement sources	core_case	not_in_candidate_queue	anchor_rows:1 | source_note:Public-link audit records shell 403 for SEC PDF on this host despite prior local capture.	SEC settlement/order posture only; no finance-sector prevalence claim.	access_limit_recorded	Use as reviewed-core example with stated claim scope.
LIMEN-AUTH-000007	reviewed_core	ready_bounded_core	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	United States	en	T3_authoritative_source	high	not_translation_dependent	Regulator and enforcement sources	core_case	not_in_candidate_queue	anchor_rows:1 | source_note:Public-link audit records shell 403 for SEC PDF on this host despite prior local capture.	SEC settlement/order posture only; no finance-sector prevalence claim.	access_limit_recorded	Use as reviewed-core example with stated claim scope.
LIMEN-ML-000002	reviewed_core	limited_core_keep_for_methods_or_coverage	AI now drafts completely absurd complaints; cases are cited that do not exist	Finland	fi	T1_single_public_source	low	translation_dependent	Reputable multilingual media and investigations	core_low_confidence	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Low-cap translation-dependent procedural-contamination lead; no court or sanctions claim.	translation_caution;low_confidence_cap	Keep in low-confidence or methods layer; seek official or second public source before stronger use.
LIMEN-ML-000003	reviewed_core	limited_core_keep_for_methods_or_coverage	Police warn about new fraud methods: gold trading offers and AI-assisted deception	Lithuania	lt	T1_single_public_source	low	translation_dependent	Reputable multilingual media and investigations	core_low_confidence	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Low-cap translation-dependent fraud/deception lead; no prevalence or legality claim.	translation_caution;low_confidence_cap	Keep in low-confidence or methods layer; seek official or second public source before stronger use.
LIMEN-ML-000004	reviewed_core	ready_bounded_core	Project ORION: Artificial intelligence for safe border control	Slovenia	sl	T3_authoritative_source_direct_url_resolved	high	translation_dependent	Public-sector registers and procurement	core_case	not_in_candidate_queue	anchor_rows:1	Official project/disclosure posture only; no legality, effectiveness, or deployment-impact claim.	translation_caution	Use as reviewed-core example with stated claim scope.
LIMEN-ML-000005	reviewed_core	limited_core_keep_for_methods_or_coverage	In Sveta Trojica, artificial intelligence already stands in for a secretary	Slovenia	sl	T1_single_public_source	low	translation_dependent	Reputable multilingual media and investigations	core_low_confidence	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Low-cap translation-dependent local-public-sector lead; no deployment or legal-basis conclusion.	translation_caution;low_confidence_cap	Keep in low-confidence or methods layer; seek official or second public source before stronger use.
LIMEN-ML-000006	reviewed_core	limited_core_keep_for_methods_or_coverage	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	Estonia	et	T1_single_public_source	low	translation_dependent	Reputable multilingual media and investigations	core_low_confidence	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Low-cap translation-dependent education lead; no final contestability or liability conclusion.	translation_caution;low_confidence_cap	Keep in low-confidence or methods layer; seek official or second public source before stronger use.
LIMEN-RI-000001	non_core_anchor_or_candidate	ready_source_depth_anchor	Medical journal fake self-citation letter with direct Springer retraction notice	unknown_or_multijurisdictional	en	T3_authoritative_source	high	not_translation_dependent	Academic and research-integrity sources	source_depth_anchor	ready_for_bounded_reviewed_anchor	anchor_rows:1 | source_note:Public direct Springer notice text captured locally. | candidate_source:https://link.springer.com/article/10.1007/s00134-024-07752-6	Direct publisher notice supports only notice-bounded reference/peer-review/process statements.	outside_reviewed_core	Use as publisher/source-depth anchor; do not infer prevalence, intent, misconduct, or cross-publisher pattern.
LIMEN-RI-000002	non_core_anchor_or_candidate	ready_source_depth_anchor	Springer ML book made-up citations with direct chapter-PDF retraction notice	unknown_or_multijurisdictional	en	T3_authoritative_source	high	not_translation_dependent	Academic and research-integrity sources	appendix_source_depth_comparator	appendix_anchor	anchor_rows:1 | source_note:Public direct Springer chapter-PDF notice captured locally. | candidate_source:https://link.springer.com/content/pdf/10.1007/978-981-97-9914-5_1.pdf	Direct publisher notice supports only reference-validity and 25-of-46 unverifiable-reference statements.	outside_reviewed_core	Use as publisher/source-depth anchor; do not infer prevalence, intent, misconduct, or cross-publisher pattern.
LIMEN-FTC-000001	non_core_anchor_or_candidate	ready_official_side_anchor	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	United States	en	T3_authoritative_source	high	not_translation_dependent	Regulator and enforcement sources	authority_sidecar_candidate	ready_for_sidecar_promotion	anchor_rows:1 | source_note:Web-visible official page; local shell case-page retrieval returned 403 in prior host checks; PDFs are locally captured in authoritative ledger. | candidate_source:sources/authoritative-source-ledger.tsv:SRC-AUTH-0020..SRC-AUTH-0021	FTC complaint/final-order posture only; no judicial unauthorized-practice or product-truth conclusion.	access_limit_recorded;outside_reviewed_core	Use as official side anchor with complaint/order status separated; no judicial merits, product-truth, detector-validity, or prevalence claim.
LIMEN-FTC-000002	non_core_anchor_or_candidate	ready_official_side_anchor	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	United States	en	T3_authoritative_source	high	not_translation_dependent	Regulator and enforcement sources	authority_sidecar_candidate	ready_for_detector_governance_sidecar	anchor_rows:1 | source_note:Web-visible official page; local shell case-page retrieval returned 403 in prior host checks; PDFs are locally captured in authoritative ledger. | candidate_source:sources/authoritative-source-ledger.tsv:SRC-AUTH-0022..SRC-AUTH-0023	FTC complaint/final-order posture only; no general detector-validity or prevalence conclusion.	access_limit_recorded;outside_reviewed_core	Use as official side anchor with complaint/order status separated; no judicial merits, product-truth, detector-validity, or prevalence claim.
LIMEN-PS-000001	non_core_anchor_or_candidate	ready_governance_anchor_not_harm_case	Danish Datatilsynet decision page on SU-area AI case-processing support	Denmark	da	T3_authoritative_source	high	translation_dependent	Public-sector registers and procurement; Regulator and enforcement sources	public_sector_governance_anchor	governance_anchor_not_harm_case	anchor_rows:1 | source_note:Local shell retrieval returned 200 in prior continuation run. | candidate_source:https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	Governance/legal-basis decision-support source only; not a harm case or compliance certification.	translation_caution;outside_reviewed_core	Use as public-sector governance anchor with translation-safe paraphrase; not harm, legality, compliance, or certification evidence.
LIMEN-FTC-000003	non_core_anchor_or_candidate	hold_complex_chronology	FTC Rytr AI review/testimonial generator matter with later set-aside posture	United States	en	T3_authoritative_source	medium	not_translation_dependent	Regulator and enforcement sources	complex_posture_candidate	hold_complex_posture	source_note:Public FTC page useful but complex due later set-aside chronology. | candidate_source:https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3052-rytr-llc-matter	Hold for complaint/order/set-aside chronology; not a simple current final-order exemplar.	no_authoritative_anchor_row_in_anchor_export;hold_candidate;complex_chronology;outside_reviewed_core	Read complaint, final order, set-aside order, and related order/dissent chronology before reuse.
LIMEN-FTC-000004	non_core_anchor_or_candidate	hold_document_read_pending	FTC Air.ai AI-branded business-opportunity matter	United States	en	T3_authoritative_source_candidate	medium	not_translation_dependent	Regulator and enforcement sources	document_read_pending_candidate	hold_document_read_pending	source_note:Public FTC page useful, exact AI role pending document read. | candidate_source:https://www.ftc.gov/legal-library/browse/cases-proceedings/airai	Hold until complaint/order reading establishes exact AI role and classification.	no_authoritative_anchor_row_in_anchor_export;hold_candidate;document_read_needed;outside_reviewed_core	Read complaint and stipulated order before classifying exact artificial-intelligence role or claim substance.
