cluster_id	cluster_status	cluster_basis	canonical_case_id	member_case_ids	member_source_ids	shared_event_or_actor	shared_failure_mode	cross_source_overlap	evidence_tier_ceiling	jurisdiction_scope	language_scope	review_notes	provenance_inputs	updated_at_utc	lineage_counting_rule	namespace_collision_flag	overlap_control_states	supports_multi_state_control
CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	shared_candidate_id_and_selected_from_linkage	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-005	google-news-radio-ptuj-lead	Slovenian secretary-replacement lead	institutional absurdity / AI-washing possibility	derivative queue duplicate; same lead copied into verification queue	T1_single_public_source	Slovenia	sl	Collapse only for counting lineages. The queue row sharpens next steps but does not add independent evidence.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	2026-06-07T06:09:00Z	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	no	stable_duplicate_cluster	no
CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	shared_candidate_id_and_selected_from_linkage	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-006	google-news-tv3-ee-lead	Estonian exam-failure lead	education-governance anomaly	derivative queue duplicate; same lead copied into verification queue	T1_single_public_source	Estonia	et	Collapse only for counting lineages. The queue row is workflow scaffolding, not a new event.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	2026-06-07T06:09:00Z	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	no	stable_duplicate_cluster	no
CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	stable_duplicate_cluster	shared_order_trail_and_local_promotion	data/cases/authoritative-candidates.jsonl:LIMEN-000006	data/cases/authoritative-candidates.jsonl:LIMEN-000006;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	SRC-AUTH-0012;SRC-AUTH-0013;SRC-SEC-2024-36;SRC-SEC-IA-6573	SEC / Delphia settled AI-washing matter	derivative local promotion of the same SEC settlement order and announcement	cross-inventory duplicate: authoritative package now contains the same Delphia settlement matter previously held in shard 009	T3_authoritative_source	United States;US;CA	en	Collapse for lineage counts, but preserve both provenance trails. The authoritative row is the shared-project promoted record; the shard-009 row remains useful as the earlier local extraction lineage and should not be counted as a second event.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T06:09:00Z	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	yes	stable_duplicate_cluster,reviewed_not_duplicate,identifier_collision_blocker	yes
CLUSTER-DERIVATIVE-SEC-GP-20260318	stable_duplicate_cluster	shared_order_trail_and_local_promotion	data/cases/authoritative-candidates.jsonl:LIMEN-000007	data/cases/authoritative-candidates.jsonl:LIMEN-000007;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	SRC-AUTH-0014;SRC-AUTH-0015;SRC-SEC-2024-36;SRC-SEC-IA-6574	SEC / Global Predictions settled AI-washing matter	derivative local promotion of the same SEC settlement order and announcement	cross-inventory duplicate: authoritative package now contains the same Global Predictions settlement matter previously held in shard 009	T3_authoritative_source	United States;US	en	Collapse for lineage counts, but preserve both provenance trails. The authoritative row is the shared-project promoted record; the shard-009 row remains useful as the earlier local extraction lineage and should not be counted as a second event.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T06:09:00Z	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	yes	stable_duplicate_cluster,reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	shared_concrete_failure_mode		data/cases/security-agentic-candidates.jsonl:LIMEN-000001;data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LIMEN-S-006;LIMEN-S-032	Auto-GPT and LangChain LLMMathChain	unsafe execution of model-supplied Python / code paths	repeated code-execution failure mode across distinct agent/framework products; no shared event, actor, or advisory lineage	T3_authoritative_source	Global	English	Do not merge. Auto-GPT path traversal enabling later host execution and LangChain LLMMathChain prompt injection into Python exec are separate vulnerabilities in different products, but together they strengthen a reviewer-legible subtype around model-supplied code execution surfaces.	data/cases/security-agentic-candidates.jsonl	2026-06-07T06:09:00Z	keep_distinct_lineages_do_not_event_merge	yes	reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	shared_concrete_failure_mode		data/cases/security-agentic-candidates.jsonl:LIMEN-000006;data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LIMEN-S-032;LIMEN-S-036	LangChain LLMMathChain and LlamaIndex safe_eval	LLM-generated or model-mediated code reaches Python/OS execution surfaces	repeated execution-surface pattern across distinct frameworks; no shared event, actor, or advisory lineage	T3_authoritative_source	Global	English	Do not merge. LangChain LLMMathChain prompt injection into Python exec and LlamaIndex safe_eval command injection are separate vulnerabilities in different frameworks, but together they strengthen a reviewer-legible execution-surface subtype around LLM-generated code reaching host execution paths.	data/cases/security-agentic-candidates.jsonl	2026-06-07T06:09:00Z	keep_distinct_lineages_do_not_event_merge	yes	reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	shared_system_family_only		data/cases/security-agentic-candidates.jsonl:LIMEN-000004;data/cases/security-agentic-candidates.jsonl:LIMEN-000005	LIMEN-S-009;LIMEN-S-010	CrewAI	agent tool boundary failures	same product family but distinct CVEs and attack surfaces (local file read vs SSRF/internal retrieval)	T3_authoritative_source	Global	English	Do not merge. These rows support a candidate subtype around agent-tool boundary failures, but they are separate vulnerabilities and should remain distinct cases.	data/cases/security-agentic-candidates.jsonl	2026-06-07T06:09:00Z	keep_distinct_lineages_do_not_event_merge	yes	reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	shared_authority_actor_only		data/cases/authoritative-candidates.jsonl:LIMEN-000003;data/cases/authoritative-candidates.jsonl:LIMEN-000004	SRC-AUTH-0003;SRC-AUTH-0004;SRC-AUTH-0006;SRC-AUTH-0007	Information Commissioner's Office	biometric governance / facial recognition oversight	same regulator family but different regulated entities, dates, intervention types, and affected contexts	T3_authoritative_source	United Kingdom	en	Do not collapse. Serco worker-attendance enforcement and Chelmer school canteen reprimand are separate events; useful as repeated subtype evidence, not duplicate evidence.	data/cases/authoritative-candidates.jsonl	2026-06-07T06:09:00Z	keep_distinct_lineages_do_not_event_merge	yes	reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-NOMERGE-SEC-001	reviewed_not_duplicate	shared_regulator_batch_only		results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	SRC-SEC-2024-36;SRC-SEC-IA-6573;SRC-SEC-IA-6574	U.S. Securities and Exchange Commission	AI-washing / misleading AI marketing in regulated finance	same SEC announcement batch and reporting date, but different firms, order identifiers, and claim particulars	T3_authoritative_source	US;CA	en	Do not collapse. Delphia and Global Predictions were announced together by the SEC, but they remain distinct enforcement matters and should count as repeated subtype evidence, not a single duplicate event.	results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T06:09:00Z	keep_distinct_lineages_do_not_event_merge	yes	stable_duplicate_cluster,reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-NOMERGE-LANGCHAIN-001	reviewed_not_duplicate	shared_system_family_only		data/cases/security-agentic-candidates.jsonl:LIMEN-000006;data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LIMEN-S-032;LIMEN-S-041;LIMEN-S-042	LangChain	agent/runtime trust-boundary failures involving model-mediated execution or unsafe serialized state revival	same framework family but distinct vulnerable components and exploit surfaces (LLMMathChain Python exec vs load()/loads() object revival and chat-history poisoning)	T3_authoritative_source	Global	English	Do not merge. The older LangChain row is an execution-surface prompt-injection vulnerability in LLMMathChain, while the newer row is a vendor-advisory-backed unsafe-deserialization and message-history poisoning issue in load()/loads() paths. Together they strengthen a bounded subtype around agent/runtime trust-boundary failures inside the same framework family without creating a same-event duplicate claim.	data/cases/security-agentic-candidates.jsonl; sources/sources.md	2026-06-07T06:44:12Z	keep_distinct_lineages_do_not_event_merge	yes	reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-NOMERGE-FILEREAD-001	reviewed_not_duplicate	shared_concrete_failure_mode		data/cases/security-agentic-candidates.jsonl:LIMEN-000003;data/cases/security-agentic-candidates.jsonl:LIMEN-000004	LIMEN-S-008;LIMEN-S-009	Claude Code and CrewAI	agent-enabled unauthorized local file disclosure / boundary bypass	repeated file-disclosure pattern across distinct agent frameworks; no shared event, actor, or advisory lineage	T3_authoritative_source	Global	English	Do not merge. Claude Code's default allowlist enabled unauthorized file read plus exfiltration before a forced update, while the CrewAI JSON loader flaw allowed arbitrary server-side local file read. These are separate vulnerabilities in different products, but together they support a reviewer-legible file-disclosure / boundary-bypass subtype inside the security_risk + agentic_control_failure stack.	data/cases/security-agentic-candidates.jsonl	2026-06-07T07:19:21Z	keep_distinct_lineages_do_not_event_merge	yes	reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-SINGLETON-LIMEN-000008	no_cluster_review_row	standalone_lineage_pending_future_overlap_review	data/cases/authoritative-candidates.jsonl:LIMEN-000008	data/cases/authoritative-candidates.jsonl:LIMEN-000008	SRC-AUTH-0016;SRC-AUTH-0017;SRC-AUTH-0018	FCC / Lingo Telecom deepfake robocall enforcement matter	standalone deepfake-election-enforcement lineage; no reviewed same-event duplicate or same-mechanism recurrence package yet	authoritative singleton with simultaneous bare-ID collision exposure against an unrelated security lineage	T3_authoritative_source	United States	en	Keep as a standalone lineage counted by normalized_record_key. This row materially changes taxonomy counts and still lacks a reviewed same-event duplicate or actor-family recurrence package, but it now also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000008` against the unrelated LangChain state-revival record; singleton handling and join-safety therefore both apply.	data/cases/authoritative-candidates.jsonl	2026-06-07T12:21:51Z	count_as_singleton_lineage_pending_future_overlap_review	yes	identifier_collision_blocker,no_cluster_review_row	yes
REVIEW-SINGLETON-LIMEN-000009	no_cluster_review_row	standalone_lineage_pending_future_overlap_review	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	LIMEN-S-045	PraisonAI Platform ownership-assignment abuse	identity / authorization-boundary abuse singleton awaiting a second reviewed lineage	standalone security singleton with simultaneous bare-ID collision exposure against an unrelated public-sector lineage	T3_authoritative_source	Global	English	Keep as a standalone lineage counted by normalized_record_key. The mechanism is reviewer-legible but still singleton-strength locally, so this row should remain a bounded watch state rather than a promoted subtype or duplicate cluster. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009` against the unrelated ORION public-sector row, so singleton handling and join-safety both apply.	data/cases/security-agentic-candidates.jsonl	2026-06-07T12:21:51Z	count_as_singleton_lineage_pending_future_overlap_review	yes	identifier_collision_blocker,no_cluster_review_row	yes
REVIEW-SINGLETON-LMWCS-20260606-002	no_cluster_review_row	standalone_lineage_pending_future_overlap_review	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Kaleva	Finnish intimate-image abuse lead	translation-caution deepfake/intimate-image singleton without reviewed overlap package yet	standalone multilingual singleton; no reviewed same-event duplicate or authoritative corroboration package yet	T1_single_public_source	Finland	fi	Keep as a standalone lineage counted by normalized_record_key. The row remains useful negative evidence and a residual/deepfake watch item, but direct-source and police corroboration are still incomplete.	data/cases/multilingual-candidates.jsonl	2026-06-07T11:09:46Z	count_as_singleton_lineage_pending_future_overlap_review	no	no_cluster_review_row	no
REVIEW-IDCOLLISION-LIMEN-000008	identifier_collision_blocker	same_case_id_string_across_distinct_events		data/cases/authoritative-candidates.jsonl:LIMEN-000008;data/cases/security-agentic-candidates.jsonl:LIMEN-000008	SRC-AUTH-0016;SRC-AUTH-0017;SRC-AUTH-0018;LIMEN-S-041;LIMEN-S-042	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across distinct deepfake-governance and agent-memory security lineages	T3_authoritative_source	United States;Global	en;English	Do not merge. Bare case_id reuse now points to an FCC deepfake robocall enforcement matter and a separate LangChain state-revival / message-history-poisoning vulnerability; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T11:44:56Z	block_bare_id_joins_use_file_qualified_or_global_id	yes	reviewed_not_duplicate,identifier_collision_blocker,no_cluster_review_row	yes
REVIEW-IDCOLLISION-LIMEN-000009	identifier_collision_blocker	same_case_id_string_across_distinct_events		data/cases/authoritative-candidates.jsonl:LIMEN-000009;data/cases/security-agentic-candidates.jsonl:LIMEN-000009	SRC-AUTH-0019;LIMEN-S-045	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across distinct public-sector border-management and agent-workspace authorization lineages	T3_authoritative_source	Slovenia;Global	sl;English	Do not merge. Bare case_id reuse now points to the Slovenian police ORION public-sector pilot row and a separate PraisonAI ownership-assignment vulnerability; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T11:44:56Z	block_bare_id_joins_use_file_qualified_or_global_id	yes	stable_duplicate_cluster,identifier_collision_blocker,no_cluster_review_row	yes
REVIEW-SINGLETON-LIMEN-000010	no_cluster_review_row	standalone_lineage_pending_future_overlap_review	data/cases/authoritative-candidates.jsonl:LIMEN-000010	data/cases/authoritative-candidates.jsonl:LIMEN-000010	SRC-AUTH-0020;SRC-AUTH-0021	FTC / DoNotPay AI-lawyer claims package	singleton official non-finance AI-capability-misstatement lineage awaiting reviewed overlap or recurrence package	standalone authoritative singleton; no reviewed same-event duplicate, derivative queue copy, or bounded recurrence package yet	T3_authoritative_source	United States	en	Keep as a standalone lineage counted by normalized_record_key. The row materially widens non-finance authoritative AI-claim coverage, but there is still no reviewed same-event duplicate or event-merge candidate; preserve FTC complaint/final-order posture and do not infer unauthorized-practice adjudication.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv	2026-06-07T13:32:47Z	count_as_singleton_lineage_pending_future_overlap_review	no	no_cluster_review_row	no
REVIEW-SINGLETON-LIMEN-000011	no_cluster_review_row	standalone_lineage_pending_future_overlap_review	data/cases/authoritative-candidates.jsonl:LIMEN-000011	data/cases/authoritative-candidates.jsonl:LIMEN-000011	SRC-AUTH-0022;SRC-AUTH-0023	FTC / Workado AI-detector accuracy claims package	singleton official detector-governance / false-capability lineage awaiting reviewed overlap or recurrence package	standalone authoritative singleton; no reviewed same-event duplicate, derivative queue copy, or bounded recurrence package yet	T3_authoritative_source	United States	en	Keep as a standalone lineage counted by normalized_record_key. The row strengthens non-finance AI-claim and detector-governance coverage, but there is still no same-event duplicate or reviewer-safe recurrence package; preserve FTC complaint/final-order posture and do not overread the order as a general scientific verdict on detectors.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv	2026-06-07T13:32:47Z	count_as_singleton_lineage_pending_future_overlap_review	no	no_cluster_review_row	no
