row_id	signal_id	completion_disposition	completion_state	obscure_ai_posture	promotion_gate	promotion_priority	url_extraction_verdict	source_url	source_host	source_surface_class	source_review_role	dedupe_key	cluster_size	title_or_snippet	claim_ceiling	completion_reason	next_bulk_action	forbidden_overread
SRPH-00013	LIMEN-SIGNAL-3F44EDDED357DD3C	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-	raw.githubusercontent.com	security_advisory_or_vulnerability	authoritative_advisory_record	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-	2	LIMEN-000005 CVE-2026-2286 authoritative T3_authoritative_source CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition LIMEN-S-010	Surface existence/posture only from local metadata.	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00010	LIMEN-SIGNAL-4DB5E3804CD9EF30	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-2285.json	raw.githubusercontent.com	security_advisory_or_vulnerability	authoritative_vulnerability_record	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-2285.json	1	LIMEN-000004 CVE-2026-2285 authoritative T3_authoritative_source CrewAI JSON loader allowed arbitrary local file read on the server LIMEN-S-009 2026-06-06 English Glo	Source-surface existence only.	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00011	LIMEN-SIGNAL-7343D40663800698	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/29xxx/C	raw.githubusercontent.com	security_advisory_or_vulnerability	authoritative_vulnerability_record	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/29xxx/C	1	LIMEN-000006 CVE-2023-29374 authoritative T3_authoritative_source LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk LIMEN-S-032	surface existence only; no truth/compliance inference	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00014	LIMEN-SIGNAL-76F1F9AFAE9DD518	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-	raw.githubusercontent.com	security_advisory_or_vulnerability	authoritative_advisory_surface	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-	2	LIMEN-000005 CVE-2026-2286 authoritative T3_authoritative_source CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition LIMEN-S-010	Surface existence/posture only from local metadata.	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00012	LIMEN-SIGNAL-C78923D1ED817815	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2024/3xxx/CVE-202	raw.githubusercontent.com	security_advisory_or_vulnerability	authoritative vulnerability record	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2024/3xxx/CVE-202	1	LIMEN-000007 CVE-2024-3271 authoritative T3_authoritative_source LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host LIMEN-S-036	surface existence only; no incident-prevalence inference	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01244	LIMEN-SIGNAL-07E5DD794EF81E6F	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	paired_direct_surfaces	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/article-a-table-1-source-readiness-v0.2.csv:3:LIMEN-SIGNAL-07E5DD794EF81E6F	1	"article-a-t1-02,T1-02,Netherlands,TenderNed + Dutch Algorithm Register,""Buyer/owner names; notice metadata; register schema; query/detail field surfaces; sitemap lastmod metadata"",Primary method-QA pair,No probative authority-owner or ident"	surface existence/posture only	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01036	LIMEN-SIGNAL-14A1EFD2BFB16782	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			security_advisory_or_vulnerability	official_guideline_surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/04-quality-management-system-guideline.txt:607:LIMEN-SIGNAL-14A1EFD2BFB16782	1	the AI system on AI vulnerability vectors (adversarial or penetration attacks)	source-surface existence only; no vulnerability/safety inference	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01631	LIMEN-SIGNAL-1747C1D64046B2E4	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	official_regulator_guidance	/srv/tyche/projects/public-ai-procurement-gap/journal.md:2036:LIMEN-SIGNAL-1747C1D64046B2E4	1	- Claims verified, rewritten, or dropped: verified that TED's live legal notice still includes explicit notice-reuse language; verified that the Dutch Algorithm Register landing page and official `openapi.json` remain live; verified that th	surface existence only; no operational-cohort claim	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01132	LIMEN-SIGNAL-2468F9E810CB0598	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	direct_official_surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/01-introduction-to-the-artificial-regulation.txt:8:LIMEN-SIGNAL-2468F9E810CB0598	1	of the Spanish AI regulatory sandbox pilot, in collaboration between the	Surface existence only; no truth, legality, compliance, prevalence, or ranking inference.	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01557	LIMEN-SIGNAL-2AC747FE59F8B96F	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	paired_direct_surfaces	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-004/article-a-table-direct-row-packet-v0.1.csv:3:LIMEN-SIGNAL-2AC747FE59F8B96F	1	"article-a-t1-02,T1-02,Netherlands,Netherlands,TenderNed + Dutch Algorithm Register,""Official procurement route and bounded public resource probe recorded; project-local portal provenance records CC-0 dataset metadata, while the live `size=1"	surface existence/posture only	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01558	LIMEN-SIGNAL-2C950F0E426742C2	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	named_direct_source_surface	/srv/tyche/projects/public-ai-procurement-gap/sources/source-ledger-v0.1.md:33:LIMEN-SIGNAL-2C950F0E426742C2	1	| src-008 | Dutch Algorithm Register | algorithm register | official | Netherlands | 200 HTML; `/api` root 404 | structured routes need capture | primary register source | api_route_documentation_needed; license_review_needed |	source-surface existence only	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01559	LIMEN-SIGNAL-31F65B7B99FDCF18	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	official_source_surface	/srv/tyche/projects/public-ai-procurement-gap/sources/source-ledger-v0.1.md:50:LIMEN-SIGNAL-31F65B7B99FDCF18	1	| src-022 | Algorithmes de la Ville de Paris | algorithm register | official | France/Paris | 2026-06-08 bounded checks: official data.gouv dataset API returned 200 JSON with `access_type=open`, `license=odc-odbl`, certified `Ville de Paris	source-surface existence only; no legality/compliance/prevalence inference	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01252	LIMEN-SIGNAL-68E50BE96E50A491	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	named_official_source_surface	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-012/kz-long-tail-queue-card-v0.1.json:102:LIMEN-SIGNAL-68E50BE96E50A491	1	"focus_queries: ""Kazakhstan AI Act implementation competent authority; Kazakhstan algorithm register public sector AI; Kazakhstan AI regulatory sandbox; Kazakhstan AI procurement public sector guidance; Kazakhstan AI audit logs provenance po"	source posture only	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01562	LIMEN-SIGNAL-693A74E245481F8B	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	institutional guidance	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/05-risk-management-guideline.txt:1939:LIMEN-SIGNAL-693A74E245481F8B	1	autonomous action systems. Depending on the specific use case, automated decisions	bounded existence/relevance of source surface only	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01564	LIMEN-SIGNAL-9919176F5D93F40F	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	named direct source surface	/srv/tyche/projects/public-ai-procurement-gap/sources/source-ledger-v0.1.md:36:LIMEN-SIGNAL-9919176F5D93F40F	1	| src-028 | City of Helsinki AI Register governance pages and sitemap | algorithm/AI register governance docs | official | Helsinki, Finland | 2026-06-07 bounded checks: English privacy and accessibility pages resolved to stable `/en/` rout	bounded source-surface existence only	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01565	LIMEN-SIGNAL-B7C1565D1EFF445E	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	municipal_register_dataset	/srv/tyche/projects/public-ai-procurement-gap/sources/source-ledger-v0.1.csv:23:LIMEN-SIGNAL-B7C1565D1EFF445E	1	"src-022,Algorithmes de la Ville de Paris,algorithm register,official,France/Paris,see notes/source-specific artifacts,see markdown ledger row and sources/sources.md,""2026-06-08 bounded checks: official data.gouv dataset API returned 200 JSO"	surface existence and title only	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01334	LIMEN-SIGNAL-CAE72D537A52D086	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	official policy page	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-012/source-role-vocabulary-v0.2.csv:8:LIMEN-SIGNAL-CAE72D537A52D086	1	"CA-DADM-2025,Canada Directive on Automated Decision-Making,Canada,Canada,English,policy_comparator,""policy/directive comparator, not active register disclosure"",policy_page,retrieved_substantive,preliminary_unresolved,no,0,CA-DADM-2025,poli"	surface existence only; no legality, safety, prevalence, or compliance inference	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01335	LIMEN-SIGNAL-CBBED70384559077	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			regulator_or_public_authority	official guideline text extract	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/07-data-and-data-governance-guideline.txt:3035:LIMEN-SIGNAL-CBBED70384559077	1	Monitoring is a well-known process in many industries that leverage automated decision-	Names a bounded direct source surface only; no substantive claim.	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-01336	LIMEN-SIGNAL-CE3F53A8D659BA5F	closed_snapshot_only_no_original_url	complete_no_case_claim	not_obscure_ai_case	needs_named_url_extraction	P3	source_path_is_snapshot_only			policy_or_guidance_surface	official_named_surface	/srv/tyche/gaia/tyche-research-vault/policies/ai-coauthorship-disclosure-v0.1.md:30:LIMEN-SIGNAL-CE3F53A8D659BA5F	1	| **UKRIO (UK Research Integrity Office)** | Guidance issued 2023; disclosure required; institutions encouraged to develop local policies. | UKRIO 2023 |	must resolve direct public source before promotion	URL extraction reviewed this as snapshot/local-source only with no original public URL locally recoverable.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00457	LIMEN-SIGNAL-0062F28CE30A41FF	closed_source_surface_anchor_only	complete_no_case_claim	not_obscure_ai_case	source_surface_anchor_only	P2		https://ab.gov.ag/digitaltransformation/pdf/ud_dra_stakholder_workshop_survey/antigua_and_barbuda_digital_readiness_analysis.pdf	ab.gov.ag	regulator_or_public_authority	named_direct_source_surface	https://ab.gov.ag/digitaltransformation/pdf/ud_dra_stakholder_workshop_survey/antigua_and_barbuda_digital_readiness_analysis.pdf	1	AG,Antigua and Barbuda,I03,Antigua and Barbuda Digital Readiness Analysis,Government of Antigua and Barbuda / UNDP,,2026-05-31,offic	Supports only source-surface existence and bounded descriptive posture from the local record, not incident truth, legality, compliance, deployment certainty, prevalence, or ranking.	Reviewed public/official source surface, registry, policy, sandbox, or context anchor only; no concrete edge-case record extracted.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00870	LIMEN-SIGNAL-7A7BC9E74319A32F	closed_source_surface_anchor_only	complete_no_case_claim	not_obscure_ai_case	source_surface_anchor_only	P2		https://ab.gov.ag/detail_template.php?page=government_services/tenders	ab.gov.ag	regulator_or_public_authority	direct_procurement_surface	https://ab.gov.ag/detail_template.php?page=government_services/tenders	2	AG,Antigua and Barbuda,I08,Public Tenders,Government of Antigua and Barbuda,,2026-05-30,official government webpage,Public tenders page evidences procurement publication practice,H,Not an AI	Source-surface existence only; no truth, legality, safety, or prevalence claim.	Reviewed public/official source surface, registry, policy, sandbox, or context anchor only; no concrete edge-case record extracted.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00871	LIMEN-SIGNAL-85F3468F120598C4	closed_source_surface_anchor_only	complete_no_case_claim	not_obscure_ai_case	source_surface_anchor_only	P2		https://ab.gov.ag/detail_template.php?page=government_services/tenders	ab.gov.ag	regulator_or_public_authority	official_procurement_surface	https://ab.gov.ag/detail_template.php?page=government_services/tenders	2	pallas-readiness-sprint-3,AG,Antigua and Barbuda,I08,Public Tenders,Government of Antigua and Barbuda,,2026-05-30,official government webpage,Public tenders page evidences procurement public	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	Reviewed public/official source surface, registry, policy, sandbox, or context anchor only; no concrete edge-case record extracted.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00582	LIMEN-SIGNAL-1D97FEDA55AE0AFF	closed_source_surface_anchor_only	complete_no_case_claim	not_obscure_ai_case	source_surface_anchor_only	P2		https://accelerate.ee/experimentation-framework/	accelerate.ee	regulator_or_public_authority	named_direct_source_surface	https://accelerate.ee/experimentation-framework/	6	- Source: Accelerate Estonia, `Experimentation framework`; URL: ` access date: `2026-06-07T04:42:03Z`; language: English; jurisdiction: Estonia; source family: government innovation-lab page; rights/terms: publ	Supports only source-surface existence and narrow descriptive posture from the local record, not incident truth, legality, compliance, deployment certainty, prevalence, or ranking.	Reviewed public/official source surface, registry, policy, sandbox, or context anchor only; no concrete edge-case record extracted.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00583	LIMEN-SIGNAL-22D7787DC3CEED9E	closed_source_surface_anchor_only	complete_no_case_claim	not_obscure_ai_case	source_surface_anchor_only	P2		https://accelerate.ee/experimentation-framework/	accelerate.ee	regulator_or_public_authority	direct_source_surface	https://accelerate.ee/experimentation-framework/	6	- Source: Accelerate Estonia, `Experimentation framework`; URL: ` access date: `2026-06-07T04:42:03Z`; language: English; jurisdiction: Estonia; source family: government innovation-lab page; rights/terms: publ	named source-surface existence and bounded posture only	Reviewed public/official source surface, registry, policy, sandbox, or context anchor only; no concrete edge-case record extracted.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00175	LIMEN-SIGNAL-47E4E302E9238FFE	closed_source_surface_anchor_only	complete_no_case_claim	not_obscure_ai_case	source_surface_anchor_only	P2		https://accelerate.ee/experimentation-framework/	accelerate.ee	regulator_or_public_authority	direct_surface_candidate	https://accelerate.ee/experimentation-framework/	6	"{""already_in_main_dataset"": false, ""category"": ""estonian-regulatory-sandbox"", ""content_hash"": null, ""content_type"": null, ""dates_found"": [], ""domain"": ""accelerate.ee"", ""error"": ""URLError(gaierror(-3, 'Temporary failure in name resolution'))"	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	Reviewed public/official source surface, registry, policy, sandbox, or context anchor only; no concrete edge-case record extracted.	move_to_next_bulk_queue	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
