lineage_key	representative_key	record_title	source_family_bucket	authority_class	evidence_tier	publication_confidence_cap	translation_flag	duplicate_control_state	member_count	derivative_queue_rows_excluded	reviewer_safe_paper_use	visualization_band	join_hazard	review_gate	claim_ceiling_restatement	paper_claim_ceiling	raw_source_paths
REVIEW-NOMERGE-CODEEXEC-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	security_public_cve_or_advisory	technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	reviewed_not_duplicate	1	0	bounded_security_exemplar_ok	technical_authority	keep_separate_cases_despite_shared_subtype	source_scope_still_bounds_claim_language	narrow_hazard_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-CODEEXEC-002	data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	security_public_cve_or_advisory	technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	reviewed_not_duplicate	1	0	bounded_security_exemplar_ok	technical_authority	keep_separate_cases_despite_shared_subtype	source_scope_still_bounds_claim_language	narrow_hazard_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/security-agentic-candidates.jsonl
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	multilingual_news_or_lead_surface	single_public_source_translation_capped	T1_single_public_source	low	translation_dependent	no_cluster_review_row	1	0	limitations_or_queue_only	translation_caution_provisional	manual_duplicate_review_needed	human_or_direct_source_check_before_strong_legal_or_policy_claim	methods_only_until_corroborated	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	data/cases/multilingual-candidates.jsonl
data/cases/security-agentic-candidates.jsonl:LIMEN-000008	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	security_public_cve_or_advisory	technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	reviewed_not_duplicate	1	0	bounded_security_exemplar_ok	technical_authority	file_qualified_key_preferred	source_scope_still_bounds_claim_language	narrow_hazard_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/security-agentic-candidates.jsonl
CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	regulator_or_prosecutor_authority	authoritative_public_authority	T3_authoritative_source	high	not_translation_dependent	stable_duplicate_cluster	2	1	main_text_exemplar_ok	authority_anchor	collapse_to_cluster_representative_before_counting	cluster_control_before_counting	narrow_authority_supported_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
CLUSTER-DERIVATIVE-SEC-GP-20260318	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	regulator_or_prosecutor_authority	authoritative_public_authority	T3_authoritative_source	high	not_translation_dependent	stable_duplicate_cluster	2	1	main_text_exemplar_ok	authority_anchor	collapse_to_cluster_representative_before_counting	cluster_control_before_counting	narrow_authority_supported_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-001	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	multilingual_news_or_lead_surface	single_public_source_translation_capped	T1_single_public_source	low	translation_dependent	stable_duplicate_cluster	2	1	limitations_or_queue_only	translation_caution_provisional	collapse_to_cluster_representative_before_counting	human_or_direct_source_check_before_strong_legal_or_policy_claim	methods_or_gap_discussion_only	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-003	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	multilingual_news_or_lead_surface	single_public_source_translation_capped	T1_single_public_source	low	translation_dependent	stable_duplicate_cluster	2	1	limitations_or_queue_only	translation_caution_provisional	collapse_to_cluster_representative_before_counting	human_or_direct_source_check_before_strong_legal_or_policy_claim	methods_only_until_corroborated	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-004	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	multilingual_public_authority_with_translation_caution	authoritative_public_authority_translation_caution	T3_authoritative_source_direct_url_resolved	high	translation_dependent	stable_duplicate_cluster	3	1	bounded_exemplar_with_translation_caution	translation_caution_authority	collapse_to_cluster_representative_before_counting	human_or_direct_source_check_before_strong_legal_or_policy_claim	existence_and_narrow_scope_only	Use for narrow source-supported descriptive claims with explicit translation caution and without deployment/compliance overread.	data/cases/authoritative-candidates.jsonl; data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-005	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	multilingual_news_or_lead_surface	single_public_source_translation_capped	T1_single_public_source	low	translation_dependent	stable_duplicate_cluster	2	1	limitations_or_queue_only	translation_caution_provisional	collapse_to_cluster_representative_before_counting	human_or_direct_source_check_before_strong_legal_or_policy_claim	methods_or_gap_discussion_only	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-006	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	multilingual_news_or_lead_surface	single_public_source_translation_capped	T1_single_public_source	low	translation_dependent	stable_duplicate_cluster	2	1	limitations_or_queue_only	translation_caution_provisional	collapse_to_cluster_representative_before_counting	human_or_direct_source_check_before_strong_legal_or_policy_claim	methods_or_gap_discussion_only	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
