signal_id	bulk_route	source_review_verdict	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
LIMEN-SIGNAL-06226E6525CEBB3A	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/exports/global-agent-atlas-laws-v0.1.csv	28	Row points to an already-modeled local registry/atlas/source ledger surface, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface; not a fresh direct-source promotion.	Merge/deduplicate against the stronger existing local source anchor and keep this row only as provenance.
LIMEN-SIGNAL-066B73BD10C7D6F2	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	121	Already-modeled Canada AI Register surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-06787DF8A035170B	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-source-family-denominator-all-20260607.csv	2	Already-modeled Dutch Algorithm Register surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-080C607270CC51A1	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	99	Already-modeled Canada AI Register surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-08238E8D30E228BA	closed_merge_existing_surface	merge_existing_surface	already_modeled_registry_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/evidence-schema-comparator-v0.1.csv	6	Local aggregate/comparator row points to an already-modeled registry surface rather than a new individual source record.	registry-surface metadata only; no individual deployment, compliance, prevalence, or ranking claim	merge with existing registry/dashboard surface model instead of promoting again
LIMEN-SIGNAL-094F59D3F88B3C6F	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	70	Already-modeled Dutch Algorithm Register surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-095597BF42AD04C7	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-gap-map-v0.2.csv	17	Already-modeled UK Algorithmic Transparency Records surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-0A2669C270413B9E	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	60	Already-modeled Dutch Algorithm Register surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-0A4F5B1B2619509C	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/data/facts.json	29755	Local atlas claim points to an already-modeled Dutch Algorithm Register surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-0A565E16898E90BD	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	17	Already-modeled Dutch Algorithm Register surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-0AD92F990938C3C1	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	10	Already-modeled Dutch Algorithm Register surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-0B182653CFA3FD25	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1432	Already-modeled Canada AI Register surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-0B7AEBE6862098C0	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	96	Already-modeled Canada AI Register surface in local registry tables.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-104FC2B87FD36E1B	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/record-level-depth-audit-v0.11.csv	14	Dutch register depth-audit row duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-10BFC286FB56A99B	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	48	Dutch register accession row duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-1136D9F97AAF7B3D	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.preview.csv	4	Dutch register preview record is already covered by the modeled NL registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-1262EAA8EE871273	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	20	Dutch register record duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-1289431C191B3DF6	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	7	Dutch register accession row duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-12CE2E04599CE58A	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1463	Canada AI Register record duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-12E670269F8E846E	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1452	Canada AI Register record duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-1330867674C0B85D	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.preview.csv	10	Dutch register preview row duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-1478754EE705E699	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	4	Dutch register record duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-149D94487949AA96	closed_merge_existing_surface	merge_existing_surface	existing_registry_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1472	Canada AI Register record duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record
LIMEN-SIGNAL-14F9521100EBD107	closed_merge_existing_surface	merge_existing_surface	direct_surface_candidate	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1445	Local row duplicates already-modeled ALL-CA-AI-REG-0030 surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-165B8BF7D9738CEA	closed_merge_existing_surface	merge_existing_surface	translation_sensitive_candidate	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/dutch-belgian-language-latest.md	58	Row points to an already-modeled local registry/dashboard surface.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to existing surface
LIMEN-SIGNAL-16D9B3C3CF108BD3	closed_merge_existing_surface	merge_existing_surface	translation_sensitive_candidate	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.preview.csv	3	Local row duplicates already-modeled NL-ALG-REC-33698247 surface.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to existing surface
LIMEN-SIGNAL-16FFE20B15172957	closed_merge_existing_surface	merge_existing_surface	direct_surface_candidate	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1442	Local row duplicates already-modeled ALL-CA-AI-REG-0027 surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-172DD3C88F21ED7F	closed_merge_existing_surface	merge_existing_surface	translation_sensitive_candidate	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.preview.csv	10	Local row duplicates already-modeled NL-ALG-REC-93184465 surface.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to existing surface
LIMEN-SIGNAL-17417D01A76AD1FC	closed_merge_existing_surface	merge_existing_surface	direct_surface_candidate	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	5	Local row duplicates already-modeled NL-ALG-REG surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-17842F5F2637EEA7	closed_merge_existing_surface	merge_existing_surface	translation_sensitive_candidate	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.csv	4	Local row duplicates already-modeled NL-ALG-REC-93184465 surface.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to existing surface
LIMEN-SIGNAL-17AC446FF4B2D765	closed_merge_existing_surface	merge_existing_surface	translation_sensitive_candidate	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.csv	3	Local row duplicates already-modeled NL-ALG-REC-33698247 surface.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to existing surface
LIMEN-SIGNAL-183878DD62E4285D	closed_merge_existing_surface	merge_existing_surface	direct_surface_candidate	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	100	Local row duplicates already-modeled CA-AI-REG surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-187B4CEC82857C87	closed_merge_existing_surface	merge_existing_surface	direct_surface_candidate	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	82	Local row duplicates already-modeled CA-AI-REG surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-18FA3BD567F820E9	closed_merge_existing_surface	merge_existing_surface	direct_surface_candidate	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-evidence-matrix-v0.1.csv	2	Local row duplicates already-modeled NL-ALG-REG surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface
LIMEN-SIGNAL-190F4C70729BEE8E	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-161-20260603T161/records.jsonl	44	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-193DACD3FF37DE81	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-125-20260603T0511/records.jsonl	40	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-19456E438B6E8A6E	closed_merge_existing_surface	merge_existing_surface	adjacent_transparency_proxy	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1844	Row captures an adjacent transparency, portal, or proxy surface better merged into an existing local country/source record than promoted separately.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1A437AEE49DEAB8F	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	health-finance-education	AI hiring	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-288-active-lanes-37-malaysia-public-sector-ai-governance/facts.jsonl	497	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1AAC1B617F4AA45A	closed_merge_existing_surface	merge_existing_surface	adjacent_transparency_proxy	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	659	Row captures an adjacent transparency, portal, or proxy surface better merged into an existing local country/source record than promoted separately.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1AC84183B62B6666	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	public sector AI	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-records.jsonl	495	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1B55DB61792D5140	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-021/city-case-language-rights-caution-v0.1.md	64	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1B8F1C3F58E45620	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.preview.csv	9	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1C8CD167A2D9DB07	closed_merge_existing_surface	merge_existing_surface	adjacent_transparency_proxy	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1731	Row captures an adjacent transparency, portal, or proxy surface better merged into an existing local country/source record than promoted separately.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1CC924969E61833E	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/record-level-depth-audit-v0.11.csv	16	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1CDFACC25581382E	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1466	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1D2551B0A8618C76	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	21	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1D8A39B153F0F15A	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-record-sampling-quota-v0.3.csv	4	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1D9DDEE5E57F780F	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-289-active-lanes-34-bahrain-parliamentary-chatbot-use-case/facts.jsonl	1088	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1DBF6686637C254B	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	75	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1DC59A6C71741DC7	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/country-readiness/pallas-country-ai-readiness-semantic-links-v0.2.jsonl	190	Row points to a surface already modeled in local registry/atlas material, so promoting it again would duplicate an existing surface.	Supports only bounded linkage to an already captured local surface or derived record.	Merge or deduplicate against the stronger existing local source anchor.
LIMEN-SIGNAL-1E4010940E7F979E	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	37	Already-modeled Dutch Algorithm Register surface in local registry corpus.	dedupe to existing modeled surface only	merge into existing surface record
LIMEN-SIGNAL-1EC849FED6DDD1E0	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	50	Already-modeled Dutch Algorithm Register surface in local registry corpus.	dedupe to existing modeled surface only	merge into existing surface record
LIMEN-SIGNAL-2058FFCED6E9AEBD	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1457	Already-modeled Government of Canada AI Register surface in local registry corpus.	dedupe to existing modeled surface only	merge into existing surface record
LIMEN-SIGNAL-20E4F238FF75CD17	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	79	Already-modeled Government of Canada AI Register surface in local registry corpus.	dedupe to existing modeled surface only	merge into existing surface record
LIMEN-SIGNAL-215BC201EEE3BE76	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	44	Already-modeled Dutch Algorithm Register surface in local registry corpus.	dedupe to existing modeled surface only	merge into existing surface record
LIMEN-SIGNAL-21F0DC23DC31A259	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	61	Already-modeled Dutch Algorithm Register surface in local registry corpus.	dedupe to existing modeled surface only	merge into existing surface record
LIMEN-SIGNAL-224D92F07CF3F6DB	closed_merge_existing_surface	merge_existing_surface	existing_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-gap-map-v0.2.csv	7	Already-modeled UK Algorithmic Transparency Records surface in local registry corpus.	dedupe to existing modeled surface only	merge into existing surface record
