queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action	batch_id	review_priority	source_review_role	shards	queries	source_path	source_line
BTPS-00012	LIMEN-SIGNAL-34F19B81CEEB4934	source_url_extracted	https://egov-ai.e.gov.ph/developers/chat-ai	eGovAI	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-332-active-lanes-159-foreign-language-and-supply-chain-hardening/facts.jsonl:1088	Local facts row source_url gives Chat AI developer-doc URL; issue-spotting only.	API/supply-chain source-surface cue only; no automated-decision or policy finding	extract parent source with archived evidence and keep issue-spotting caveat	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-332-active-lanes-159-foreign-language-and-supply-chain-hardening/facts.jsonl	1088
BTPS-00013	LIMEN-SIGNAL-3DE3A550596A3811	source_url_extracted	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	Colombian Constitutional Court	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:8702	Local digest object line 8733 gives original judgment URL; Spanish verification caveat retained.	Candidate source-level court-AI surface only; no legal holding, due-process finding, deployment status, or promotion claim.	Extract as parent/source candidate with Spanish original-language verification and explicit citation caveat.	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8702
BTPS-00014	LIMEN-SIGNAL-4194AEBF4E86F541	source_url_extracted	https://www.regeringen.se/regeringens-politik/sveriges-ai-strategi/handlingsplan-for-sveriges-ai-strategi/	Government Offices of Sweden	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv:892	Official source-pack row explicitly names Sweden AI strategy action-plan page; no register claim.	AI-governance parent/source context only; no register, prevalence, compliance, or implementation ranking claim.	Extract as parent context with Swedish original-language verification and no-register caveat.	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	892
BTPS-00015	LIMEN-SIGNAL-434650A7398EFCEE	source_url_extracted	https://www.mpo.gov.cz/assets/cz/podnikani/digitalni-ekonomika/umela-inteligence/2024/8/Narodni-strategie-umele-intelience-CR-2030.pdf	Czech Ministry of Industry and Trade	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv:254	Official source-pack row explicitly names Czech AI strategy PDF; no dedicated register claim.	Strategy/source-context only; no register, implementation, compliance, or public-sector AI case claim.	Extract as parent context with Czech original-language verification and no-register caveat.	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	254
BTPS-00016	LIMEN-SIGNAL-4E95E6A06DBE491D	source_url_extracted	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Algorithm Register of the Dutch government	/srv/tyche/projects/public-ai-registry/data/registry-sample-records-v0.2.csv:2	Local registry sample record gives concrete Octobox Anonymisation record URL; English page is auto-translation.	Candidate register-record surface only; no legal/compliance/safety finding from auto-translation.	Extract from original Dutch/source-specific terms before parent promotion.	20260616T130035Z-lane1-0e9f0761	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-sample-records-v0.2.csv	2
BTPS-00017	LIMEN-SIGNAL-52A8DA87885822CC	source_url_extracted	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	T-323/24 — Colombian Constitutional Court	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json#top_sources[92]; local lines 8739-8742	Local digest object names T-323/24 and explicit court URL; translation_status human_review_needed.	Concrete source-surface candidate only; no legal, due-process, compliance, or incident truth claim from translation.	Extract and human-review original Spanish parent source before any case-level use.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8739
BTPS-00018	LIMEN-SIGNAL-5ADCE729A5D90248	source_url_extracted	https://www.et.gr/api/DownloadFeksApi/?fek_pdf=20220100146	Law 4961/2022 Article 7 — National Printing Office / Hellenic Government Gazette	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv#L152	CSV row contains explicit official gazette PDF URL for Article 7 contractor obligations.	Statutory source-surface only pending original-language extraction; no legal interpretation or compliance finding.	Extract Article 7 Greek text and reviewer-safe paraphrase before case-level use.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	152
BTPS-00019	LIMEN-SIGNAL-65291C2A1198F12F	source_url_extracted	https://moitt.gov.pk/SiteImage/Misc/files/National%20AI%20Policy.pdf	Pakistan National Artificial Intelligence Policy PDF	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/persian-urdu-language-history.jsonl#L20	JSONL metadata has explicit source_url/seed_url, but fetch failed and no body was captured.	translation-safe source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Deduplicate with other MOITT leads and extract one canonical local source copy.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/persian-urdu-language-history.jsonl	20
BTPS-00021	LIMEN-SIGNAL-765054855C14FDD6	source_url_extracted	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Provisions on the Administration of Deep Synthesis Internet Information Services — CAC	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json#top_sources[76]; local lines 7614-7620	Local digest object names deep-synthesis provisions and explicit CAC URL; human review needed.	Candidate official-source surface for deep-synthesis governance only; no legal interpretation, compliance finding, or incident truth.	Extract parent source with original Chinese title/excerpt and human translation review.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	7617
BTPS-00022	LIMEN-SIGNAL-7F0B9EF62897A26E	source_url_extracted	https://aiaas.jdn.gov.my/jdn/blog/2025/08/15/ai-chatbot-aishah/	AI Chatbot Aishah — Jabatan Digital Negara / AIAAS	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GAIA_BRIDGE_MATRIX.csv#L16	Bridge row carries explicit Malaysian chatbot URL and translation-review boundary.	Candidate source surface for public-sector chatbot evidence only; no register, risk, compliance, or deployment-status finding beyond local metadata.	Extract Malay parent source with bounded quote and preserve GAIA_HUMAN_REVIEW_BOUNDARY.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GAIA_BRIDGE_MATRIX.csv	16
BTPS-00023	LIMEN-SIGNAL-9144D1F3CE61D668	source_url_extracted	https://minbzk.github.io/Algoritmekader/onderwerpen/publieke-inkoop/	Publieke inkoop — Ministry of the Interior and Kingdom Relations / Algoritmekader	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv#L280	CSV row contains explicit official/open Algoritmekader procurement topic URL.	parent-source candidate only; no universal operational procurement claim	Extract original Dutch parent-source metadata/snippets with translation caution.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	280
BTPS-00024	LIMEN-SIGNAL-919104F93FE5A232	source_url_extracted	https://www.digdir.no/kunstig-intelligens/anskaffelse-av-generativ-ki/7546	Anskaffelse av generativ KI — Digitaliseringsdirektoratet (Digdir)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv#L743	Source-pack row contains explicit Digdir generative-AI procurement guidance URL.	parent-source candidate only; no compliance, prevalence, or implementation claim	Extract original Norwegian parent-source metadata/snippets with translation caution.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	743
BTPS-00025	LIMEN-SIGNAL-973E3156BFB001C3	source_url_extracted	https://intic.gov.mz/itu-aprova-apoio-ao-estabelecimento-do-sandbox-regulatorio-de-inteligencia-artificial-em-mocambique/	ITU aprova apoio ao estabelecimento do Sandbox Regulatorio de Inteligencia Artificial em Mocambique — INTIC	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv#L257	Source-refresh row contains explicit INTIC official-news URL for planned AI sandbox support.	official source-surface for planned/supported AI sandbox only; no operational sandbox claim	extract parent source text locally and verify dates/status before any case promotion	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv	257
BTPS-00026	LIMEN-SIGNAL-9838146402E21D51	source_url_extracted	https://moitt.gov.pk/SiteImage/Misc/files/National%20AI%20Policy.pdf	Pakistan National Artificial Intelligence Policy PDF	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/south-asian-language-latest.jsonl#L3	JSONL metadata has explicit source_url/seed_url, but fetch failed and no content snapshot exists.	candidate official parent source only; no policy-detail claim from unavailable content	fetch/extract the PDF in a controlled source-extraction pass before using details	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/south-asian-language-latest.jsonl	3
BTPS-00027	LIMEN-SIGNAL-999F0A3865F2148B	source_url_extracted	https://www.datatilsynet.no/regelverk-og-verktoy/sandkasse-for-kunstig-intelligens/	Sandkasse for kunstig intelligens — Norwegian Data Protection Authority (Datatilsynet)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv#L1645	World source-pack row contains explicit Datatilsynet AI sandbox programme URL.	official Norway-linked AI sandbox source-surface only; no SJ-specific or AI Act claim	extract page and verify territorial/participant scope before parent use	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1645
BTPS-00028	LIMEN-SIGNAL-9B9C8AE15210DF55	source_url_extracted	https://www.vaticanstate.va/phocadownload/leggi-decreti/normativa-generale/N.%20DCCII%20-%2020241216.pdf	N. DCCII AI guidelines decree — Governorate of Vatican City State / Pontifical Commission	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv#L684	Source-pack row contains explicit Vatican decree PDF URL for AI experimentation/application opinions.	emerging AI experimentation-governance source only; no regulatory-sandbox claim	extract decree text and map Article 14 carefully before parent use	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	684
BTPS-00029	LIMEN-SIGNAL-A15121A15AA3A4AE	source_url_extracted	https://aiweek.pakistan.gov.pk/about	Pakistan official Indus AI Week platform	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/south-asian-language-latest.jsonl#L2	JSONL metadata has explicit source_url/seed_url, but fetch failed and no body was captured.	candidate parent/source surface only; no program facts beyond locator metadata	Retry local capture or obtain source snapshot before evidence extraction.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/south-asian-language-latest.jsonl	2
BTPS-00030	LIMEN-SIGNAL-A2108CE960762FBF	source_url_extracted	https://moitt.gov.pk/Detail/ZWUzMjIyN2UtMWQ3Yi00Y2M1LTgxYTctY2QxMmUzOTdhNjVj	Pakistan Ministry of IT and Telecom AI Policy material	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/south-asian-language-history.jsonl#L1	Historical JSONL metadata has explicit MOITT source_url/seed_url, but fetch failed.	candidate parent/source surface only; no policy or implementation claim	Retry capture or attach verified local source before extraction.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/south-asian-language-history.jsonl	1
BTPS-00031	LIMEN-SIGNAL-A365F8142D39E65C	source_url_extracted	https://algoritmes.overheid.nl/en	The Algorithm Register of the Dutch government	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/multilingual/multilingual-law-to-evidence-v0.2.csv#L233	Multilingual analysis row contains explicit Dutch Algorithm Register parent-source URL.	parent source surface only; no record-level or legal conclusion	Use for parent-source extraction; select individual Dutch records separately.	20260616T130035Z-lane2-7a351274	P1_official_or_regulator_review	translation_candidate_parent_source_extraction	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/multilingual/multilingual-law-to-evidence-v0.2.csv	233
