dashboard_view	row_key	source_id_or_path	access_date	rights_terms_note	language	jurisdiction	join_confidence	rollup_policy	human_review_needed	join_basis	dashboard_source_path	public_dashboard_action	claim_ceiling
source_family_saturation	sf11	results/security/security-agentic-next-route-board-v0.1.tsv	2026-06-08	Preserve bounded metadata and defensive lessons only; exclude exploit payloads and dangerous reproduction detail.	Mostly English with some multilingual advisories.	Global.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf12	sources/multilingual-outlet-authority-matrix.tsv	2026-06-08	Use quotations sparingly; preserve outlet/date/URL and do not treat visibility as prevalence.	Multilingual, including underrepresented and local-language reporting.	Global.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf13	results/source-map/research-integrity-family-inventory-v0.1.tsv	2026-06-08	Public/citation-ready sources preferred; preserve publisher-specific reuse terms.	Mostly English with some multilingual notices.	Global scholarly ecosystem.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf14	results/boost/limen-boost-001/lead-queue-populated-rows.tsv	2026-06-08	Do not store private messages, credentials, or harassment material; promote only as leads.	Highly multilingual.	Global.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf15	results/boost/limen-boost-001/frontier-queue-populated-rows.tsv	2026-06-07	Avoid humiliation, doxxing, or sensationalism; preserve only public-safe metadata.	Multilingual.	Global.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	unlawful_or_allegedly_unlawful_use	LQ-005; LQ-008					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	security_risk	LQ-006					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	agentic_control_failure	LQ-006					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	institutional_absurdity	LQ-001; LQ-004; LQ-009					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	public_sector_misuse_or_gap	LQ-001; LQ-002					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	deepfake_or_synthetic_identity	LQ-005					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	legal_procedural_contamination	LQ-007					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	health_medical_or_mental_health	LQ-003					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	education_workplace_or_hr	LQ-004					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	finance_insurance_or_market	LQ-005; LQ-008					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	surveillance_biometrics_or_policing	LQ-002					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	research_integrity	LQ-009					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	ai_washing_or_false_ai_claim	LQ-008; LQ-009					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	normative_or_moral_outlier	LQ-009					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
taxonomy_heatmap	residual_unclassified	LQ-009					aggregate_no_source_ledger_key	category_rollup_unknown_mixed	yes	category_code/linked_review_queue_ids are routing keys, not source ledger IDs	results/dashboard/taxonomy-heatmap.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	unlawful_or_allegedly_unlawful_use	LQ-005; LQ-008					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	security_risk	LQ-006					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	agentic_control_failure	LQ-006					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	institutional_absurdity	LQ-001; LQ-004; LQ-009					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	public_sector_misuse_or_gap	LQ-001; LQ-002					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	deepfake_or_synthetic_identity	LQ-005					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	legal_procedural_contamination	LQ-007					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	health_medical_or_mental_health	LQ-003					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	education_workplace_or_hr	LQ-004					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	finance_insurance_or_market	LQ-005; LQ-008					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	surveillance_biometrics_or_policing	LQ-002					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	research_integrity	LQ-009					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	ai_washing_or_false_ai_claim	LQ-008; LQ-009					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	normative_or_moral_outlier	LQ-009					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
legal_uncertainty	residual_unclassified	LQ-009					aggregate_no_source_ledger_key	legal_category_rollup_unknown_mixed	yes	legal uncertainty rows aggregate review queues and cannot receive row-level rights/access labels	results/dashboard/legal-uncertainty-matrix.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	T0_discovered_lead						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	T1_single_public_source						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	T2_corroborated_record						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	T3_authoritative_source						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	T3_authoritative_source_direct_url_resolved						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	T4_technically_validated_record						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	high						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	medium						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	low						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	not_translation_dependent						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
evidence_tier_funnel	translation_dependent						denominator_stage_no_source_ledger_key	stage_rollup_not_applicable	no_for_artifact_level_only_yes_for_row_badges	funnel row is a denominator/control stage, not a source row	results/dashboard/evidence-funnel.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	CA|en	candidate-cases.jsonl			en	CA	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	Denmark|da	authoritative-candidates.jsonl			da	Denmark	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	Estonia|et	multilingual-candidates.jsonl			et	Estonia	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	Finland|fi	multilingual-candidates.jsonl			fi	Finland	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	France|fr	authoritative-candidates.jsonl			fr	France	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	Global|English	security-agentic-candidates.jsonl			English	Global	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	Italy|it	authoritative-candidates.jsonl			it	Italy	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	Lithuania|lt	multilingual-candidates.jsonl			lt	Lithuania	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	Slovenia|sl	multilingual-candidates.jsonl			sl	Slovenia	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	US|en	candidate-cases.jsonl			en	US	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	United Kingdom|en	authoritative-candidates.jsonl			en	United Kingdom	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
jurisdiction_language	United States|en	authoritative-candidates.jsonl			en	United States	file_aggregate_no_source_ledger_key	jurisdiction_language_rollup_mixed	yes	files_contributing names input files, not ledger source IDs	results/dashboard/jurisdiction-language-coverage.tsv	block_row_level_access_rights_labels	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
security_agentic_threshold	SEC-THR-001	GAP-peer_reviewed_security_case_support					aggregate_no_authoritative_match	threshold_rollup_gap_only	yes	member_ids joined to authoritative-source-ledger.tsv by case_id; not sufficient for per-row badge because threshold rows are rollups and LIMEN IDs collide across shard files	results/dashboard/security-threshold-ladder-panel.tsv	show_candidate_source_ids_as_review_links_block_access_rights_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
