as_of_utc	cell_family	dimension_x	dimension_y	family_count	family_ids	source_families	dashboard_view	safe_interpretation	caution
2026-06-07T23:27:09Z	priority_x_dashboard_view_class	P0	maintained_comparator_or_context	5	sf04,sf03,sf05,sf02,sf01	MITRE ATLAS | AI Vulnerability Database (AVID) | MIT AI Risk Repository | OECD AI Incidents Monitor (OECD AIM) | AI Incident Database (AIID)	priority-versus-role heatmap	5 family/families currently sit in P0 × maintained_comparator_or_context; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Priority labels summarize current publication value and route urgency, not legal weight or moral significance.
2026-06-07T23:27:09Z	priority_x_dashboard_view_class	P0	route_b_blocker_core	1	sf08	Court and tribunal records	priority-versus-role heatmap	1 family/families currently sit in P0 × route_b_blocker_core; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Priority labels summarize current publication value and route urgency, not legal weight or moral significance.
2026-06-07T23:27:09Z	priority_x_dashboard_view_class	P1	empirical_support_and_upgrade_feeder	1	sf12	Reputable multilingual media and investigations	priority-versus-role heatmap	1 family/families currently sit in P1 × empirical_support_and_upgrade_feeder; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Priority labels summarize current publication value and route urgency, not legal weight or moral significance.
2026-06-07T23:27:09Z	priority_x_dashboard_view_class	P1	maintained_comparator_or_context	1	sf10	Company and platform notices	priority-versus-role heatmap	1 family/families currently sit in P1 × maintained_comparator_or_context; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Priority labels summarize current publication value and route urgency, not legal weight or moral significance.
2026-06-07T23:27:09Z	priority_x_dashboard_view_class	P1	methods_or_limitations_support	2	sf13,sf06	Academic and research-integrity sources | CSET AI Harm taxonomy / overview	priority-versus-role heatmap	2 family/families currently sit in P1 × methods_or_limitations_support; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Priority labels summarize current publication value and route urgency, not legal weight or moral significance.
2026-06-07T23:27:09Z	priority_x_dashboard_view_class	P1	route_b_blocker_core	2	sf09,sf11	Public-sector registers and procurement | Security research and advisories	priority-versus-role heatmap	2 family/families currently sit in P1 × route_b_blocker_core; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Priority labels summarize current publication value and route urgency, not legal weight or moral significance.
2026-06-08T21:15:53Z	priority_x_dashboard_view_class	P2	planned_frontier_queue	2	sf14,sf15	Social and web lead sources | Creative/absurd and normative outlier sources	priority-versus-role heatmap	2 family/families currently sit in P2 × planned_frontier_queue; both frontier families now show one governed row each while remaining below seeded evidence and shared claims.	Priority labels summarize publication value and route urgency, not permission to widen frontier families into claim-bearing coverage.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	appendix_only_manual_overlay	methods_or_limitations_support	1	sf06	CSET AI Harm taxonomy / overview	claim-ceiling and figure-filter board	1 family/families currently sit in appendix_only_manual_overlay × methods_or_limitations_support; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	authoritative_event_support	empirical_support_and_upgrade_feeder	1	sf07	Regulator and enforcement sources	claim-ceiling and figure-filter board	1 family/families currently sit in authoritative_event_support × empirical_support_and_upgrade_feeder; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	discovery_and_local_context_layer	empirical_support_and_upgrade_feeder	1	sf12	Reputable multilingual media and investigations	claim-ceiling and figure-filter board	1 family/families currently sit in discovery_and_local_context_layer × empirical_support_and_upgrade_feeder; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	highest_authority_event_anchor	route_b_blocker_core	1	sf08	Court and tribunal records	claim-ceiling and figure-filter board	1 family/families currently sit in highest_authority_event_anchor × route_b_blocker_core; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	issuer_notice_timing_layer	maintained_comparator_or_context	1	sf10	Company and platform notices	claim-ceiling and figure-filter board	1 family/families currently sit in issuer_notice_timing_layer × maintained_comparator_or_context; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	lead_queue_only	planned_frontier_queue	1	sf14	Social and web lead sources	claim-ceiling and figure-filter board	1 family/families currently sit in lead_queue_only × planned_frontier_queue; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	metadata_baseline_only	maintained_comparator_or_context	2	sf02,sf01	OECD AI Incidents Monitor (OECD AIM) | AI Incident Database (AIID)	claim-ceiling and figure-filter board	2 family/families currently sit in metadata_baseline_only × maintained_comparator_or_context; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	public_sector_disclosure_surface	route_b_blocker_core	1	sf09	Public-sector registers and procurement	claim-ceiling and figure-filter board	1 family/families currently sit in public_sector_disclosure_surface × route_b_blocker_core; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	research_integrity_limitations_layer	methods_or_limitations_support	1	sf13	Academic and research-integrity sources	claim-ceiling and figure-filter board	1 family/families currently sit in research_integrity_limitations_layer × methods_or_limitations_support; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	residual_novelty_frontier_only	planned_frontier_queue	1	sf15	Creative/absurd and normative outlier sources	claim-ceiling and figure-filter board	1 family/families currently sit in residual_novelty_frontier_only × planned_frontier_queue; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	security_mechanism_and_coordination_layer	route_b_blocker_core	1	sf11	Security research and advisories	claim-ceiling and figure-filter board	1 family/families currently sit in security_mechanism_and_coordination_layer × route_b_blocker_core; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	structured_security_comparator	maintained_comparator_or_context	1	sf03	AI Vulnerability Database (AVID)	claim-ceiling and figure-filter board	1 family/families currently sit in structured_security_comparator × maintained_comparator_or_context; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	taxonomy_methods_only	maintained_comparator_or_context	1	sf05	MIT AI Risk Repository	claim-ceiling and figure-filter board	1 family/families currently sit in taxonomy_methods_only × maintained_comparator_or_context; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
2026-06-07T23:27:09Z	evidence_use_band_x_dashboard_view_class	technique_context_comparator	maintained_comparator_or_context	1	sf04	MITRE ATLAS	claim-ceiling and figure-filter board	1 family/families currently sit in technique_context_comparator × maintained_comparator_or_context; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Evidence-use bands govern how families may be reused in prose and figures; keep them attached when filtering or aggregating.
