as_of_utc	lane_id	surface	check_name	expected	observed	status	note
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	data/cases/multilingual-candidates.jsonl	LMWCS-20260606-001:canonical_identity_fields	"{""direct_source_resolved"": true, ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""rare_language_priority"": ""medium_undercovered"", ""source_name"": ""Yle""}"	"{""direct_source_resolved"": true, ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""rare_language_priority"": ""medium_undercovered"", ""source_name"": ""Yle""}"	pass	Canonical JSONL should mirror row identity and rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv	LMWCS-20260606-001:shared_fields_match_queue	"{""blocker_class"": ""resolved_direct_non_official"", ""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_authority_band"": ""medium_high"", ""source_name"": ""Yle"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	"{""blocker_class"": ""resolved_direct_non_official"", ""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_authority_band"": ""medium_high"", ""source_name"": ""Yle"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	pass	Routing matrix should inherit shared row metadata from canonical queue.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/language-coverage-observatory-matrix-v0.1.tsv	LMWCS-20260606-001:coverage_fields_match_queue	"{""blocker_class"": ""resolved_direct_non_official"", ""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""priority_bucket"": ""A_immediate_verification"", ""priority_score"": ""15"", ""rare_language_priority"": ""medium_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium_high"", ""source_name"": ""Yle"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	"{""blocker_class"": ""resolved_direct_non_official"", ""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""priority_bucket"": ""A_immediate_verification"", ""priority_score"": ""15"", ""rare_language_priority"": ""medium_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium_high"", ""source_name"": ""Yle"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	pass	Coverage matrix should inherit live queue metadata including rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/translation-review-queue-v0.1.tsv	LMWCS-20260606-001:translation_fields_match_queue	"{""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_name"": ""Yle"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	"{""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_name"": ""Yle"", ""translation_confidence"": ""medium_high"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	pass	Translation-review queue should mirror current queue metadata for all six rows.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/source-resolution-barriers-v0.1.tsv	LMWCS-20260606-001:barrier_fields_match_queue	"{""blocking_factor_class"": ""resolved_direct_non_official"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_name"": ""Yle""}"	"{""blocking_factor_class"": ""resolved_direct_non_official"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_name"": ""Yle""}"	pass	Barrier matrix should preserve current queue blocker coding.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	data/cases/multilingual-candidates.jsonl	LMWCS-20260606-005:canonical_identity_fields	"{""direct_source_resolved"": true, ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""rare_language_priority"": ""medium_undercovered"", ""source_name"": ""Radio Ptuj""}"	"{""direct_source_resolved"": true, ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""rare_language_priority"": ""medium_undercovered"", ""source_name"": ""Radio Ptuj""}"	pass	Canonical JSONL should mirror row identity and rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv	LMWCS-20260606-005:shared_fields_match_queue	"{""blocker_class"": ""official_surface_partially_reachable_then_403_gated"", ""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_authority_band"": ""medium_low"", ""source_name"": ""Radio Ptuj"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	"{""blocker_class"": ""official_surface_partially_reachable_then_403_gated"", ""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_authority_band"": ""medium_low"", ""source_name"": ""Radio Ptuj"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	pass	Routing matrix should inherit shared row metadata from canonical queue.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/language-coverage-observatory-matrix-v0.1.tsv	LMWCS-20260606-005:coverage_fields_match_queue	"{""blocker_class"": ""official_surface_partially_reachable_then_403_gated"", ""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""priority_bucket"": ""A_immediate_verification"", ""priority_score"": ""11"", ""rare_language_priority"": ""medium_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium_low"", ""source_name"": ""Radio Ptuj"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	"{""blocker_class"": ""official_surface_partially_reachable_then_403_gated"", ""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""priority_bucket"": ""A_immediate_verification"", ""priority_score"": ""11"", ""rare_language_priority"": ""medium_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium_low"", ""source_name"": ""Radio Ptuj"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	pass	Coverage matrix should inherit live queue metadata including rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/translation-review-queue-v0.1.tsv	LMWCS-20260606-005:translation_fields_match_queue	"{""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_name"": ""Radio Ptuj"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	"{""direct_source_class"": ""direct_non_official"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_name"": ""Radio Ptuj"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""machine_read_direct_source_extraction_note""}"	pass	Translation-review queue should mirror current queue metadata for all six rows.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/source-resolution-barriers-v0.1.tsv	LMWCS-20260606-005:barrier_fields_match_queue	"{""blocking_factor_class"": ""official_surface_partially_reachable_then_403_gated"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_name"": ""Radio Ptuj""}"	"{""blocking_factor_class"": ""official_surface_partially_reachable_then_403_gated"", ""jurisdiction"": ""Slovenia"", ""language"": ""sl"", ""source_name"": ""Radio Ptuj""}"	pass	Barrier matrix should preserve current queue blocker coding.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	data/cases/multilingual-candidates.jsonl	LMWCS-20260606-002:canonical_identity_fields	"{""direct_source_resolved"": false, ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""rare_language_priority"": ""medium_undercovered"", ""source_name"": ""Kaleva""}"	"{""direct_source_resolved"": false, ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""rare_language_priority"": ""medium_undercovered"", ""source_name"": ""Kaleva""}"	pass	Canonical JSONL should mirror row identity and rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv	LMWCS-20260606-002:shared_fields_match_queue	"{""blocker_class"": ""search_surface_friction"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_authority_band"": ""medium"", ""source_name"": ""Kaleva"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	"{""blocker_class"": ""search_surface_friction"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_authority_band"": ""medium"", ""source_name"": ""Kaleva"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	pass	Routing matrix should inherit shared row metadata from canonical queue.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/language-coverage-observatory-matrix-v0.1.tsv	LMWCS-20260606-002:coverage_fields_match_queue	"{""blocker_class"": ""search_surface_friction"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""priority_bucket"": ""B_near_term_verification"", ""priority_score"": ""7"", ""rare_language_priority"": ""medium_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium"", ""source_name"": ""Kaleva"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	"{""blocker_class"": ""search_surface_friction"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""priority_bucket"": ""B_near_term_verification"", ""priority_score"": ""7"", ""rare_language_priority"": ""medium_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium"", ""source_name"": ""Kaleva"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	pass	Coverage matrix should inherit live queue metadata including rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/translation-review-queue-v0.1.tsv	LMWCS-20260606-002:translation_fields_match_queue	"{""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_name"": ""Kaleva"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	"{""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_name"": ""Kaleva"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	pass	Translation-review queue should mirror current queue metadata for all six rows.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/source-resolution-barriers-v0.1.tsv	LMWCS-20260606-002:barrier_fields_match_queue	"{""blocking_factor_class"": ""search_surface_friction"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_name"": ""Kaleva""}"	"{""blocking_factor_class"": ""search_surface_friction"", ""jurisdiction"": ""Finland"", ""language"": ""fi"", ""source_name"": ""Kaleva""}"	pass	Barrier matrix should preserve current queue blocker coding.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	data/cases/multilingual-candidates.jsonl	LMWCS-20260606-003:canonical_identity_fields	"{""direct_source_resolved"": false, ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""rare_language_priority"": ""high_undercovered"", ""source_name"": ""15min.lt""}"	"{""direct_source_resolved"": false, ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""rare_language_priority"": ""high_undercovered"", ""source_name"": ""15min.lt""}"	pass	Canonical JSONL should mirror row identity and rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv	LMWCS-20260606-003:shared_fields_match_queue	"{""blocker_class"": ""mixed_rights_and_access_barrier"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""source_authority_band"": ""medium"", ""source_name"": ""15min.lt"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	"{""blocker_class"": ""mixed_rights_and_access_barrier"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""source_authority_band"": ""medium"", ""source_name"": ""15min.lt"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	pass	Routing matrix should inherit shared row metadata from canonical queue.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/language-coverage-observatory-matrix-v0.1.tsv	LMWCS-20260606-003:coverage_fields_match_queue	"{""blocker_class"": ""mixed_rights_and_access_barrier"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""priority_bucket"": ""B_near_term_verification"", ""priority_score"": ""7"", ""rare_language_priority"": ""high_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium"", ""source_name"": ""15min.lt"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	"{""blocker_class"": ""mixed_rights_and_access_barrier"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""priority_bucket"": ""B_near_term_verification"", ""priority_score"": ""7"", ""rare_language_priority"": ""high_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium"", ""source_name"": ""15min.lt"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	pass	Coverage matrix should inherit live queue metadata including rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/translation-review-queue-v0.1.tsv	LMWCS-20260606-003:translation_fields_match_queue	"{""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""source_name"": ""15min.lt"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	"{""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""source_name"": ""15min.lt"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	pass	Translation-review queue should mirror current queue metadata for all six rows.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/source-resolution-barriers-v0.1.tsv	LMWCS-20260606-003:barrier_fields_match_queue	"{""blocking_factor_class"": ""mixed_rights_and_access_barrier"", ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""source_name"": ""15min.lt""}"	"{""blocking_factor_class"": ""mixed_rights_and_access_barrier"", ""jurisdiction"": ""Lithuania"", ""language"": ""lt"", ""source_name"": ""15min.lt""}"	pass	Barrier matrix should preserve current queue blocker coding.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	data/cases/multilingual-candidates.jsonl	LMWCS-20260606-006:canonical_identity_fields	"{""direct_source_resolved"": false, ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""rare_language_priority"": ""high_undercovered"", ""source_name"": ""tv3.ee""}"	"{""direct_source_resolved"": false, ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""rare_language_priority"": ""high_undercovered"", ""source_name"": ""tv3.ee""}"	pass	Canonical JSONL should mirror row identity and rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv	LMWCS-20260606-006:shared_fields_match_queue	"{""blocker_class"": ""challenge_gated"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""source_authority_band"": ""medium_low"", ""source_name"": ""tv3.ee"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	"{""blocker_class"": ""challenge_gated"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""source_authority_band"": ""medium_low"", ""source_name"": ""tv3.ee"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	pass	Routing matrix should inherit shared row metadata from canonical queue.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/language-coverage-observatory-matrix-v0.1.tsv	LMWCS-20260606-006:coverage_fields_match_queue	"{""blocker_class"": ""challenge_gated"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""priority_bucket"": ""C_hold_until_capacity"", ""priority_score"": ""6"", ""rare_language_priority"": ""high_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium_low"", ""source_name"": ""tv3.ee"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	"{""blocker_class"": ""challenge_gated"", ""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""priority_bucket"": ""C_hold_until_capacity"", ""priority_score"": ""6"", ""rare_language_priority"": ""high_undercovered"", ""script"": ""Latin"", ""source_authority_band"": ""medium_low"", ""source_name"": ""tv3.ee"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	pass	Coverage matrix should inherit live queue metadata including rare-language priority.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/translation-review-queue-v0.1.tsv	LMWCS-20260606-006:translation_fields_match_queue	"{""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""source_name"": ""tv3.ee"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	"{""direct_source_class"": ""queue_only_unresolved"", ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""source_name"": ""tv3.ee"", ""translation_confidence"": ""medium"", ""translation_review_required"": ""yes"", ""translation_status"": ""title_gloss_only""}"	pass	Translation-review queue should mirror current queue metadata for all six rows.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	results/multilingual/source-resolution-barriers-v0.1.tsv	LMWCS-20260606-006:barrier_fields_match_queue	"{""blocking_factor_class"": ""challenge_gated"", ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""source_name"": ""tv3.ee""}"	"{""blocking_factor_class"": ""challenge_gated"", ""jurisdiction"": ""Estonia"", ""language"": ""et"", ""source_name"": ""tv3.ee""}"	pass	Barrier matrix should preserve current queue blocker coding.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	canonical_queue	headline_counts	"{""direct_non_official_rows"": 2, ""direct_official_rows"": 1, ""direct_source_resolved_rows"": 3, ""queue_only_rows"": 3, ""total_rows"": 6, ""translation_review_required_rows"": 6}"	"{""direct_non_official_rows"": 2, ""direct_official_rows"": 1, ""direct_source_resolved_rows"": 3, ""queue_only_rows"": 3, ""total_rows"": 6, ""translation_review_required_rows"": 6}"	pass	Canonical queue counts after this repair are the live multilingual contract for the cycle.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	canonical_queue	rare_language_priority_mix	"{""high_undercovered"": 2, ""medium_undercovered"": 4}"	"{""high_undercovered"": 2, ""medium_undercovered"": 4}"	pass	Live rare-language mix is medium_undercovered=4 and high_undercovered=2.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	canonical_queue	language_mix	"{""et"": 1, ""fi"": 2, ""lt"": 1, ""sl"": 2}"	"{""et"": 1, ""fi"": 2, ""lt"": 1, ""sl"": 2}"	pass	Live language mix remains et=1, fi=2, lt=1, sl=2.
2026-06-07T09:53:42Z	limen-multilingual-weird-case-scout	canonical_queue	blocker_mix	"{""challenge_gated"": 1, ""mixed_rights_and_access_barrier"": 1, ""official_surface_partially_reachable_then_403_gated"": 1, ""resolved_direct_non_official"": 1, ""resolved_direct_official"": 1, ""search_surface_friction"": 1}"	"{""challenge_gated"": 1, ""mixed_rights_and_access_barrier"": 1, ""official_surface_partially_reachable_then_403_gated"": 1, ""resolved_direct_non_official"": 1, ""resolved_direct_official"": 1, ""search_surface_friction"": 1}"	pass	Blocker mix now matches shared multilingual derivatives.
