crosswalk_id	mapped_source_families	mapped_external_taxonomy	overlap_type	confidence	notes	next_publishability_move
LIMEN-XW-011	identity-provenance	FAIR Principles	partial match: FAIR principles are relevant for data provenance, but need specific application to AI artifacts.	low	FAIR (Findable, Accessible, Interoperable, Reusable) principles are crucial for data provenance, but their application to AI artifacts needs explicit case studies.	Develop case studies illustrating how FAIR principles can be applied to AI models, datasets, and generated content to ensure provenance and reusability.
LIMEN-XW-012	residual-weird	NIST AI RMF Risk Categories	no direct match: 'Residual-weird' cases highlight gaps in existing frameworks.	high	These cases point to emerging AI risks not yet well-defined in existing taxonomies or frameworks.	Analyze 'residual-weird' cases to identify potential new risk categories for the NIST AI RMF or other governance frameworks.
LIMEN-XW-013	health-finance-education	OECD AI Principles - Fairness	partial match: Sector-specific hits need to be mapped to OECD AI Principles, particularly fairness.	medium	Mapping health, finance, and education AI applications to OECD AI Principles requires identifying specific instances of fairness concerns.	For each sector, identify concrete examples of AI use that raise fairness issues and map them to relevant OECD AI principles.
LIMEN-XW-014	legal-research	US AI Bill of Rights Blueprint	partial match: Legal research needs to be cross-referenced with the US AI Bill of Rights.	medium	The US AI Bill of Rights provides a framework for AI governance that can be used to assess the legal and ethical implications of AI use in various sectors.	Map legal research findings to the principles outlined in the US AI Bill of Rights, particularly those related to algorithmic discrimination and data privacy.
LIMEN-XW-015	security-agentic	OWASP Top 10 for LLMs - Prompt Injection	exact match: Prompt injection is a key vulnerability in LLM security.	medium	Specific leads related to prompt injection should be directly mapped to the OWASP Top 10 for LLMs category for detailed analysis.	For each identified prompt injection lead, perform a detailed analysis against the OWASP Top 10 definition and document the specific characteristics of the injection attempt.
LIMEN-XW-016	identity-provenance	Verifiable Credentials (VCs)	partial match: VCs are relevant for digital identity and provenance, but their application to AI needs case studies.	low	Verifiable Credentials offer a potential mechanism for establishing trust and provenance for AI outputs, but specific applications need to be explored.	Develop case studies demonstrating how VCs can be used to secure the provenance of AI-generated content or AI model outputs.
LIMEN-XW-017	public-sector	EU AI Act - High-Risk AI Systems	partial match: Public sector AI procurement often involves systems that may be classified as high-risk under the EU AI Act.	medium	Understanding which public sector AI systems fall under the EU AI Act's high-risk category is crucial for governance and compliance analysis.	Analyze public sector AI procurement data to identify systems that may be classified as high-risk under the EU AI Act and document the reasons for this potential classification.
LIMEN-XW-018	residual-weird	Emerging AI Risk Taxonomy	no direct match: These cases highlight potential new risk categories not yet formalized.	high	The 'residual-weird' category serves as a sandbox for identifying and defining novel AI risks.	Analyze the characteristics of 'residual-weird' cases to propose new risk categories or refine existing ones in AI governance frameworks.
LIMEN-XW-019	legal-research	GDPR - Data Protection Impact Assessments	partial match: Legal research into AI often touches upon data protection requirements.	medium	GDPR's requirements for Data Protection Impact Assessments (DPIAs) are highly relevant to AI systems processing personal data.	Map legal research findings to GDPR DPIA requirements to assess AI systems for potential privacy risks and necessary impact assessments.
LIMEN-XW-020	security-agentic	Chain-of-Thought Security Analysis	partial match: Analyzing the security of AI agent interactions requires understanding their reasoning process.	medium	Analyzing the 'chain-of-thought' in AI agent interactions can reveal potential security vulnerabilities in their decision-making or execution flows.	Develop methods for analyzing the chain-of-thought for security flaws in AI agents, particularly in agentic control and execution.
LIMEN-XW-021	health-finance-education	OECD AI Principles - Transparency	partial match: Transparency is a key principle that needs specific mapping to sector examples.	medium	Mapping health, finance, and education AI applications to OECD AI Principles for transparency requires identifying specific instances where AI decision-making processes are opaque.	For each sector, identify concrete examples of AI use that lack transparency and map them to relevant OECD AI principles.
LIMEN-XW-022	identity-provenance	Digital Signatures for AI Artifacts	partial match: Digital signatures are relevant for verifying the authenticity of AI outputs.	low	Exploring the application of digital signatures to AI artifacts (models, data, generated content) is crucial for establishing trust and provenance.	Develop conceptual case studies on using digital signatures to verify the authenticity and provenance of AI artifacts.
LIMEN-XW-023	public-sector	Government AI Procurement Guidelines	partial match: Public sector AI procurement often adheres to specific guidelines that need to be cross-referenced.	medium	Public sector AI procurement guidelines often include requirements for security, transparency, and ethical AI use, which are essential for governance analysis.	Analyze public sector AI procurement data and cross-reference it with relevant government AI procurement guidelines to assess compliance and best practices.
