shard	query	gate_state	drift_state	prior_action_family	latest_local_signal_hits	delta_local_signal_hits	latest_signal_share_pct	latest_reusable_local_share_pct	delta_boost_hits	delta_recursive_hits	current_publication_use	next_reopen_trigger	paper_delta_if_trigger_lands	dashboard_hook	negative_result_class	anchor_artifacts
residual-weird	AI incident	reopen_only_on_new_external_anchor	some_anchor_growth_but_still_thin	keep	39	36	3.28	10.44	13	21	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	bounded_reuse_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
residual-weird	AI washing	reopen_only_on_new_external_anchor	stable_or_mixed	keep	9	8	0.90	4.69	5	21	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
residual-weird	fake AI	reopen_only_on_new_external_anchor	stable_or_mixed	keep	1	0	0.16	0.93	5	21	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
security-agentic	agent security	reopen_only_on_new_external_anchor	stable_or_mixed	keep	5	4	0.81	3.06	12	22	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
security-agentic	agentic failure	reopen_only_on_new_external_anchor	stable_or_mixed	keep	1	0	0.20	1.21	3	22	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
security-agentic	memory poisoning	reopen_only_on_new_external_anchor	stable_or_mixed	keep	4	3	0.89	5.56	20	22	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
security-agentic	model poisoning	reopen_only_on_new_external_anchor	stable_or_mixed	keep	0	0	0.00	1.69	9	22	hold_for_control_surface_only	Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged reruns are not progress.	would convert a currently count-silent hold row into a genuinely new evidence-growth candidate	conditional_reopen_badge	hold_and_reopen_only_on_external_anchor	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
health-finance-education	AI insurance	freeze_methods_only	locked_self_reference_zero_anchor	keep	0	0	0.00	0.18	3	21	negative_result_methods_only	Do not reopen for corpus growth; reuse only as a methods/dashboard negative result unless a genuinely new external authority/source/data-cases anchor appears.	protects LIMEN against false corpus-growth rhetoric by keeping helper-spread/self-reference rows count-silent	mining_freeze_badge	freeze_for_methods_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
health-finance-education	workplace surveillance	freeze_methods_only	locked_self_reference_zero_anchor	keep	0	0	0.00	0.56	3	21	negative_result_methods_only	Do not reopen for corpus growth; reuse only as a methods/dashboard negative result unless a genuinely new external authority/source/data-cases anchor appears.	protects LIMEN against false corpus-growth rhetoric by keeping helper-spread/self-reference rows count-silent	mining_freeze_badge	freeze_for_methods_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
residual-weird	AI misuse	freeze_methods_only	locked_self_reference_zero_anchor	keep	0	0	0.00	0.37	3	21	negative_result_methods_only	Do not reopen for corpus growth; reuse only as a methods/dashboard negative result unless a genuinely new external authority/source/data-cases anchor appears.	protects LIMEN against false corpus-growth rhetoric by keeping helper-spread/self-reference rows count-silent	mining_freeze_badge	freeze_for_methods_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
residual-weird	AI scandal	freeze_methods_only	locked_self_reference_zero_anchor	keep	0	0	0.00	0.43	3	21	negative_result_methods_only	Do not reopen for corpus growth; reuse only as a methods/dashboard negative result unless a genuinely new external authority/source/data-cases anchor appears.	protects LIMEN against false corpus-growth rhetoric by keeping helper-spread/self-reference rows count-silent	mining_freeze_badge	freeze_for_methods_only	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
security-agentic	LLM vulnerability	freeze_methods_only	growth_without_anchor_gain	keep	1	1	0.05	77.45	1537	22	negative_result_methods_only	Do not reopen for corpus growth; reuse only as a methods/dashboard negative result unless a genuinely new external authority/source/data-cases anchor appears.	protects LIMEN against false corpus-growth rhetoric by keeping helper-spread/self-reference rows count-silent	mining_freeze_badge	remove_from_exploitation_set	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
security-agentic	data exfiltration	freeze_methods_only	growth_without_anchor_gain	keep	1	1	0.13	43.78	330	22	negative_result_methods_only	Do not reopen for corpus growth; reuse only as a methods/dashboard negative result unless a genuinely new external authority/source/data-cases anchor appears.	protects LIMEN against false corpus-growth rhetoric by keeping helper-spread/self-reference rows count-silent	mining_freeze_badge	remove_from_exploitation_set	results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv; results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv
