probe_row_id	record_ref	field_group	schema_field	value_status	extracted_value_or_ceiling	evidence_anchor	interpretation_value	missingness_type	paper_or_dashboard_use
orion-schema-015	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	technical	pilot_jurisdictions	present	Romania; Bulgaria; Slovenia	results/boost/limen-boost-005/orion-source-extraction.md:pilot_scenarios_paragraph	Cross-jurisdiction pilot signal	none	Map/topology view
orion-schema-016	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	governance	privacy_signal	present	privacy-preserving framing plus passenger-data protection language	results/boost/limen-boost-005/orion-source-extraction.md:opening_project_purpose_paragraph_and_main_goal_paragraph	Governance framing visible on page	none	Governance-signal facet
orion-schema-017	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	governance	legal_compliance_signal	present	strong ethical and legal compliance stated at page level	results/boost/limen-boost-005/orion-source-extraction.md:main_goal_paragraph	Compliance language is rhetorical/project-stated, not external verification	none	Claim-ceiling and legal-uncertainty matrix
orion-schema-018	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	governance	human_review_or_decision_safeguard	partial	transparent and legally compliant recommendations to border authorities mentioned; no full human-override protocol extracted	results/boost/limen-boost-005/orion-source-extraction.md:technology_paragraph	Some decision-support framing is visible, but governance protocol depth remains limited	partial_surface_only	Disclosure-completeness panel
orion-schema-019	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	procurement	public_register_identifier	absent	No public AI register identifier in local package	results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv:psdc-001	Keeps project-page row separate from register-entry row	missing_public_register_surface	Register-vs-project-page comparison
orion-schema-020	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	procurement	procurement_or_tender_identifier	absent	No tender, award, or contract identifier in local package	results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv:psdc-001	Prevents overreading funding visibility as procurement transparency	missing_procurement_surface	Procurement/register readiness gap panel
orion-schema-021	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	procurement	supplier_vendor_name	absent	No supplier/vendor normalized from official police page	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv:psdc-001	Differentiates ORION from Dutch register row with named Microsoft/Azure	missing_supplier_surface	Disclosure asymmetry figure
orion-schema-022	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	procurement	award_or_contract_date	absent	No public award/contract date in local package	results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv:psdc-001	Project start date should not be misread as award date	missing_procurement_surface	Timeline caution note
orion-schema-023	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	deployment	operational_deployment_proof	absent	Local package supports pilot/project-stage framing only	results/boost/limen-boost-005/orion-source-extraction.md:claim_ceiling_after_this_extraction	Blocks production-use overclaim	missing_operational_validation	Claim-ceiling table; pilot-stage caution
orion-schema-024	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	verification	external_validation_or_audit_surface	absent	No external audit, evaluation, or independent validation document in local package	results/boost/limen-boost-005/orion-source-extraction.md:claim_ceiling_after_this_extraction	Makes hostile-reviewer limitation explicit	missing_external_validation	Limitations section; reviewer note
