shard	run_id	query	total_matches	limen_matches	limen_share_pct	dominant_external_root	dominant_external_matches	dominant_external_share_pct	action	reason	proposed_narrower_query_family	sample_limen_paths
legal-research	20260607T195508Z	research integrity	168	84	50.00	/srv/tyche/gaia/tyche-research-vault	84	50.00	narrow_and_retest	mixed signal; use narrower LIMEN-specific wording before another shard rerun		sources/public-source-families-v0.1.tsv:11; results/crosswalks/framework-anchor-coverage-v0.1.tsv:13; results/crosswalks/legal-normative-crosswalk-v0.1.tsv:13
legal-research	20260607T195508Z	hallucinated citation	89	48	53.93	/srv/tyche/gaia/tyche-research-vault	38	42.70	narrow_and_retest	mixed signal; use narrower LIMEN-specific wording before another shard rerun		results/boost/limen-boost-008/subtype-evidence-matrix.tsv:2; results/cpu-mining/legal-research/20260607T081728Z/summary.json:7; results/cpu-mining/legal-research/20260607T152434Z/summary.json:7
legal-research	20260607T195508Z	court AI	87	47	54.02	/srv/tyche/gaia/tyche-research-vault	24	27.59	narrow_and_retest	mixed signal; use narrower LIMEN-specific wording before another shard rerun		results/cpu-mining/legal-research/20260607T081728Z/summary.json:4; results/cpu-mining/legal-research/20260607T152434Z/summary.json:4; results/cpu-mining/legal-research/20260607T111804Z/summary.json:4
legal-research	20260607T195508Z	fabricated reference	80	48	60.00	/srv/tyche/gaia/tyche-research-vault	32	40.00	narrow_and_retest	mixed signal; use narrower LIMEN-specific wording before another shard rerun		results/boost/limen-boost-008/candidate-cases.jsonl:5; results/cpu-mining/legal-research/20260607T081728Z/summary.json:5; results/cpu-mining/legal-research/20260607T152434Z/summary.json:5
public-sector	20260607T195635Z	regulatory sandbox	8158	51	0.63	/srv/tyche/atlas/tyche-thesis-atlas-factory	3900	47.81	retune	cross-project contamination dominates; broad query family should pause or be replaced	AI sandbox scandal; regulatory sandbox failure; sandbox enforcement AI	journal.md:244; results/boost/limen-boost-006/journal.md:163; results/boost/limen-boost-006/status.md:149
public-sector	20260607T195635Z	algorithm register	8502	62	0.73	/srv/tyche/pallas/pallas-ai-agent-observatory	5244	61.68	retune	cross-project contamination dominates; broad query family should pause or be replaced	municipal AI register harm; public AI register controversy; algorithm register complaint	journal.md:244; sources/public-source-families-v0.1.tsv:9; sources/source-family-ledger.tsv:10
public-sector	20260607T195635Z	automated decision	1915	49	2.56	/srv/tyche/gaia/tyche-research-vault	907	47.36	retune	cross-project contamination dominates; broad query family should pause or be replaced		results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv:5; results/cpu-mining/public-sector/20260607T140524Z/summary.json:6; results/cpu-mining/public-sector/20260607T094807Z/summary.json:6
public-sector	20260607T195635Z	AI register	2309	71	3.07	/srv/tyche/projects/public-ai-registry	831	35.99	retune	cross-project contamination dominates; broad query family should pause or be replaced	algorithm register complaint; AI register controversy; public register error	sources/source-family-ledger.tsv:10; results/source-map/source-family-coverage-map-v0.1.tsv:10; results/boost/limen-boost-042/public-sector-hostile-reviewer-objections.tsv:7
public-sector	20260607T195635Z	AI procurement	2455	144	5.87	/srv/tyche/pallas/pallas-ai-agent-observatory	1943	79.14	retune	cross-project contamination dominates; broad query family should pause or be replaced	public AI procurement scandal; procurement chatbot failure; tender AI controversy	results/crosswalks/legal-uncertainty-queue.md:57; results/boost/limen-boost-006/public-sector-query-retune-board.tsv:2; results/boost/limen-continuous-experiments/sf09-helsinki-procurement-detail-probe-v0.1.tsv:2
public-sector	20260607T195635Z	public sector AI	807	48	5.95	/srv/tyche/pallas/pallas-ai-agent-observatory	436	54.03	retune	cross-project contamination dominates; broad query family should pause or be replaced		results/boost/limen-boost-006/public-sector-query-retune-board.tsv:8; results/cpu-mining/public-sector/20260607T140524Z/summary.json:9; results/cpu-mining/public-sector/20260607T094807Z/summary.json:9
public-sector	20260607T195635Z	procurement AI	574	48	8.36	/srv/tyche/gaia/tyche-research-vault	459	79.97	retune	cross-project contamination dominates; broad query family should pause or be replaced		results/boost/limen-boost-006/public-sector-query-retune-board.tsv:6; results/cpu-mining/public-sector/20260607T140524Z/summary.json:7; results/cpu-mining/public-sector/20260607T094807Z/summary.json:7
security-agentic	20260607T195538Z	prompt injection	1111	737	66.34	/srv/tyche/gaia/tyche-research-vault	361	32.49	narrow_and_retest	mixed signal; use narrower LIMEN-specific wording before another shard rerun		sources/sources.md:59; sources/source-family-ledger.tsv:12; results/source-map/source-family-provenance-register-v0.1.tsv:12
health-finance-education	20260607T195526Z	mental health chatbot	6	5	83.33	/srv/tyche/gaia/tyche-research-vault	1	16.67	keep	high LIMEN-local share; exploitation is higher value than retune		results/cpu-mining/health-finance-education/20260607T185513Z/summary.json:5; results/cpu-mining/health-finance-education/20260607T191015Z/summary.json:5; results/cpu-mining/health-finance-education/20260607T192516Z/summary.json:5
health-finance-education	20260607T195526Z	workplace surveillance	520	515	99.04	/srv/tyche/gaia/tyche-research-vault	5	0.96	keep	high LIMEN-local share; exploitation is higher value than retune		results/cpu-mining/health-finance-education/20260607T162451Z/summary.json:5; results/cpu-mining/health-finance-education/20260607T110302Z/matches.tsv:2343; results/cpu-mining/health-finance-education/20260607T110302Z/summary.json:5
health-finance-education	20260607T195526Z	AI insurance	1667	1665	99.88	/srv/tyche/gaia/tyche-research-vault	2	0.12	keep	high LIMEN-local share; exploitation is higher value than retune		results/cpu-mining/health-finance-education/20260607T162451Z/summary.json:4; results/cpu-mining/health-finance-education/20260607T110302Z/matches.tsv:2; results/cpu-mining/health-finance-education/20260607T110302Z/matches.tsv:3
identity-provenance	20260607T195610Z	AI-generated evidence	55	50	90.91	/srv/tyche/gaia/tyche-research-vault	4	7.27	keep	high LIMEN-local share; exploitation is higher value than retune		results/cpu-mining/identity-provenance/20260607T121901Z/summary.json:3; results/cpu-mining/identity-provenance/20260607T155516Z/summary.json:3; results/cpu-mining/identity-provenance/20260607T133441Z/summary.json:3
identity-provenance	20260607T195610Z	synthetic identity	112	109	97.32	/srv/tyche/gaia/tyche-research-vault	3	2.68	keep	high LIMEN-local share; exploitation is higher value than retune		draft/preprint.md:31; results/crosswalks/framework-anchor-coverage-v0.1.tsv:7; results/crosswalks/legal-normative-crosswalk-v0.1.tsv:7
identity-provenance	20260607T195610Z	false authorship	64	64	100.00		0	0.00	keep	high LIMEN-local share; exploitation is higher value than retune		results/boost/limen-boost-031/status.md:6; results/cpu-mining/identity-provenance/20260607T121901Z/summary.json:7; results/boost/limen-boost-007/candidate-cases.jsonl:2
legal-research	20260607T195508Z	fake citation	51	51	100.00		0	0.00	keep	high LIMEN-local share; exploitation is higher value than retune	hallucinated filing sanction; fake citation court order; AI brief misconduct	results/crosswalks/legal-uncertainty-queue.md:56; taxonomy/taxonomy-v0.1.md:29; results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv:8
legal-research	20260607T195508Z	procedural contamination	142	142	100.00		0	0.00	keep	high LIMEN-local share; exploitation is higher value than retune		papers/article-architecture-v0.1.md:11; sources/public-source-families-v0.1.tsv:6; draft/preprint.md:45
public-sector	20260607T195635Z	public administration AI	57	48	84.21	/srv/tyche/pallas/pallas-ai-agent-observatory	9	15.79	keep	high LIMEN-local share; exploitation is higher value than retune		results/boost/limen-boost-006/public-sector-query-retune-board.tsv:7; results/cpu-mining/public-sector/20260607T140524Z/summary.json:8; results/cpu-mining/public-sector/20260607T094807Z/summary.json:8
residual-weird	20260607T195511Z	AI harm	1171	1107	94.53	/srv/tyche/gaia/tyche-research-vault	60	5.12	keep	high LIMEN-local share; exploitation is higher value than retune		papers/article-architecture-v0.1.md:181; methods/crosswalk-method-note-v0.1.md:17; methods/crosswalk-method-note-v0.1.md:86
residual-weird	20260607T195511Z	AI incident	1191	1142	95.89	/srv/tyche/pallas/pallas-ai-agent-observatory	24	2.02	keep	high LIMEN-local share; exploitation is higher value than retune		methods/crosswalk-method-note-v0.1.md:13; methods/crosswalk-method-note-v0.1.md:14; sources/public-source-families-v0.1.tsv:2
residual-weird	20260607T195511Z	AI misuse	801	793	99.00	/srv/tyche/gaia/tyche-research-vault	5	0.62	keep	high LIMEN-local share; exploitation is higher value than retune		results/cpu-mining/residual-weird/20260607T094739Z/matches.tsv:1049; results/cpu-mining/residual-weird/20260607T094739Z/matches.tsv:1050; results/cpu-mining/residual-weird/20260607T094739Z/matches.tsv:1051
residual-weird	20260607T195511Z	AI scandal	677	675	99.70	/srv/tyche/gaia/tyche-research-vault	2	0.30	keep	high LIMEN-local share; exploitation is higher value than retune		results/cpu-mining/residual-weird/20260607T094739Z/matches.tsv:772; results/cpu-mining/residual-weird/20260607T094739Z/matches.tsv:773; results/cpu-mining/residual-weird/20260607T094739Z/matches.tsv:774
residual-weird	20260607T195511Z	fake AI	619	618	99.84	/srv/tyche/gaia/tyche-research-vault	1	0.16	keep	high LIMEN-local share; exploitation is higher value than retune		sources/public-source-families-v0.1.tsv:13; results/cpu-mining/residual-weird/20260607T094739Z/matches.tsv:554; results/cpu-mining/residual-weird/20260607T094739Z/matches.tsv:555
residual-weird	20260607T195511Z	AI washing	971	971	100.00		0	0.00	keep	high LIMEN-local share; exploitation is higher value than retune		results/crosswalks/framework-anchor-coverage-v0.1.tsv:14; results/crosswalks/legal-normative-crosswalk-v0.1.tsv:14; results/crosswalks/legal-review-frontier-v0.1.tsv:12
security-agentic	20260607T195538Z	agent security	605	583	96.36	/srv/tyche/gaia/tyche-research-vault	22	3.64	keep	high LIMEN-local share; exploitation is higher value than retune		papers/article-architecture-v0.1.md:182; sources/public-source-families-v0.1.tsv:8; lanes/zeus1-launch-brief-v0.1.md:20
security-agentic	20260607T195538Z	model poisoning	515	502	97.48	/srv/tyche/gaia/tyche-research-vault	7	1.36	keep	high LIMEN-local share; exploitation is higher value than retune		results/cpu-mining/security-agentic/20260607T172504Z/summary.json:9; results/cpu-mining/security-agentic/20260607T171002Z/summary.json:9; results/cpu-mining/security-agentic/20260607T101749Z/summary.json:9
security-agentic	20260607T195538Z	data exfiltration	408	403	98.77	/srv/tyche/gaia/tyche-research-vault	5	1.23	keep	high LIMEN-local share; exploitation is higher value than retune		results/cpu-mining/security-agentic/20260607T172504Z/summary.json:7; results/cpu-mining/security-agentic/20260607T171002Z/summary.json:7; results/cpu-mining/security-agentic/20260607T101749Z/summary.json:7
security-agentic	20260607T195538Z	AI vulnerability	629	625	99.36	/srv/tyche/gaia/tyche-research-vault	3	0.48	keep	high LIMEN-local share; exploitation is higher value than retune		methods/crosswalk-method-note-v0.1.md:15; sources/public-source-families-v0.1.tsv:3; sources/source-family-ledger.tsv:4
security-agentic	20260607T195538Z	LLM vulnerability	432	432	100.00		0	0.00	keep	high LIMEN-local share; exploitation is higher value than retune		results/crosswalks/source-crosswalk-v0.1.tsv:4; results/boost/limen-boost-050/crosswalk-delta.tsv:4; results/boost/limen-boost-002/crosswalk-route-priority.tsv:2
security-agentic	20260607T195538Z	agentic failure	472	472	100.00		0	0.00	keep	high LIMEN-local share; exploitation is higher value than retune		sources/public-source-families-v0.1.tsv:3; results/boost/limen-boost-002/framework-field-bridge.tsv:12; results/cpu-mining/security-agentic/20260607T172504Z/summary.json:6
security-agentic	20260607T195538Z	memory poisoning	408	408	100.00		0	0.00	keep	high LIMEN-local share; exploitation is higher value than retune		results/security/status.md:462; results/security/security-agentic-claim-ceiling-matrix-v0.1.tsv:9; results/security/security-agentic-watch-v0.1.tsv:9
security-agentic	20260607T195538Z	tool misuse	509	509	100.00		0	0.00	keep	high LIMEN-local share; exploitation is higher value than retune		results/security/security-agentic-publication-routing-matrix-v0.1.tsv:5; results/security/security-agentic-watch-v0.1.tsv:5; results/security/security-agentic-watch-v0.1.tsv:6
