audit_id	as_of_utc	export_id	intended_shared_path	register_state_before	live_file_exists	materialization_audit_state	register_state_after	paper_route_effect	paper_readiness_delta	remaining_semantic_blocker	evidence_refs
LB036-SEA-011	2026-06-08T00:47:49Z	exp-011	results/dashboard/procedural-contamination-source-depth-panel.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Legal/procedural contamination and research-integrity source-depth panel	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `caf08267767e4d0d59227cf1fd2bb41b447b913061a9c9bacf1c5c1813646d30`; 8 lines; 9494 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-011; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-011
LB036-SEA-012	2026-06-08T00:47:49Z	exp-012	results/dashboard/multilingual-evidence-quality-ladder.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Multilingual evidence-quality ladder and dashboard legend/control feed	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `92d96916fc07e4db6d9dcf79da597408a07f661ba0c32ca0bdd2cd21ff8d9ecf`; 7 lines; 3700 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-012; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-012
LB036-SEA-013	2026-06-08T00:47:49Z	exp-013	results/dashboard/public-sector-proof-ceilings.tsv	materialized_local_shared_copy	yes	materialized_local_shared_copy	materialized_local_shared_copy	Shared control table for Table 1B legend/tooltips and public-sector proof-ceiling badges	Register already matched the materialization audit.	Live shared dashboard copy now matches the current source on this host (sha256 `9b87721562468c54550c209dcf6319a5e0d4d546892bfd6c8009f06cb446f960`; 7 lines; 7877 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-013; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-013
LB036-SEA-014	2026-06-08T00:47:49Z	exp-014	results/dashboard/provenance-confusion-publication-cells.tsv	materialized_local_shared_copy	yes	materialized_local_shared_copy	materialized_local_shared_copy	Shared control table for Table 1F legend/tooltips and provenance-confusion default-view discipline	Register already matched the materialization audit.	Live shared dashboard copy now matches the current source on this host (sha256 `da165a8330f2d12036f233f0b8e1c2b6302bda676af4c97140dc5a0a1f935dc5`; 7 lines; 6120 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-014; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-014
LB036-SEA-015	2026-06-08T00:47:49Z	exp-015	results/dashboard/comparator-role-ladder.tsv	materialized_local_shared_copy	yes	materialized_local_shared_copy	materialized_local_shared_copy	Shared control table for Table 6A legend/tooltips and comparator-role-ladder dashboard inset	Register already matched the materialization audit.	Live shared dashboard copy now matches the current source on this host (sha256 `0ba9681a3cf84ffcfe1136947648da0e419e2c2aed312393aed86ad5523cf07f`; 7 lines; 5936 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-015; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-015
LB036-SEA-016	2026-06-08T00:47:49Z	exp-016	results/dashboard/comparator-subclass-contrast.tsv	materialized_local_shared_copy	yes	materialized_local_shared_copy	materialized_local_shared_copy	Shared control inset for Table 6A tooltip text and middle-tier comparator subclass contrast	Register already matched the materialization audit.	Live shared dashboard copy now matches the current source on this host (sha256 `5d73ab2cb5edc0761f40359e5795a84e2443962ed042b215806eb764c80e2b56`; 4 lines; 5427 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-016; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-016
LB036-SEA-017	2026-06-08T00:47:49Z	exp-017	results/dashboard/security-publication-buckets.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Shared control table for Table 6 legend/tooltips and the security publication-bucket dashboard inset	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `190be09cd574316be6b93fa687e898615de3dd7b80ccc9de35a7e08d97a28b88`; 12 lines; 6909 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-017; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-017
LB036-SEA-018	2026-06-08T00:47:49Z	exp-018	results/dashboard/authoritative-document-depth-facet.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Shared control table for Table 1A legend/tooltips and the authoritative depth dashboard inset	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `060a2b6c3af167ea1bd1bfb65f2f4c02c8255bb3c7b69bc27f0b43b6c809f407`; 9 lines; 6958 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-018; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-018
LB036-SEA-019	2026-06-08T00:47:49Z	exp-019	results/dashboard/attestation-trust-surface-readiness.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Shared control table for Table 1G legend/tooltips and the attestation local-bundle-versus-external-witness dashboard inset	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `b3e09ea3ea484fd934dd0501422a355d62ea99cc29c1ada8fd89e7d532db8b71`; 5 lines; 2636 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-019; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-019
LB036-SEA-020	2026-06-08T00:47:49Z	exp-020	results/dashboard/authoritative-package-state-panel.tsv	ready_but_not_promoted	yes	materialized_local_shared_copy	materialized_local_shared_copy	Shared control table for authoritative-core versus sidecar versus frontier versus explicit-gap package-state legend/tooltips	Register now reflects host-local shared-copy materialization instead of stale filesystem-blocked wording.	Live shared dashboard copy now matches the current source on this host (sha256 `f5d3ef34ee7dcbd5e40c9c80cf40ec2ea37d67a6cad85e6bf81334e24fca1677`; 6 lines; 5431 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-020; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-020
LB036-SEA-021	2026-06-08T00:47:49Z	exp-021	results/dashboard/comparator-exact-vs-aggregate-governance.tsv	materialized_local_shared_copy	yes	materialized_local_shared_copy	materialized_local_shared_copy	Shared control inset for Table 6A, AIID/OECD tooltip text, reviewer-response carryover, and aggregate-collision dashboard cautions	Register already matched the materialization audit.	Live shared dashboard copy now matches the current source on this host (sha256 `8d90bd7700eb795a660d1be0c81d195b76f4c135bf95a53e22f7f0f959ce1707`; 5 lines; 5456 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-021; results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-021
