row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00461	LIMEN-SIGNAL-E805E61556B8BA18	reject_noise	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.json:126	PALLAS readiness negative-route protocol	Protocol JSON line defines Bahrain search scope; internal method template rather than source.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from source promotion
TH-00464	LIMEN-SIGNAL-EC3AFFCF8A0875F1	cross_project_duplicate	finnish	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-010/article-a-table-row-matrix-v0.2.csv:4	Hilma + Helsinki AI Register comparator	Public-ai-procurement-gap comparator row belongs to upstream procurement-gap artifact, not this LIMEN batch.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-procurement-gap
TH-00477	LIMEN-SIGNAL-F0F20478902FA31C	machine_translation_hold	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.json:5933	PALLAS confidence-burden typology	Frozen summary/gap flags only; no exact original-language source URL at cited row.	translation-safe source review only; no legal or policy conclusion from machine translation	recover linked source-pack rows before promotion
TH-00478	LIMEN-SIGNAL-F0F42723B803A702	translation_source_reviewed	local_context_language_not_resolved	https://eur-lex.europa.eu/eli/reg/2024/1689/oj	EUR-Lex / Official Journal of the European Union	Official EUR-Lex locator and local note support bounded EU legal-text surface review only.	translation-safe source review only; no legal or policy conclusion from machine translation	retain as EU baseline context, not Lithuania operational sandbox proof
TH-00493	LIMEN-SIGNAL-F9A73B15D40CDC48	candidate_for_url_extraction	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv:330	PALLAS Lesotho candidate matrix delta	Row names gov.ls and AI policy checks but lacks exact URLs/locators for original source review.	translation-safe source review only; no legal or policy conclusion from machine translation	extract gov.ls and AI policy URLs from Lesotho source pack
TH-00500	LIMEN-SIGNAL-FC153B17BEC9A1EC	reject_noise	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.csv:6	PALLAS readiness negative-route protocol CSV	CSV protocol row defines Bahrain search route and fields; not source evidence.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from source promotion
TH-00502	LIMEN-SIGNAL-FD25DAAE0ABF3941	reject_noise	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/tables/indicator_patterns.csv:9	PALLAS indicator patterns	Generic indicator-pattern table row is internal methodological guidance, not a translation source.	translation-safe source review only; no legal or policy conclusion from machine translation	exclude from source promotion
TH-00002	LIMEN-SIGNAL-00B06AAD17574A29	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/8	Algorithm Register of the Dutch government	Public AI Registry gap-map sample from English auto-translation; route to registry project.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00005	LIMEN-SIGNAL-03386889A892E1A5	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algorit	Algorithm Register of the Dutch government	Manuscript table row is a public-ai-registry derivative with truncated URL.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00008	LIMEN-SIGNAL-04C5FACF22811565	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	Algorithm Register of the Dutch government	Public AI Registry gap-map row from English auto-translation; upstream registry artifact.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00011	LIMEN-SIGNAL-05DC08B5754149A9	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	Algorithm Register of the Dutch government	Preview gap-map duplicate from public-ai-registry; upstream registry artifact.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00012	LIMEN-SIGNAL-05F835101AF97C00	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government	Public AI Registry sample-record row from English auto-translation; upstream registry artifact.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00014	LIMEN-SIGNAL-06AAE61CD25143E6	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government	Public AI Registry sample-record row from English auto-translation; upstream registry artifact.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00016	LIMEN-SIGNAL-06FD806270EB86DA	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Algorithm Register of the Dutch government	Public AI Registry sample-record row from English auto-translation; upstream registry artifact.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00019	LIMEN-SIGNAL-09420335B016F5E9	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algorit	Algorithm Register of the Dutch government	Manuscript table row is a public-ai-registry derivative with truncated URL.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00020	LIMEN-SIGNAL-09BD03BB2D2F621B	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Dutch national Algorithm Register	Public AI Registry boost-normalized support row; derivative/upstream registry artifact.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00028	LIMEN-SIGNAL-0E6A34C7C42CCEDA	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government	Public AI Registry sample-record duplicate from English auto-translation.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00037	LIMEN-SIGNAL-1136D9F97AAF7B3D	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government	Public AI Registry preview sample-record duplicate from English auto-translation.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00039	LIMEN-SIGNAL-1330867674C0B85D	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	Algorithm Register of the Dutch government	Public AI Registry preview gap-map duplicate from English auto-translation.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00043	LIMEN-SIGNAL-16D9B3C3CF108BD3	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government	Public AI Registry preview sample-record duplicate from English auto-translation.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00044	LIMEN-SIGNAL-172DD3C88F21ED7F	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	Algorithm Register of the Dutch government	Public AI Registry preview gap-map duplicate from English auto-translation.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
TH-00045	LIMEN-SIGNAL-17842F5F2637EEA7	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government	Public AI Registry sample-record duplicate from English auto-translation.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry
