case_id	cve_id	record_status	evidence_tier	title	primary_source_id	primary_source_url	access_date	language	jurisdiction	ai_system_type	autonomy_level	impact_surface	limen_categories	mitre_atlas_mapping	avid_mapping	owasp_llm_agentic_mapping	severity	mitigation_or_response	paper_use_note	verification_gap
LIMEN-WEB4-016		Garante	T3_authoritative_source	Italy fines car-trade company over facial-recognition attendance + task-logging	Garante | Provv. 10029500, 6 June 2024, EUR 120,000	https://gdprhub.eu/index.php?title=Garante_per_la_protezione_dei_dati_personali_(Italy)_-_10029500	2026-06-14		Italy	facial-recognition + DMS task-logging employee monitoring		legal/regulatory/algorithmic	education_workplace_or_hr						The Garante fined a car-trade company EUR 120,000 for facial-recognition attendance and software task-tracking of employees.	GDPRhub page access-restricted.
LIMEN-WEB4-017		Garante	T3_authoritative_source	Italy fines a high school over fingerprint attendance for staff	Garante | 27 Mar 2025, EUR 4,000	https://www.edpb.europa.eu/news/national-news/2025/biometrics-attendance-recording-italian-sa-fines-high-school_en	2026-06-14		Italy	fingerprint biometric staff attendance		legal/regulatory/algorithmic	education_workplace_or_hr						The Garante fined a high school EUR 4,000 for using staff fingerprints for attendance, holding consent invalid in employment.	None material; EDPB-confirmed.
LIMEN-WEB4-018		Belgian DPA (APD/GBA)	T3_authoritative_source	Belgium fines an employer over fingerprint timekeeping	Belgian DPA (APD/GBA) | Decision 114/2024, 6 Sept 2024, EUR 45,000	https://www.biometricupdate.com/202411/belgian-watchdog-ruling-on-consent-sets-employee-biometrics-use-against-gdpr	2026-06-14		Belgium	fingerprint biometric employee time-registration		legal/regulatory/algorithmic	education_workplace_or_hr						The Belgian APD fined an employer EUR 45,000 for unlawful fingerprint timekeeping, rejecting employee consent as a valid basis.	GDPRhub primary page access-restricted.
LIMEN-WEB4-019		State Data Protection Inspectorate (VDAI	T3_authoritative_source	Lithuania fines a sports club over mandatory fingerprint access	State Data Protection Inspectorate (VDAI) | 2021, VS Fitness UAB, EUR 20,000	https://www.edpb.europa.eu/news/national-news/2021/lithuanian-dpa-fine-imposed-sports-club-infringements-gdpr-processing_en	2026-06-14		Lithuania	fingerprint biometric club access		legal/regulatory/algorithmic	surveillance_biometrics_or_policing						The Lithuanian DPA fined VS Fitness EUR 20,000 for mandatory fingerprint scanning with no alternative and invalid consent.	Decision number not isolated.
LIMEN-WEB4-020		IMY	T3_authoritative_source	Sweden fines Klarna over profiling/scoring transparency failures	IMY | 28 Mar 2022, SEK 7.5M (~EUR 724,000)	https://www.edpb.europa.eu/news/national-news/2022/swedish-authority-privacy-protection-imy-issues-administrative-fine-against_en	2026-06-14		Sweden	creditworthiness scoring/profiling (BNPL)		legal/regulatory/algorithmic	data_protection_enforcement						The IMY fined Klarna SEK 7.5M, partly for failing to disclose the logic, data and consequences of its scoring/profiling.	EDPB emphasises transparency duties broadly.
LIMEN-WEB4-021		KVKK	T2_contested_or_interim	Turkey bars and fines biometric facial-recognition attendance by employers	KVKK | TRY 500,000 (facial) + TRY 225,000 (palm-reading)	https://www.biometricupdate.com/202606/turkiye-says-employers-cannot-rely-on-biometrics-for-attendance-monitoring	2026-06-14		Turkey	facial/palm-vein biometric attendance		legal/regulatory/algorithmic	education_workplace_or_hr						The Turkish KVKK ruled biometric attendance unlawful even with consent and imposed administrative fines.	Decision numbers/dates not isolated.
LIMEN-WEB4-022		CNPD	T3_authoritative_source	Portugal fines National Statistics Institute over Census processing/transfers	CNPD | 2 Nov 2022, EUR 4.3M	https://www.edpb.europa.eu/news/national-news/2022/portuguese-supervisory-authority-fines-portuguese-national-statistics_en	2026-06-14		Portugal	large-scale automated census processing via US CDN		legal/regulatory/algorithmic	data_protection_enforcement						The CNPD fined INE EUR 4.3M for Census 2021 violations including unlawful third-country transfers and no proper DPIA.	Automated processing/transfer case rather than a model-specific AI fine.
LIMEN-WEB4-023		Datatilsynet	T3_authoritative_source	Norway fines Grindr over sharing sensitive profile data with adtech	Datatilsynet | 15 Dec 2021, NOK 65M; upheld on appeal 2025	https://www.datatilsynet.no/en/news/news-2025/the-court-of-appeal-upholds-the-fine-against-grindr/	2026-06-14		Norway	adtech profiling/data-sharing pipeline		legal/regulatory/algorithmic	data_protection_enforcement						Datatilsynet fined Grindr NOK 65M for unlawfully sharing users' data (revealing likely sexual orientation) with ad partners; upheld 2025.	None material; regulator-direct.
LIMEN-WEB4-024		Maryland Transit Administration Police /	T2_contested_or_interim	Alonzo Sawyer wrongful arrest via facial-recognition match (Maryland)	Maryland Transit Administration Police / state court | Arrested spring 2022; charges dropped; ACLU 2025 tally	https://www.aclu.org/news/privacy-technology/more-than-a-dozen-wrongful-arrests-due-to-police-reliance-on-facial-recognition-technology	2026-06-14		United States (Maryland)	facial_recognition		legal/regulatory/algorithmic	surveillance_biometrics_or_policing						An innocent man was jailed on a false FRT match before the true suspect was identified.	No civil judgment/settlement on record; advocacy-group documentation.
LIMEN-WEB4-025		NYPD / NY County DA (charges dismissed)	T2_contested_or_interim	Trevis Williams wrongful arrest after NYPD facial-recognition match	NYPD / NY County DA (charges dismissed) | Arrested Apr 2025; dismissed July 2025	https://abc7ny.com/post/man-falsely-jailed-nypds-facial-recognition-surveillance-tech-failed/17664671/	2026-06-14		United States (New York)	facial_recognition		legal/regulatory/algorithmic	surveillance_biometrics_or_policing						NYPD arrested a man markedly different from the suspect, with phone data placing him 12 miles away, on a flawed FRT lead.	Prosecutorial dismissal; no civil judgment yet.
LIMEN-WEB4-026		Jacksonville Beach PD (civil suit; ACLU)	T2_contested_or_interim	Robert Dillon wrongful arrest from 93% facial-recognition match (Florida)	Jacksonville Beach PD (civil suit; ACLU) | Arrested Aug 2024; federal civil-rights suit filed June 2026	https://www.aclu.org/press-releases/florida-man-sues-police-over-wrongful-arrest-due-to-false-facial-recognition-match	2026-06-14		United States (Florida)	facial_recognition		legal/regulatory/algorithmic	surveillance_biometrics_or_policing						Police obtained a warrant on a 93% FRT match while allegedly concealing exculpatory evidence, jailing a man 300+ miles away.	Newly filed complaint; untested.
LIMEN-WEB4-027		Circuit Court, Palm Beach County	T2_contested_or_interim	Banner v. Tesla — Autopilot punitive-damages ruling allowed to trial	Circuit Court, Palm Beach County | Order Nov 2023 permitting punitive-damages claim (2019 death)	https://www.claimsjournal.com/news/national/2023/11/22/320566.htm	2026-06-14		United States (Florida)	autonomous_vehicle		legal/regulatory/algorithmic	agentic_control_failure						A judge found a jury could conclude Tesla knew Autopilot failed to detect cross-traffic yet marketed it as autonomous.	Interlocutory ruling, not a final verdict; distinct from Benavides.
LIMEN-WEB4-028		Santa Clara County Superior Court; NTSB	T3_authoritative_source	Tesla Autopilot fatal-crash settlement (Walter Huang)	Santa Clara County Superior Court; NTSB | Settled 8 Apr 2024; NTSB 2020 finding faulted Autopilot	https://www.cnbc.com/2024/04/08/tesla-settles-wrongful-death-lawsuit-over-fatal-2018-autopilot-crash.html	2026-06-14		United States (California)	autonomous_vehicle		legal/regulatory/algorithmic	agentic_control_failure						Tesla settled a wrongful-death suit where federal investigators found Autopilot engaged and partly to blame for steering into a barrier.	Settlement sealed; no admission/damages figure.
LIMEN-WEB4-029		NHTSA	T3_authoritative_source	Tesla Cybertruck accelerator-pedal recall (unintended acceleration)	NHTSA | Recall Apr 2024; 3,878 MY2024 Cybertrucks	https://www.cnn.com/2024/04/19/business/tesla-cybertruck-recall/index.html	2026-06-14		United States	drive-by-wire accelerator		legal/regulatory/algorithmic	agentic_control_failure						A regulator-documented defect could trap the accelerator and cause unintended acceleration in 2024 Cybertrucks.	Hardware/control defect rather than AI autonomy; no crashes at recall time.
LIMEN-WEB4-030		NTSB; NHTSA	T3_authoritative_source	Ford BlueCruise hands-free system — NTSB findings + NHTSA probe after fatal crashes	NTSB; NHTSA | NTSB board action 31 Mar 2026 on 2024 fatal crashes; NHTSA probe	https://www.detroitnews.com/story/business/autos/ford/2026/04/01/ntsb-ford-bluecruise-fatal-crashes-investigation-regulations-autonomous-vehicles/89417858007/	2026-06-14		United States	autonomous_vehicle (L2 hands-free)		legal/regulatory/algorithmic	agentic_control_failure						Federal investigators concluded BlueCruise failed to brake before two fatal stationary-vehicle strikes, with driver over-reliance contributing.	NTSB findings non-binding; NHTSA probe open, no recall/penalty.
LIMEN-WEB4-031		NHTSA	T3_authoritative_source	Zoox robotaxi hard-braking software recall	NHTSA | Recall 25E037, 19 Mar 2025; 258 vehicles	https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25E037-4912.pdf	2026-06-14		United States	autonomous_vehicle		legal/regulatory/algorithmic	agentic_control_failure						Amazon's Zoox recalled its driverless fleet after the autonomy stack mispredicted collisions and braked unsafely hard.	Voluntary recall; manufacturer root-cause framing. | VERIFIED: Correct the recall to NHTSA campaign 25E019 (report received 14 Mar 2025) for the 258-vehicle hard-braking software recall; 25E037 is a separate May 2025 Zoox recall.
LIMEN-WEB4-032		NHTSA	T3_authoritative_source	Zoox robotaxi lane-crossing software recall	NHTSA | Recall Dec 2025; 332 robotaxis	https://techcrunch.com/2025/12/23/zoox-issues-software-recall-over-lane-crossings/	2026-06-14		United States	autonomous_vehicle		legal/regulatory/algorithmic	agentic_control_failure						Zoox's third recall in eight months addressed autonomy that crossed into oncoming lanes near intersections.	Recall from manufacturer filing/trade reporting; injury record not established.
LIMEN-WEB4-033		NHTSA Office of Defects Investigation	T2_contested_or_interim	Waymo robotaxi NHTSA investigation for passing a stopped school bus	NHTSA Office of Defects Investigation | ODI investigation opened Oct 2025 (~2,000 vehicles)	https://www.cbsnews.com/news/waymo-investigation-nhtsa-robotaxis-passing-school-bus/	2026-06-14		United States	autonomous_vehicle		legal/regulatory/algorithmic	agentic_control_failure						A federal defects probe opened after a driverless Waymo passed a stopped school bus with its stop-arm deployed.	Open investigation; no defect finding/recall (distinct from Waymo's barrier recall).
LIMEN-WEB4-034		U.S. District Court, D.N.M.	T3_authoritative_source	Morgan v. Community Against Violence — counsel sanctioned for AI-fabricated citations + ordered CLE	U.S. District Court, D.N.M. | No. 1:23-cv-00353; sanctions order 2023	https://law.justia.com/cases/federal/district-courts/new-mexico/nmdce/1:2023cv00353/487231/32/	2026-06-14		United States (D.N.M.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						A federal court sanctioned counsel for submitting AI-fabricated citations.	Exact amount summarized from the docket entry. | VERIFIED: Recast as: a PRO SE plaintiff in Morgan v. Community Against Violence (D.N.M., No. 1:23-cv-00353) cited AI-'hallucinated' cases and had her claims dismissed with prejudice plus pre-filing restrictions in 2024 -- no attorney was sanctioned and no CLE was ordered.
LIMEN-WEB4-035		U.S. District Court, W.D. Va.	T2_contested_or_interim	Iovino v. Michael Stapleton Associates (MSA Security) — Rule 11 show-cause over fictitious AI cases	U.S. District Court, W.D. Va. | No. 5:21-cv-00064 (2024); show-cause under Rule 11(c)	https://law.justia.com/cases/federal/district-courts/virginia/vawdce/5:2021cv00064/123582/177/	2026-06-14		United States (W.D. Va.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court found fictitious citations and ordered counsel to show cause why Rule 11 sanctions should not issue.	Final sanction after show-cause not confirmed. | VERIFIED: Rule 11(c) show-cause was issued, but at the Oct 9 2024 hearing the judge ultimately DECLINED to sanction counsel; no sanction was imposed.
LIMEN-WEB4-036		U.S. District Court, S.D. Ind.	T3_authoritative_source	Mid Central Operating Engineers v. HoosierVac — attorney sanctioned + bar referral for AI cases	U.S. District Court, S.D. Ind. | No. 2:24-cv-00326; 2025 WL 1511211 (May 28 2025); $6,000 + referral	https://www.casemine.com/judgement/us/68391a2c20bd54916e6efca0	2026-06-14		United States (S.D. Ind.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						A magistrate sanctioned the attorney $6,000 and referred him for discipline over AI-fabricated citations.	Bar-referral outcome unknown. | VERIFIED: Magistrate Judge Dinsmore's order; he had recommended $15,000 but the final imposed sanction was $6,000 plus bar awareness.
LIMEN-WEB4-037		Ontario Superior Court of Justice	T3_authoritative_source	Ko v. Li — Ontario family-law counsel show-cause for contempt over AI citations	Ontario Superior Court of Justice | 2025 ONSC 2766 / 2025 ONSC 2965 (Myers J.)	https://www.canadianlawyermag.com/practice-areas/family/superior-court-says-family-law-case-factum-may-have-fake-legal-citations-due-to-ai-hallucinations/392433	2026-06-14		Canada (Ontario Superior Court)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						An Ontario court ordered counsel to show cause for contempt over AI-hallucinated citations, then accepted her apology.	No monetary sanction ultimately imposed; remedial outcome.
LIMEN-WEB4-038		Missouri Court of Appeals, Eastern Distr	T3_authoritative_source	Kruse v. Karlen — appellant sanctioned $10,000 for 22 fabricated AI citations	Missouri Court of Appeals, Eastern District | 692 S.W.3d 43 (2024); $10,000; appeal dismissed	https://www.sternekessler.com/news-insights/insights/ai-ip-year-in-reviewai-hallucinations-in-court-filings-and-orders-a-2025-review-of-sanctions-across-the-courts-and-rule-proposals/	2026-06-14		United States (Missouri Ct. App.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						A Missouri appellate court sanctioned the appellant $10,000 for a brief with 22 fabricated citations.	Appellant pro se.
LIMEN-WEB4-039		U.S. District Court, E.D. Ark.	T3_authoritative_source	Nguyen v. Wheeler — counsel sanctioned $1,000 for four nonexistent AI cases	U.S. District Court, E.D. Ark. | No. 4:24-cv-00815 (Mar 2025); $1,000	https://www.sternekessler.com/news-insights/insights/ai-ip-year-in-reviewai-hallucinations-in-court-filings-and-orders-a-2025-review-of-sanctions-across-the-courts-and-rule-proposals/	2026-06-14		United States (E.D. Ark.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court imposed a $1,000 sanction for AI-fabricated authority.	Order date from secondary review.
LIMEN-WEB4-040		U.S. District Court, E.D.N.Y.	T3_authoritative_source	Benjamin v. Costco — counsel sanctioned for five fabricated/misattributed AI citations	U.S. District Court, E.D.N.Y. | No. 1:24-cv-07399 (Apr 24 2025)	https://www.esquiresolutions.com/the-sirens-song-of-generative-ai-in-pleadings/	2026-06-14		United States (E.D.N.Y.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court sanctioned counsel for five fabricated/misattributed citations, reduced for candor.	Exact dollar figure not pinned to the order. | VERIFIED: Docket number is 2:24-cv-07399 (not 1:24-cv-07399); Magistrate Judge Dunst imposed a $1,000 sanction plus client notice and AI CLE.
LIMEN-WEB4-041		U.S. District Court, E.D. Pa.	T3_authoritative_source	Bevins v. Colgate-Palmolive — attorney sanctioned over fabricated AI citations	U.S. District Court, E.D. Pa. | E.D. Pa. 2025; sanctions imposed	https://www.legal.io/articles/5609086/Fake-Case-Citations-Land-Two-Attorneys-in-Hot-Water-Over-AI-Misuse	2026-06-14		United States (E.D. Pa.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						A federal court found fabricated citations and moved to sanction counsel.	Exact docket/sanction amount not confirmed. | VERIFIED: Sanction was non-monetary (appearance struck, bar-regulator notice, client notification) per Judge Kai Scott, No. 25-576, E.D. Pa., Apr 10 2025; not framed as a fine.
LIMEN-WEB4-042		U.S. District Court, D.N.M.	T3_authoritative_source	Dehghani v. Castro — counsel referred to NM and TX bars for nonexistent AI cases	U.S. District Court, D.N.M. | No. 2:25-cv-00052 (Apr 2 2025); bar referrals	https://law.justia.com/cases/federal/district-courts/new-mexico/nmdce/2:2025cv00052/511942/35/	2026-06-14		United States (D.N.M.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court referred counsel to two state bars for AI-fabricated citations.	Bar-referral outcomes pending.
LIMEN-WEB4-043		U.S. District Court, N.D. Ga.	T3_authoritative_source	In re Loletha Hale — five-year disclosure sanction for AI-fabricated citations	U.S. District Court, N.D. Ga. | Oct 28 2025; client-notification + 5-year disclosure	https://www.sternekessler.com/news-insights/insights/ai-ip-year-in-reviewai-hallucinations-in-court-filings-and-orders-a-2025-review-of-sanctions-across-the-courts-and-rule-proposals/	2026-06-14		United States (N.D. Ga.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court imposed a five-year disclosure/notification sanction for AI-fabricated citations.	Caption summarized from a review article.
LIMEN-WEB4-044		U.S. District Court, S.D. Fla.	T3_authoritative_source	Dubinin v. Papazian — case dismissed + fees + bar referrals over AI citations	U.S. District Court, S.D. Fla. | Nov 21 2025; dismissal + fees + referrals	https://www.sternekessler.com/news-insights/insights/ai-ip-year-in-reviewai-hallucinations-in-court-filings-and-orders-a-2025-review-of-sanctions-across-the-courts-and-rule-proposals/	2026-06-14		United States (S.D. Fla.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court dismissed the case, awarded fees, and referred counsel to state bars for AI-fabricated citations.	Docket/fee amount from a review article.
LIMEN-WEB4-045		U.S. District Court, E.D. Cal.	T3_authoritative_source	Tercero v. Sacramento Logistics — counsel fined $1,500 + CA bar referral	U.S. District Court, E.D. Cal. | Sept 9 2025; $1,500 + referral	https://www.sternekessler.com/news-insights/insights/ai-ip-year-in-reviewai-hallucinations-in-court-filings-and-orders-a-2025-review-of-sanctions-across-the-courts-and-rule-proposals/	2026-06-14		United States (E.D. Cal.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court fined counsel $1,500 and referred him to the California bar.	Docket from a review article.
LIMEN-WEB4-046		N.Y. Civil Court, Queens County	T2_contested_or_interim	Idehen v. Stoute-Phillip — show-cause over 'egregious' AI-fabricated citations	N.Y. Civil Court, Queens County | July 29 2025; show-cause	https://www.sternekessler.com/news-insights/insights/ai-ip-year-in-reviewai-hallucinations-in-court-filings-and-orders-a-2025-review-of-sanctions-across-the-courts-and-rule-proposals/	2026-06-14		United States (NY Civil Court, Queens)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						A New York civil court issued a show-cause order over egregious AI-fabricated citations.	Final sanction not confirmed.
LIMEN-WEB4-047		U.S. District Court, N.D. Ala.	T3_authoritative_source	Johnson v. Dunn — three Butler Snow attorneys disqualified + bar referral over AI citations	U.S. District Court, N.D. Ala. | 792 F.Supp.3d 1241 (2025); order July 23 2025	https://www.courthousenews.com/johnson-vs-dunn-attorney-sanctions-order/	2026-06-14		United States (N.D. Ala.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court disqualified three attorneys and referred them to the state bar for AI-fabricated citations.	Bar referral pending.
LIMEN-WEB4-048		Supreme Court of Alabama	T3_authoritative_source	Ibach v. Stewart — Alabama Supreme Court sanctions attorney $17,200 + filing restriction	Supreme Court of Alabama | 2026; $17,200 + bar referral + solo-filing bar	https://news.bloomberglaw.com/litigation/alabama-justices-toss-case-over-egregious-attorney-ai-misuse	2026-06-14		United States (Alabama Sup. Ct.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The Alabama Supreme Court dismissed the appeal, ordered $17,200, referred the attorney to the bar, and restricted his filings.	Exact docket not confirmed.
LIMEN-WEB4-049		U.S. District Court, D.P.R.	T3_authoritative_source	Puerto Rico Soccer League v. FPF — counsel ordered ~$24,000 fees for 55+ defective AI citations	U.S. District Court, D.P.R. | 2025; ~$24,000 fees	https://reason.com/volokh/2025/09/24/over-24k-in-sanctions-for-alleged-ai-hallucinations-in-case-against-fifa/	2026-06-14		United States (D.P.R.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court ordered ~$24,000 in fees over dozens of defective/nonexistent citations.	Counsel denied using AI; court inferred it.
LIMEN-WEB4-050		U.S. District Court, S.D. Fla.	T3_authoritative_source	Crespo v. Tesla — pro se plaintiff ordered to pay Tesla fees for AI-hallucinated cases	U.S. District Court, S.D. Fla. | 2025 WL 1921903 (July 11 2025)	http://evan.law/2025/07/15/tesla-awarded-sanctions-where-opposing-party-cited-ai-generated-cases-in-discovery-briefing/	2026-06-14		United States (S.D. Fla.)	generative_text_llm		legal/regulatory/algorithmic	legal_procedural_contamination						The court ordered the plaintiff to pay Tesla's fees for filings citing AI-hallucinated cases.	Pro se; amount from secondary source.
