row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00347	LIMEN-SIGNAL-B716B7F0268F7404	cross_project_duplicate	chinese	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Provisions on the Administration of Deep Synthesis Internet Information Services (CAC)	Repeated GAIA Chinese law-context artifact for same CAC deep-synthesis provisions; upstream human translation/source review needed.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to GAIA law-to-evidence row and keep only one canonical CAC locator.
TH-00413	LIMEN-SIGNAL-D60D1D85DE659D86	cross_project_duplicate	chinese	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Provisions on the Administration of Deep Synthesis Internet Information Services (CAC)	Repeated GAIA Chinese law-context artifact for same CAC deep-synthesis provisions; upstream human translation/source review needed.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to GAIA law-to-evidence row and keep only one canonical CAC locator.
TH-00414	LIMEN-SIGNAL-D613432BC28E0685	cross_project_duplicate	chinese	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Provisions on the Administration of Deep Synthesis Internet Information Services (CAC)	Repeated GAIA Chinese law-context artifact for same CAC deep-synthesis provisions; upstream human translation/source review needed.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to GAIA law-to-evidence row and keep only one canonical CAC locator.
TH-00427	LIMEN-SIGNAL-DA9A5B50076F9327	cross_project_duplicate	chinese	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Provisions on the Administration of Deep Synthesis Internet Information Services (CAC)	Repeated GAIA Chinese law-context artifact for same CAC deep-synthesis provisions; upstream human translation/source review needed.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to GAIA law-to-evidence row and keep only one canonical CAC locator.
TH-00468	LIMEN-SIGNAL-ED9EDB3BC8DE6AD0	cross_project_duplicate	chinese	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Provisions on the Administration of Deep Synthesis Internet Information Services (CAC)	Repeated GAIA Chinese law-context artifact for same CAC deep-synthesis provisions; upstream human translation/source review needed.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to GAIA law-to-evidence row and keep only one canonical CAC locator.
TH-00469	LIMEN-SIGNAL-EE05DE6FC2491F9C	cross_project_duplicate	language_not_resolved	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:45	coupa-navi	GAIA provider record is English/local derivative, not an original-language translation source.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to GAIA provider-source hardening; remove from translation queue.
TH-00481	LIMEN-SIGNAL-F2778FB22DD21123	cross_project_duplicate	language_not_resolved	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:40	glean-agents	GAIA provider record is English/local derivative, not an original-language translation source.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to GAIA provider-source hardening; remove from translation queue.
TH-00488	LIMEN-SIGNAL-F621E3445A8A6D4A	cross_project_duplicate	language_not_resolved	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:40	glean-agents	GAIA provider record is English/local derivative, not an original-language translation source.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to GAIA provider-source hardening; remove from translation queue.
TH-00001	LIMEN-SIGNAL-0096D74B15E1BE8B	candidate_for_url_extraction	korean	https://doi.org/10.16937/kcti.rep.2022.e13	관광산업 업종별 디지털 전환 지원체계 구축 방안 - 여행업과 관광호텔업을 중심으로 -	Korean title and DOI are present locally, but source text/URL extraction remains the next bounded step.	translation-safe source review only; no legal or policy conclusion from machine translation	Extract DOI landing/PDF locator locally before translation or factual use.
TH-00004	LIMEN-SIGNAL-0274D84E084707BD	cross_project_duplicate	japanese	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-054/table-patch.md:14	japan-digital-agency-genai-government-ai / Government AI GENAI / Japan Digital Agency	GAIA table-patch row is an English/no-direct-quote derivative artifact, not a Japanese source review.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to GAIA source-document/fact IDs; do not use this table row as translation evidence.
TH-00017	LIMEN-SIGNAL-0750FF2F52193EEE	reject_noise	arabic	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-112/language-delta.json:10	gaia-boost-112 language-delta assignment metadata	Internal Arabic shard assignment metadata, not a source document or translated source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Do not promote; use exact source-document IDs from the upstream Arabic packet instead.
TH-00021	LIMEN-SIGNAL-09ECD388A3023BB5	needs_original_language_source	he	https://www.gov.il/BlobFolder/policy/ai_2023/en/Israels%20AI%20Policy%202023.pdf	Israel AI Policy 2023	Hebrew/official-policy lead has a named URL, but local retrieval failed with 403 and no source text is present.	translation-safe source review only; no legal or policy conclusion from machine translation	Acquire accessible original-language/local copy or archive before translation-source review.
