view_id	view_title	scope	row_dimension	row_key	column_dimension	column_key	cell_count	member_ids	safe_reading	paper_thesis_use	dashboard_hook	blocking_note	access_date
AIW-OBS-003	Source-depth state by shared table role	including_comparator_and_queue	source_depth_state	settled_regulator_order	shared_table_role	Settled regulated-finance anchor row	2	LIMEN-000001; LIMEN-000002	source_depth_state=settled_regulator_order and shared_table_role=Settled regulated-finance anchor row currently intersect in 2 row(s) in the live shard-009 package.	Matrix cell for Table 1C or thesis methods notes showing that the strongest current shard-009 support is still two settled regulator-order finance anchors.	ai_washing_observatory_cells; view=source_depth_x_shared_role	Source-depth state is an evidence-shape description, not a flat truth or severity score.	2026-06-07
AIW-OBS-003	Source-depth state by shared table role	including_comparator_and_queue	source_depth_state	authoritative_charging_stage_plus_captured_document_ocr	shared_table_role	Authoritative non-finance lower-posture contrast row	1	HUMAN-AS-AI-SDNY-2025-001	source_depth_state=authoritative_charging_stage_plus_captured_document_ocr and shared_table_role=Authoritative non-finance lower-posture contrast row currently intersect in 1 row(s) in the live shard-009 package.	Matrix cell showing that shard 009 already spans direct-document corroboration and posture heterogeneity without overclaiming adjudication.	ai_washing_observatory_cells; view=source_depth_x_shared_role	Captured-document OCR improves document depth but does not close the final-authority gap.	2026-06-07
AIW-OBS-003	Source-depth state by shared table role	including_comparator_and_queue	source_depth_state	direct_non_official_comparator_only	shared_table_role	Non-official comparator row kept outside the authoritative ladder	1	LMWCS-20260606-005	source_depth_state=direct_non_official_comparator_only and shared_table_role=Non-official comparator row kept outside the authoritative ladder currently intersect in 1 row(s) in the live shard-009 package.	Methods-sidecar cell showing that direct text alone does not make a row reviewer-safe for authoritative default display.	ai_washing_observatory_cells; view=source_depth_x_shared_role	Non-official direct text is still below the publication ceiling for authoritative shard-009 claims.	2026-06-07
AIW-OBS-003	Source-depth state by shared table role	including_comparator_and_queue	source_depth_state	regulator_final_plus_complaint_text	shared_table_role	Official non-finance sidecar row	1	LIMEN-000010	source_depth_state=regulator_final_plus_complaint_text and shared_table_role=Official non-finance sidecar row currently intersect in 1 row(s) in the live shard-009 package.	Matrix cell showing exactly where complaint-plus-final-order non-finance support sits: strong enough for diversification sidecar use, but not yet default-core by contract.	ai_washing_observatory_cells; view=source_depth_x_shared_role	Do not treat the presence of one FTC row as an automatic denominator rewrite.	2026-06-07
AIW-OBS-003	Source-depth state by shared table role	including_comparator_and_queue	source_depth_state	explicit_negative_result_control	shared_table_role	Explicit hidden-human gap row	1	QUEUE-HUMAN-AS-AI-001	source_depth_state=explicit_negative_result_control and shared_table_role=Explicit hidden-human gap row currently intersect in 1 row(s) in the live shard-009 package.	Matrix cell showing that negative evidence is deliberately modeled as a reusable publication artifact, not only as missing data.	ai_washing_observatory_cells; view=source_depth_x_shared_role	Negative-result controls must not be misread as incident evidence or external absence proof.	2026-06-07
AIW-OBS-004	Branch group by visibility state	live_package_rows_and_sidecars	branch_group	settled_finance_anchor	visibility_state	show_by_default	2	LIMEN-000001; LIMEN-000002	branch_group=settled_finance_anchor and visibility_state=show_by_default currently intersect in 2 row(s) in the live shard-009 package.	Compact chart-ready ladder showing that both settled finance anchors remain default-visible in the live core package.	ai_washing_observatory_cells; view=branch_group_x_visibility_state	Visibility state is a presentation contract, not a confidence or importance score.	2026-06-07
AIW-OBS-004	Branch group by visibility state	live_package_rows_and_sidecars	branch_group	charge_stage_hidden_human	visibility_state	show_by_default_with_warning	1	LIMEN-000005	branch_group=charge_stage_hidden_human and visibility_state=show_by_default_with_warning currently intersect in 1 row(s) in the live shard-009 package.	Compact chart-ready ladder showing that the Nate row is default-visible only with warning logic attached.	ai_washing_observatory_cells; view=branch_group_x_visibility_state	Do not drop accusation-stage warning logic when this row is visualized.	2026-06-07
AIW-OBS-004	Branch group by visibility state	live_package_rows_and_sidecars	branch_group	hidden_human_gap_control	visibility_state	show_by_default_as_queue	1	QUEUE-HUMAN-AS-AI-001	branch_group=hidden_human_gap_control and visibility_state=show_by_default_as_queue currently intersect in 1 row(s) in the live shard-009 package.	Compact chart-ready ladder showing that the queue control is intentionally visible in the default package.	ai_washing_observatory_cells; view=branch_group_x_visibility_state	Do not hide this row when diversification gains are discussed; it preserves the main claim ceiling.	2026-06-07
AIW-OBS-004	Branch group by visibility state	live_package_rows_and_sidecars	branch_group	official_nonfinance_sidecar	visibility_state	show_as_sidecar_badge_not_core_row	1	LIMEN-000010	branch_group=official_nonfinance_sidecar and visibility_state=show_as_sidecar_badge_not_core_row currently intersect in 1 row(s) in the live shard-009 package.	Compact chart-ready ladder showing that DoNotPay is available for official non-finance diversification but still outside the main default ladder.	ai_washing_observatory_cells; view=branch_group_x_visibility_state	Do not present sidecar status as if the core denominator has already expanded.	2026-06-07
AIW-OBS-004	Branch group by visibility state	live_package_rows_and_sidecars	branch_group	detector_governance_side_branch	visibility_state	hide_in_default_and_show_only_in_overlay	1	LIMEN-000011	branch_group=detector_governance_side_branch and visibility_state=hide_in_default_and_show_only_in_overlay currently intersect in 1 row(s) in the live shard-009 package.	Compact chart-ready ladder showing that the Workado detector-governance branch remains overlay-only unless a deliberate branch-opening decision is made.	ai_washing_observatory_cells; view=branch_group_x_visibility_state	Overlay-only placement is a branch-governance safeguard, not a claim that the row is unimportant or false.	2026-06-07
