export_id	intended_shared_path	current_source_path	count_contract_or_scope	paper_or_dashboard_use	promotion_state	promotion_blocker	reviewer_safe_instruction
exp-011	results/dashboard/procedural-contamination-source-depth-panel.tsv	results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv	7 rows across two procedural-contamination rows and five research-integrity source-depth states	Legal/procedural contamination and research-integrity source-depth panel	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `caf08267767e4d0d59227cf1fd2bb41b447b913061a9c9bacf1c5c1813646d30`; 8 lines; 9494 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Keep document-grade, broadcaster-plus-official-probe, mediated-statement, DOI-pair, publisher-visible, direct-notice, and mixed residual-floor states visibly separate, and keep the residual floor described as one archived SSRN platform-action exemplar plus two still-weak residual rows.
exp-012	results/dashboard/multilingual-evidence-quality-ladder.tsv	results/boost/limen-boost-053/multilingual-export-bridge.tsv	6 multilingual rows; direct_official=1; direct_non_official=2; queue_only=3; translation_review_required=6; high_undercovered_queue_only=2	Multilingual evidence-quality ladder and dashboard legend/control feed	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `92d96916fc07e4db6d9dcf79da597408a07f661ba0c32ca0bdd2cd21ff8d9ecf`; 7 lines; 3700 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the boost-local bridge directly; keep one direct-official row, two non-official rows, three queue-only rows, six-of-six translation caution, and the high-undercovered-queue-only warning visible.
exp-013	results/dashboard/public-sector-proof-ceilings.tsv	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv	6 public-sector rows with exact-row/public-impact proof ceilings plus one rare-language governance sidecar	Shared control table for Table 1B legend/tooltips and public-sector proof-ceiling badges	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `9b87721562468c54550c209dcf6319a5e0d4d546892bfd6c8009f06cb446f960`; 7 lines; 7877 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared dashboard path directly; keep Amsterdam buyer-side unresolved, Helsinki family-level only, UK regulator rows procurement-thin, ORION as the low-trace floor, and the Danish Datatilsynet row as a governance-only sidecar with translation caution.
exp-014	results/dashboard/provenance-confusion-publication-cells.tsv	results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv	6 shard-007 cells with default-view split left_anchor=2; methods_context=1; main_results=1; limitations_only=2	Shared control table for Table 1F legend/tooltips and provenance-confusion default-view discipline	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `da165a8330f2d12036f233f0b8e1c2b6302bda676af4c97140dc5a0a1f935dc5`; 7 lines; 6120 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared dashboard path directly together with `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013`, keep the FCC lifecycle row as the sole default-visible results cell, and keep Finland/Lithuania hidden from default substantive views until a compliant direct-source or authority upgrade lands.
exp-015	results/dashboard/comparator-role-ladder.tsv	results/boost/limen-boost-026/table6a-publication-cells.tsv	6 comparator rows routed through 5 publication-cell types	Shared control table for Table 6A legend/tooltips and comparator-role-ladder dashboard inset	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `0ba9681a3cf84ffcfe1136947648da0e419e2c2aed312393aed86ad5523cf07f`; 7 lines; 5936 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared comparator role ladder directly with `results/boost/limen-boost-002/comparator-claim-ceiling-matrix.tsv` and `results/boost/limen-boost-050/comparator-shared-promotion-register.tsv`; keep six source rows and five publication-cell types visible together so family count is not flattened into cell count.
exp-016	results/dashboard/comparator-subclass-contrast.tsv	results/boost/limen-boost-002/aiid-oecd-comparator-ceiling-contrast.tsv	3 rows: AIID payload-lag row; OECD discovery-rights row; explicit contrast row	Shared control inset for Table 6A tooltip text and middle-tier comparator subclass contrast	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `5d73ab2cb5edc0761f40359e5795a84e2443962ed042b215806eb764c80e2b56`; 4 lines; 5427 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared AIID/OECD contrast table directly with `results/boost/limen-boost-026/table6a-publication-cells.tsv`; keep both source rows plus the explicit contrast row visible so AIID and OECD are not flattened into one bounded-comparator badge.
exp-017	results/dashboard/security-publication-buckets.tsv	results/security/security-agentic-publication-cell-matrix-v0.1.tsv	12 cells: core_results=3; appendix_supporting=8; gap_only=1; no remaining limitations-only row	Shared control table for Table 6 legend/tooltips and the security publication-bucket dashboard inset	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `6b8125d97ef61a085741e8922988e2a8f3d981ac9e7ee98e6e703c54c6991301`; 13 lines; 7668 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared security publication-cell matrix directly with `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-017`, `results/security/security-agentic-manuscript-bundle-v0.1.tsv`, and `results/boost/limen-boost-004/table6-control-travel-kit.tsv`; keep the `3 / 8 / 1` shape visible, keep both exact AVID joins in appendix/supporting rows, keep the remaining explicit peer-reviewed gap row present, and treat the ToolHive-plus-Playwright-plus-PraisonAI slice as thin trust-boundary coverage rather than balanced breadth.
exp-018	results/dashboard/authoritative-document-depth-facet.tsv	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	10 rows; document_grade=7; follow_through_grade=1; partial_document_grade=1; summary_grade=1	Shared control table for Table 1A legend/tooltips and the authoritative depth dashboard inset	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `73d992fbcd510e44ca5ca7634215de8114c65a412b79431bd1458c071499c521`; 11 lines; 8929 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared Table 1A source directly with `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009`, `results/authoritative-scout/authoritative-evidence-funnel-v0.1.tsv`, `results/boost/limen-boost-039/table1a-control-travel-kit.tsv`, and the package-state panel; keep the seven direct-document rows, the Slovenian follow-through row, the Nate partial-normalization row, and the EEOC summary-only row visibly separate, and do not imply that the 11-row authoritative package-state core and the 10-row Table 1A facet are interchangeable denominators.
exp-019	results/dashboard/attestation-trust-surface-readiness.tsv	results/dashboard-paper/attestation-trust-surface-readiness-v0.1.tsv	4 trust-surface rows: project_shared_local_bundle=1; detached_signature_absent=1; transparency_receipt_absent=1; vc_issuance_absent=1	Shared control table for Table 1G legend/tooltips and the attestation local-bundle-versus-external-witness dashboard inset	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `b3e09ea3ea484fd934dd0501422a355d62ea99cc29c1ada8fd89e7d532db8b71`; 5 lines; 2636 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared dashboard-paper table directly with `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-021`, `results/attestation/attestation-manuscript-bundle-v0.1.tsv`, and `results/attestation/route-c-readiness-audit-v0.1.tsv`; keep the one-present local-bundle row visibly separate from the three absent stronger-trust rows and do not flatten placeholder-capable schema fields into live witness claims.
exp-020	results/dashboard/authoritative-package-state-panel.tsv	results/dashboard-paper/authoritative-package-state-panel-v0.1.tsv	5 rows; shared_core=1; shared_core_subtype_note=2; shared_sidecar=2; explicit_gap=1	Shared control table for authoritative-core versus core-subtype-note versus sidecar versus explicit-gap package-state legend/tooltips	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `f5d3ef34ee7dcbd5e40c9c80cf40ec2ea37d67a6cad85e6bf81334e24fca1677`; 6 lines; 5431 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared dashboard-paper panel directly with results/authoritative-scout/authoritative-observatory-cells-v0.1.tsv, results/authoritative-scout/authoritative-frontier-shared-reuse-matrix-v0.1.tsv, and results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; keep the 11-row core authoritative package visibly separate from the two bounded core subtype notes, the two bounded shared sidecars, and the explicit hidden-human final-authority gap row.
exp-021	results/dashboard/comparator-exact-vs-aggregate-governance.tsv	results/boost/limen-boost-038/comparator-exact-vs-aggregate-router.tsv	5 comparator-governance rows for exact-overlap versus aggregate-collision handling	Shared control inset for Table 6A, AIID/OECD tooltip text, reviewer-response carryover, and aggregate-collision dashboard cautions	materialized_local_shared_copy	Live shared dashboard copy now matches the current source on this host (sha256 `8d90bd7700eb795a660d1be0c81d195b76f4c135bf95a53e22f7f0f959ce1707`; 5 lines; 5456 bytes); semantic use remains bounded by the reviewer-safe instruction and any caption/denominator controls named there.	Use the shared exact-versus-aggregate governance inset directly with `results/boost/limen-boost-026/aggregate-collision-publication-cells.tsv`, `results/boost/limen-boost-026/aggregate-record-linkage-governor.tsv`, and `results/boost/limen-boost-038/comparator-observatory-view-contract.tsv`; keep AIID incident `653` and OECD incident `2024-03-18-0cfc` visible as aggregate sidecars for `LIMEN-000006` plus `LIMEN-000007`, not denominator-bearing second overlaps.
exp-022	results/dashboard/justice-sector-ai-governance-sidecar.tsv	data/cases/justice-sector-ai-governance-seeds.tsv + results/boost/limen-continuous-experiments/justice-sector-ai-dashboard-thesis-routing-contract-v0.1.tsv	2 bounded off-frontier justice-sector AI governance sidecar rows; non-denominator use only	Optional justice-sector governance comparator sidecar for dashboard/thesis/methods reuse	materialized_local_shared_copy	Live shared dashboard copy now matches the current seed-ledger plus routing-contract synthesis on this host (sha256 `684bfbb026be3c04567683ec1172bc5de982c76063bfb0fff7281c18db06aa68`; 3 lines; 2307 bytes); semantic use remains bounded by the row-level forbidden-overread fields and the package-level non-denominator contract.	Use the shared dashboard path directly only for bounded comparator/appendix/thesis reuse; keep non-denominator status, provenance, and forbidden-overread fields visible and do not promote these rows into Figure 2, Figure 5, Table 1B, Table 1E, misconduct tallies, or procedural-contamination counts.
