as_of_utc	lane_id	cluster_id	cluster_status	member_case_count	member_source_count	graph_edge_count_now	graph_state	authority_profile	evidence_tier_profile	publication_confidence_profile	translation_profile	publication_count_policy	reviewer_safe_role_now	paper_use_profile	visualization_band_profile	claim_ceiling_profile	representative_keys	representative_titles	review_notes	next_smallest_publishability_move	evidence_basis_paths
2026-06-07T06:09:00Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	2	1	0	ledger_only_stable_collapse	derivative queue duplicate; same lead copied into verification queue	T1_single_public_source	low	translation_dependent	collapse_to_one_lineage_for_counts_preserve_derivative_provenance	deduplicated_count_control_with_provenance_retention	methods/results duplicate-collapse exemplar	duplicate_collapse_funnel|cluster_graph_sidecar	Use only for lineage-count control and bounded provenance-retention discussion; do not count derivative members as separate atlas events.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-005	Slovenian secretary-replacement lead	Collapse only for counting lineages. The queue row sharpens next steps but does not add independent evidence.	Keep the representative lineage count-safe and preserve derivative provenance members for reproducibility notes.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
2026-06-07T06:09:00Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	2	1	0	ledger_only_stable_collapse	derivative queue duplicate; same lead copied into verification queue	T1_single_public_source	low	translation_dependent	collapse_to_one_lineage_for_counts_preserve_derivative_provenance	deduplicated_count_control_with_provenance_retention	methods/results duplicate-collapse exemplar	duplicate_collapse_funnel|cluster_graph_sidecar	Use only for lineage-count control and bounded provenance-retention discussion; do not count derivative members as separate atlas events.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-006	Estonian exam-failure lead	Collapse only for counting lineages. The queue row is workflow scaffolding, not a new event.	Keep the representative lineage count-safe and preserve derivative provenance members for reproducibility notes.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
2026-06-07T06:09:00Z	limen-boost-023	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	stable_duplicate_cluster	2	4	0	ledger_only_stable_collapse	cross-inventory duplicate: authoritative package now contains the same Delphia settlement matter previously held in shard 009	T3_authoritative_source	high	not_translation_dependent	collapse_to_one_lineage_for_counts_preserve_derivative_provenance	deduplicated_count_control_with_provenance_retention	methods/results duplicate-collapse exemplar	duplicate_collapse_funnel|cluster_graph_sidecar	Use only for lineage-count control and bounded provenance-retention discussion; do not count derivative members as separate atlas events.	data/cases/authoritative-candidates.jsonl:LIMEN-000006 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	SEC / Delphia settled AI-washing matter	Collapse for lineage counts, but preserve both provenance trails. The authoritative row is the shared-project promoted record; the shard-009 row remains useful as the earlier local extraction lineage and should not be counted as a second event.	Keep the representative lineage count-safe and preserve derivative provenance members for reproducibility notes.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
2026-06-07T06:09:00Z	limen-boost-023	CLUSTER-DERIVATIVE-SEC-GP-20260318	stable_duplicate_cluster	2	4	0	ledger_only_stable_collapse	cross-inventory duplicate: authoritative package now contains the same Global Predictions settlement matter previously held in shard 009	T3_authoritative_source	high	not_translation_dependent	collapse_to_one_lineage_for_counts_preserve_derivative_provenance	deduplicated_count_control_with_provenance_retention	methods/results duplicate-collapse exemplar	duplicate_collapse_funnel|cluster_graph_sidecar	Use only for lineage-count control and bounded provenance-retention discussion; do not count derivative members as separate atlas events.	data/cases/authoritative-candidates.jsonl:LIMEN-000007 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	SEC / Global Predictions settled AI-washing matter	Collapse for lineage counts, but preserve both provenance trails. The authoritative row is the shared-project promoted record; the shard-009 row remains useful as the earlier local extraction lineage and should not be counted as a second event.	Keep the representative lineage count-safe and preserve derivative provenance members for reproducibility notes.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	2	2	1	graph_expected_reviewed_nonmerge	unsafe execution of model-supplied Python / code paths	T3_authoritative_source	high	not_translation_dependent	count_as_distinct_repeated_pattern_cases_not_duplicate_merges	repeated_pattern_not_same_event_control	results text on repeated subtype patterns without same-event claims	reviewed_nonmerge_overlay|subtype_adjacency_graph	Use only for bounded repeated-pattern discussion with explicit non-merge language; do not collapse distinct matters into one event.	data/cases/security-agentic-candidates.jsonl:LIMEN-000001 | data/cases/security-agentic-candidates.jsonl:LIMEN-000006	Auto-GPT and LangChain LLMMathChain	Do not merge. Auto-GPT path traversal enabling later host execution and LangChain LLMMathChain prompt injection into Python exec are separate vulnerabilities in different products, but together they strengthen a reviewer-legible subtype around model-supplied code execution surfaces.	Carry non-merge rationale into captions, tables, and graph legends before stronger recurrence prose.	data/cases/security-agentic-candidates.jsonl
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	2	2	1	graph_expected_reviewed_nonmerge	LLM-generated or model-mediated code reaches Python/OS execution surfaces	T3_authoritative_source	high	not_translation_dependent	count_as_distinct_repeated_pattern_cases_not_duplicate_merges	repeated_pattern_not_same_event_control	results text on repeated subtype patterns without same-event claims	reviewed_nonmerge_overlay|subtype_adjacency_graph	Use only for bounded repeated-pattern discussion with explicit non-merge language; do not collapse distinct matters into one event.	data/cases/security-agentic-candidates.jsonl:LIMEN-000006 | data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LangChain LLMMathChain and LlamaIndex safe_eval	Do not merge. LangChain LLMMathChain prompt injection into Python exec and LlamaIndex safe_eval command injection are separate vulnerabilities in different frameworks, but together they strengthen a reviewer-legible execution-surface subtype around LLM-generated code reaching host execution paths.	Carry non-merge rationale into captions, tables, and graph legends before stronger recurrence prose.	data/cases/security-agentic-candidates.jsonl
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	2	2	1	graph_expected_reviewed_nonmerge	agent tool boundary failures	T3_authoritative_source	high	not_translation_dependent	count_as_distinct_repeated_pattern_cases_not_duplicate_merges	repeated_pattern_not_same_event_control	results text on repeated subtype patterns without same-event claims	reviewed_nonmerge_overlay|subtype_adjacency_graph	Use only for bounded repeated-pattern discussion with explicit non-merge language; do not collapse distinct matters into one event.	data/cases/security-agentic-candidates.jsonl:LIMEN-000004 | data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI	Do not merge. These rows support a candidate subtype around agent-tool boundary failures, but they are separate vulnerabilities and should remain distinct cases.	Carry non-merge rationale into captions, tables, and graph legends before stronger recurrence prose.	data/cases/security-agentic-candidates.jsonl
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	2	4	1	graph_expected_reviewed_nonmerge	biometric governance / facial recognition oversight	T3_authoritative_source	high	not_translation_dependent	count_as_distinct_repeated_pattern_cases_not_duplicate_merges	repeated_pattern_not_same_event_control	results text on repeated subtype patterns without same-event claims	reviewed_nonmerge_overlay|subtype_adjacency_graph	Use only for bounded repeated-pattern discussion with explicit non-merge language; do not collapse distinct matters into one event.	data/cases/authoritative-candidates.jsonl:LIMEN-000003 | data/cases/authoritative-candidates.jsonl:LIMEN-000004	Information Commissioner's Office	Do not collapse. Serco worker-attendance enforcement and Chelmer school canteen reprimand are separate events; useful as repeated subtype evidence, not duplicate evidence.	Carry non-merge rationale into captions, tables, and graph legends before stronger recurrence prose.	data/cases/authoritative-candidates.jsonl
2026-06-07T06:09:00Z	limen-boost-023	REVIEW-NOMERGE-SEC-001	reviewed_not_duplicate	2	3	1	graph_expected_reviewed_nonmerge	AI-washing / misleading AI marketing in regulated finance	T3_authoritative_source	high	not_translation_dependent	count_as_distinct_repeated_pattern_cases_not_duplicate_merges	repeated_pattern_not_same_event_control	results text on repeated subtype patterns without same-event claims	reviewed_nonmerge_overlay|subtype_adjacency_graph	Use only for bounded repeated-pattern discussion with explicit non-merge language; do not collapse distinct matters into one event.	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	U.S. Securities and Exchange Commission	Do not collapse. Delphia and Global Predictions were announced together by the SEC, but they remain distinct enforcement matters and should count as repeated subtype evidence, not a single duplicate event.	Carry non-merge rationale into captions, tables, and graph legends before stronger recurrence prose.	results/boost/limen-boost-009/candidate-cases.jsonl
2026-06-07T17:04:32Z	limen-boost-023	REVIEW-NOMERGE-LANGCHAIN-001	reviewed_not_duplicate	2	3	1	graph_expected_reviewed_nonmerge	agent/runtime trust-boundary failures involving model-mediated execution or unsafe serialized state revival	T3_authoritative_source	high	not_translation_dependent	count_as_distinct_repeated_pattern_cases_not_duplicate_merges	repeated_pattern_not_same_event_control	results text on repeated subtype patterns without same-event claims	reviewed_nonmerge_overlay|subtype_adjacency_graph	Use only for bounded repeated-pattern discussion with explicit non-merge language; do not collapse distinct matters into one event.	data/cases/security-agentic-candidates.jsonl:LIMEN-000006 | data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LangChain	Do not merge. The older LangChain row is an execution-surface prompt-injection vulnerability in LLMMathChain, while the newer row is a vendor-advisory-backed unsafe-deserialization and message-history poisoning issue in load()/loads() paths. Together they strengthen a bounded subtype around agent/runtime trust-boundary failures inside the same framework family without creating a same-event duplicate claim.	Carry non-merge rationale into captions, tables, and graph legends before stronger recurrence prose.	data/cases/security-agentic-candidates.jsonl; sources/sources.md
2026-06-07T17:04:32Z	limen-boost-023	REVIEW-NOMERGE-FILEREAD-001	reviewed_not_duplicate	2	2	1	graph_expected_reviewed_nonmerge	agent-enabled unauthorized local file disclosure / boundary bypass	T3_authoritative_source	high	not_translation_dependent	count_as_distinct_repeated_pattern_cases_not_duplicate_merges	repeated_pattern_not_same_event_control	results text on repeated subtype patterns without same-event claims	reviewed_nonmerge_overlay|subtype_adjacency_graph	Use only for bounded repeated-pattern discussion with explicit non-merge language; do not collapse distinct matters into one event.	data/cases/security-agentic-candidates.jsonl:LIMEN-000003 | data/cases/security-agentic-candidates.jsonl:LIMEN-000004	Claude Code and CrewAI	Do not merge. Claude Code's default allowlist enabled unauthorized file read plus exfiltration before a forced update, while the CrewAI JSON loader flaw allowed arbitrary server-side local file read. These are separate vulnerabilities in different products, but together they support a reviewer-legible file-disclosure / boundary-bypass subtype inside the security_risk + agentic_control_failure stack.	Carry non-merge rationale into captions, tables, and graph legends before stronger recurrence prose.	data/cases/security-agentic-candidates.jsonl
2026-06-07T12:21:51Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000008	no_cluster_review_row	1	3	0	singleton_ledger_only	standalone deepfake-election-enforcement lineage; no reviewed same-event duplicate or same-mechanism recurrence package yet	T3_authoritative_source	high	not_translation_dependent	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_state_and_join_safety_control	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC / Lingo Telecom deepfake robocall enforcement matter	Keep as a standalone lineage counted by normalized_record_key. This row materially changes taxonomy counts and still lacks a reviewed same-event duplicate or actor-family recurrence package, but it now also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000008` against the unrelated LangChain state-revival record; singleton handling and join-safety therefore both apply.	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap package exists.	data/cases/authoritative-candidates.jsonl
2026-06-07T12:21:51Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000009	no_cluster_review_row	1	1	0	singleton_ledger_only	identity / authorization-boundary abuse singleton awaiting a second reviewed lineage	T3_authoritative_source	high	not_translation_dependent	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_state_and_join_safety_control	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	PraisonAI Platform ownership-assignment abuse	Keep as a standalone lineage counted by normalized_record_key. The mechanism is reviewer-legible but still singleton-strength locally, so this row should remain a bounded watch state rather than a promoted subtype or duplicate cluster. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009` against the unrelated ORION public-sector row, so singleton handling and join-safety both apply.	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap package exists.	data/cases/security-agentic-candidates.jsonl
2026-06-07T11:09:46Z	limen-boost-023	REVIEW-SINGLETON-LMWCS-20260606-002	no_cluster_review_row	1	1	0	singleton_ledger_only	translation-caution deepfake/intimate-image singleton without reviewed overlap package yet	T1_single_public_source	low	translation_dependent	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_state_and_join_safety_control	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Finnish intimate-image abuse lead	Keep as a standalone lineage counted by normalized_record_key. The row remains useful negative evidence and a residual/deepfake watch item, but direct-source and police corroboration are still incomplete.	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap package exists.	data/cases/multilingual-candidates.jsonl
2026-06-07T15:49:00Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000008	identifier_collision_blocker	2	5	1	graph_expected_identifier_collision	none confirmed	T3_authoritative_source	high	not_translation_dependent	do_not_join_on_bare_case_id_count_only_with_file_qualified_keys	schema_and_join_hazard_control	methods appendix / denominator-safe join control	authority_anchor|join_hazard_overlay	Use for narrow source-supported descriptive claims within stated evidence tier and strict join-safety limits.	data/cases/authoritative-candidates.jsonl:LIMEN-000008 | data/cases/security-agentic-candidates.jsonl:LIMEN-000008	none; shared local identifier only	Do not merge. Bare case_id reuse now points to an FCC deepfake robocall enforcement matter and a separate LangChain state-revival / message-history-poisoning vulnerability; downstream joins must use file-qualified or globally normalized IDs.	Patch downstream tables/figures to use file-qualified keys and never aggregate on bare LIMEN ids.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-07T15:49:00Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000009	identifier_collision_blocker	2	2	1	graph_expected_identifier_collision	none confirmed	T3_authoritative_source	high	translation_dependent	do_not_join_on_bare_case_id_count_only_with_file_qualified_keys	schema_and_join_hazard_control	methods appendix / denominator-safe join control	authority_anchor|join_hazard_overlay	Use for narrow source-supported descriptive claims within stated evidence tier and strict join-safety limits.	data/cases/authoritative-candidates.jsonl:LIMEN-000009 | data/cases/security-agentic-candidates.jsonl:LIMEN-000009	none; shared local identifier only	Do not merge. Bare case_id reuse now points to the Slovenian police ORION public-sector pilot row and a separate PraisonAI ownership-assignment vulnerability; downstream joins must use file-qualified or globally normalized IDs.	Patch downstream tables/figures to use file-qualified keys and never aggregate on bare LIMEN ids.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
2026-06-07T13:32:47Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000010	no_cluster_review_row	1	2	0	singleton_ledger_only	singleton official non-finance AI-capability-misstatement lineage awaiting reviewed overlap or recurrence package	T3_authoritative_source	high	not_translation_dependent	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_state_and_join_safety_control	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC / DoNotPay AI-lawyer claims package	Keep as a standalone lineage counted by normalized_record_key. The row materially widens non-finance authoritative AI-claim coverage, but there is still no reviewed same-event duplicate or event-merge candidate; preserve FTC complaint/final-order posture and do not infer unauthorized-practice adjudication.	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap package exists.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
2026-06-07T13:32:47Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000011	no_cluster_review_row	1	2	0	singleton_ledger_only	singleton official detector-governance / false-capability lineage awaiting reviewed overlap or recurrence package	T3_authoritative_source	high	not_translation_dependent	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_state_and_join_safety_control	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC / Workado AI-detector accuracy claims package	Keep as a standalone lineage counted by normalized_record_key. The row strengthens non-finance AI-claim and detector-governance coverage, but there is still no same-event duplicate or reviewer-safe recurrence package; preserve FTC complaint/final-order posture and do not overread the order as a general scientific verdict on detectors.	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap package exists.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
