as_of_utc	lane_id	cluster_id	cluster_status	member_case_count	canonical_case_id	evidence_tier_ceiling	authority_class_mix	authority_detail_mix	evidence_tier_mix	source_family_mix	translation_caution_member_count	language_scope	jurisdiction_scope	fragility_level	fragility_reasons	paper_safe_role_now	forbidden_overread	next_smallest_publishability_move	member_refs	member_titles
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English; en	Global; United States	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000005 | data/cases/security-agentic-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing | CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English; en	Global; United States	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000006 | data/cases/security-agentic-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use | LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English; en	Global; United States	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000007 | data/cases/security-agentic-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims | LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000008	identifier_collision_blocker	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English; en	Global; United States	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000008 | data/cases/security-agentic-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing | LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000009	identifier_collision_blocker	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	1	English; sl	Global; Slovenia	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000009 | data/cases/security-agentic-candidates.jsonl:LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language | PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-IDCOLLISION-LIMEN-000012	identifier_collision_blocker	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	1	English; da	Denmark; Global	low	schema_join_hazard_not_source_depth_problem	join-safety QA panel and duplicate-control legend	Do not treat bare local IDs as atlas-global identifiers or as evidence of same-event duplication.	Keep file-qualified IDs in dashboard/manuscript exports; only revisit if a project-wide normalized ID namespace is adopted.	data/cases/authoritative-candidates.jsonl:LIMEN-000012 | data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration | Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-SINGLETON-AUTH-LIMEN-000012	no_cluster_review_row	1	data/cases/authoritative-candidates.jsonl:LIMEN-000012	T3_authoritative_source	authoritative_anchor:1	official_or_regulator_or_cve_anchor:1	T3_authoritative_source:1	unspecified:1	1	da	Denmark	low	authoritative_singleton_but_no_reviewed_overlap_yet	singleton watch-state and denominator governance	Do not promote singleton rows into seeded subtype prevalence or imply corroboration that is not present in the current package.	Keep as a bounded singleton until a second reviewed overlap, recurrence package, or authority upgrade arrives.	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000008	no_cluster_review_row	1	data/cases/authoritative-candidates.jsonl:LIMEN-000008	T3_authoritative_source	authoritative_anchor:1	official_or_regulator_or_cve_anchor:1	T3_authoritative_source:1	unspecified:1	0	en	United States	low	authoritative_singleton_but_no_reviewed_overlap_yet	singleton watch-state and denominator governance	Do not promote singleton rows into seeded subtype prevalence or imply corroboration that is not present in the current package.	Keep as a bounded singleton until a second reviewed overlap, recurrence package, or authority upgrade arrives.	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000009	no_cluster_review_row	1	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	T3_authoritative_source	authoritative_anchor:1	official_or_regulator_or_cve_anchor:1	T3_authoritative_source:1	unspecified:1	0	English	Global	low	authoritative_singleton_but_no_reviewed_overlap_yet	singleton watch-state and denominator governance	Do not promote singleton rows into seeded subtype prevalence or imply corroboration that is not present in the current package.	Keep as a bounded singleton until a second reviewed overlap, recurrence package, or authority upgrade arrives.	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000010	no_cluster_review_row	1	data/cases/authoritative-candidates.jsonl:LIMEN-000010	T3_authoritative_source	authoritative_anchor:1	official_or_regulator_or_cve_anchor:1	T3_authoritative_source:1	unspecified:1	0	en	United States	low	authoritative_singleton_but_no_reviewed_overlap_yet	singleton watch-state and denominator governance	Do not promote singleton rows into seeded subtype prevalence or imply corroboration that is not present in the current package.	Keep as a bounded singleton until a second reviewed overlap, recurrence package, or authority upgrade arrives.	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000011	no_cluster_review_row	1	data/cases/authoritative-candidates.jsonl:LIMEN-000011	T3_authoritative_source	authoritative_anchor:1	official_or_regulator_or_cve_anchor:1	T3_authoritative_source:1	unspecified:1	0	en	United States	low	authoritative_singleton_but_no_reviewed_overlap_yet	singleton watch-state and denominator governance	Do not promote singleton rows into seeded subtype prevalence or imply corroboration that is not present in the current package.	Keep as a bounded singleton until a second reviewed overlap, recurrence package, or authority upgrade arrives.	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000012	no_cluster_review_row	1	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	T3_authoritative_source	authoritative_anchor:1	official_or_regulator_or_cve_anchor:1	T3_authoritative_source:1	unspecified:1	0	English	Global	low	authoritative_singleton_but_no_reviewed_overlap_yet	singleton watch-state and denominator governance	Do not promote singleton rows into seeded subtype prevalence or imply corroboration that is not present in the current package.	Keep as a bounded singleton until a second reviewed overlap, recurrence package, or authority upgrade arrives.	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English	Global	low	all_members_authoritative_enough_for_bounded_recurrence_overlay	bounded repeated-pattern overlay without same-event merge	Do not translate subtype similarity into prevalence, product-family failure rates, or same-event recurrence claims.	Safe for a reviewer-bounded recurrence overlay; keep event-level distinctness explicit in captions and tables.	data/cases/security-agentic-candidates.jsonl:LIMEN-000001 | data/cases/security-agentic-candidates.jsonl:LIMEN-000006	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English	Global	low	all_members_authoritative_enough_for_bounded_recurrence_overlay	bounded repeated-pattern overlay without same-event merge	Do not translate subtype similarity into prevalence, product-family failure rates, or same-event recurrence claims.	Safe for a reviewer-bounded recurrence overlay; keep event-level distinctness explicit in captions and tables.	data/cases/security-agentic-candidates.jsonl:LIMEN-000006 | data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk | LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English	Global	low	all_members_authoritative_enough_for_bounded_recurrence_overlay	bounded repeated-pattern overlay without same-event merge	Do not translate subtype similarity into prevalence, product-family failure rates, or same-event recurrence claims.	Safe for a reviewer-bounded recurrence overlay; keep event-level distinctness explicit in captions and tables.	data/cases/security-agentic-candidates.jsonl:LIMEN-000004 | data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI JSON loader allowed arbitrary local file read on the server | CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-NOMERGE-FILEREAD-001	reviewed_not_duplicate	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English	Global	low	all_members_authoritative_enough_for_bounded_recurrence_overlay	bounded repeated-pattern overlay without same-event merge	Do not translate subtype similarity into prevalence, product-family failure rates, or same-event recurrence claims.	Safe for a reviewer-bounded recurrence overlay; keep event-level distinctness explicit in captions and tables.	data/cases/security-agentic-candidates.jsonl:LIMEN-000003 | data/cases/security-agentic-candidates.jsonl:LIMEN-000004	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update | CrewAI JSON loader allowed arbitrary local file read on the server
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-NOMERGE-FTC-001	reviewed_not_duplicate	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	en	United States	low	all_members_authoritative_enough_for_bounded_recurrence_overlay	bounded repeated-pattern overlay without same-event merge	Do not translate subtype similarity into prevalence, product-family failure rates, or same-event recurrence claims.	Safe for a reviewer-bounded recurrence overlay; keep event-level distinctness explicit in captions and tables.	data/cases/authoritative-candidates.jsonl:LIMEN-000010 | data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims | FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	en	United Kingdom	low	all_members_authoritative_enough_for_bounded_recurrence_overlay	bounded repeated-pattern overlay without same-event merge	Do not translate subtype similarity into prevalence, product-family failure rates, or same-event recurrence claims.	Safe for a reviewer-bounded recurrence overlay; keep event-level distinctness explicit in captions and tables.	data/cases/authoritative-candidates.jsonl:LIMEN-000003 | data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | UK ICO reprimands Essex school over facial-recognition canteen payments
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-NOMERGE-LANGCHAIN-001	reviewed_not_duplicate	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	English	Global	low	all_members_authoritative_enough_for_bounded_recurrence_overlay	bounded repeated-pattern overlay without same-event merge	Do not translate subtype similarity into prevalence, product-family failure rates, or same-event recurrence claims.	Safe for a reviewer-bounded recurrence overlay; keep event-level distinctness explicit in captions and tables.	data/cases/security-agentic-candidates.jsonl:LIMEN-000006 | data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk | LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects
2026-06-07T18:56:47Z	limen-boost-023	REVIEW-NOMERGE-SEC-001	reviewed_not_duplicate	2	none	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	en	CA; US	low	all_members_authoritative_enough_for_bounded_recurrence_overlay	bounded repeated-pattern overlay without same-event merge	Do not translate subtype similarity into prevalence, product-family failure rates, or same-event recurrence claims.	Safe for a reviewer-bounded recurrence overlay; keep event-level distinctness explicit in captions and tables.	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	SEC settlement with Delphia over false and misleading statements about AI and machine learning use | SEC settlement with Global Predictions over false and misleading AI financial-adviser claims
2026-06-07T18:56:47Z	limen-boost-023	CLUSTER-DERIVATIVE-LIMEN-007-CAND-003	stable_duplicate_cluster	2	data/cases/authoritative-candidates.jsonl:LIMEN-000008	T3_authoritative_source	authoritative_anchor:2	Federal Communications Commission:1; official_or_regulator_or_cve_anchor:1	T3_authoritative_source:1; unspecified_local_copy:1	unspecified:2	0	en	United States	low	ledger_only_collapse_with_authoritative_or_resolved_canonical_anchor	canonical-lineage collapse note for counts and provenance-preserving dashboard filters	Do not count derivative queue/restatement rows as separate incidents or treat repeated local packaging as stronger evidence.	Keep the collapse ledger-side and reuse only the canonical representative in tables, counts, and reviewer-facing examples.	data/cases/authoritative-candidates.jsonl:LIMEN-000008 | results/boost/limen-boost-007/candidate-cases.jsonl:LIMEN-007-CAND-003	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing | FCC settles spoofed AI-generated robocalls case against Lingo Telecom
2026-06-07T18:56:47Z	limen-boost-023	CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	3	data/cases/authoritative-candidates.jsonl:LIMEN-000009	T3_authoritative_source_direct_url_resolved	authoritative_anchor:2; authoritative_direct_non_english:1	direct_official_or_regulator_source:1; national_police:1; official_or_regulator_or_cve_anchor:1	T3_authoritative_source:1; T3_authoritative_source_direct_url_resolved:1; unspecified_local_copy:1	official_police_source:2; unspecified:1	3	sl	Slovenia	low	ledger_only_collapse_with_authoritative_or_resolved_canonical_anchor	canonical-lineage collapse note for counts and provenance-preserving dashboard filters	Do not count derivative queue/restatement rows as separate incidents or treat repeated local packaging as stronger evidence.	Keep the collapse ledger-side and reuse only the canonical representative in tables, counts, and reviewer-facing examples.	data/cases/authoritative-candidates.jsonl:LIMEN-000009 | data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004 | results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language | Project ORION: Artificial intelligence for safe border control | Project ORION: Artificial intelligence for safe border control
2026-06-07T18:56:47Z	limen-boost-023	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	stable_duplicate_cluster	2	data/cases/authoritative-candidates.jsonl:LIMEN-000006	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	en	CA; US; United States	low	ledger_only_collapse_with_authoritative_or_resolved_canonical_anchor	canonical-lineage collapse note for counts and provenance-preserving dashboard filters	Do not count derivative queue/restatement rows as separate incidents or treat repeated local packaging as stronger evidence.	Keep the collapse ledger-side and reuse only the canonical representative in tables, counts, and reviewer-facing examples.	data/cases/authoritative-candidates.jsonl:LIMEN-000006 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	SEC settlement with Delphia over false and misleading statements about AI and machine learning use | SEC settlement with Delphia over false and misleading statements about AI and machine learning use
2026-06-07T18:56:47Z	limen-boost-023	CLUSTER-DERIVATIVE-SEC-GP-20260318	stable_duplicate_cluster	2	data/cases/authoritative-candidates.jsonl:LIMEN-000007	T3_authoritative_source	authoritative_anchor:2	official_or_regulator_or_cve_anchor:2	T3_authoritative_source:2	unspecified:2	0	en	US; United States	low	ledger_only_collapse_with_authoritative_or_resolved_canonical_anchor	canonical-lineage collapse note for counts and provenance-preserving dashboard filters	Do not count derivative queue/restatement rows as separate incidents or treat repeated local packaging as stronger evidence.	Keep the collapse ledger-side and reuse only the canonical representative in tables, counts, and reviewer-facing examples.	data/cases/authoritative-candidates.jsonl:LIMEN-000007 | results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims | SEC settlement with Global Predictions over false and misleading AI financial-adviser claims
