cluster_id	cluster_status	mapped_representative_key	representative_title_or_scope	family_scope	member_row_count	jurisdiction_scope	language_scope	evidence_tier_ceiling_now	publication_confidence_cap_now	paper_safe_count_action	preferred_publication_route	remaining_publication_blocker	reviewer_safe_use_now	dashboard_hook	next_smallest_publishability_move	cross_source_overlap	review_notes	provenance_inputs
CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	Slovenian secretary-replacement lead	institutional absurdity / AI-washing possibility	2	Slovenia	sl	T1_single_public_source	low	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	representative_sync_and_provenance_preservation	representative drift or stale derivative copy	methods/results text on duplicate collapse without losing provenance trails	duplicate-collapse lineage funnel or cluster graph	Keep one representative row count-safe, but preserve derivative provenance paths and review-note asymmetries.	derivative queue duplicate; same lead copied into verification queue	Collapse only for counting lineages. The queue row sharpens next steps but does not add independent evidence.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	Estonian exam-failure lead	education-governance anomaly	2	Estonia	et	T1_single_public_source	low	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	representative_sync_and_provenance_preservation	representative drift or stale derivative copy	methods/results text on duplicate collapse without losing provenance trails	duplicate-collapse lineage funnel or cluster graph	Keep one representative row count-safe, but preserve derivative provenance paths and review-note asymmetries.	derivative queue duplicate; same lead copied into verification queue	Collapse only for counting lineages. The queue row is workflow scaffolding, not a new event.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	stable_duplicate_cluster	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC / Delphia settled AI-washing matter	derivative local promotion of the same SEC settlement order and announcement	2	United States;US;CA	en	T3_authoritative_source	high	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	representative_sync_and_provenance_preservation	representative drift or stale derivative copy	methods/results text on duplicate collapse without losing provenance trails	duplicate-collapse lineage funnel or cluster graph	Keep one representative row count-safe, but preserve derivative provenance paths and review-note asymmetries.	cross-inventory duplicate: authoritative package now contains the same Delphia settlement matter previously held in shard 009	Collapse for lineage counts, but preserve both provenance trails. The authoritative row is the shared-project promoted record; the shard-009 row remains useful as the earlier local extraction lineage and should not be counted as a second event.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
CLUSTER-DERIVATIVE-SEC-GP-20260318	stable_duplicate_cluster	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC / Global Predictions settled AI-washing matter	derivative local promotion of the same SEC settlement order and announcement	2	United States;US	en	T3_authoritative_source	high	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	representative_sync_and_provenance_preservation	representative drift or stale derivative copy	methods/results text on duplicate collapse without losing provenance trails	duplicate-collapse lineage funnel or cluster graph	Keep one representative row count-safe, but preserve derivative provenance paths and review-note asymmetries.	cross-inventory duplicate: authoritative package now contains the same Global Predictions settlement matter previously held in shard 009	Collapse for lineage counts, but preserve both provenance trails. The authoritative row is the shared-project promoted record; the shard-009 row remains useful as the earlier local extraction lineage and should not be counted as a second event.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT and LangChain LLMMathChain	unsafe execution of model-supplied Python / code paths	2	Global	English	T3_authoritative_source	high	keep_distinct_lineages_do_not_event_merge	subtype_caption_control	same-family over-collapse risk	results text on repeated subtype patterns without same-event claims	subtype adjacency graph with explicit non-merge labels	Carry non-merge rationale into captions and heatmaps so repeated failure modes are visible without event conflation.	repeated code-execution failure mode across distinct agent/framework products; no shared event, actor, or advisory lineage	Do not merge. Auto-GPT path traversal enabling later host execution and LangChain LLMMathChain prompt injection into Python exec are separate vulnerabilities in different products, but together they strengthen a reviewer-legible subtype around model-supplied code execution surfaces.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LangChain LLMMathChain and LlamaIndex safe_eval	LLM-generated or model-mediated code reaches Python/OS execution surfaces	2	Global	English	T3_authoritative_source	high	keep_distinct_lineages_do_not_event_merge	subtype_caption_control	same-family over-collapse risk	results text on repeated subtype patterns without same-event claims	subtype adjacency graph with explicit non-merge labels	Carry non-merge rationale into captions and heatmaps so repeated failure modes are visible without event conflation.	repeated execution-surface pattern across distinct frameworks; no shared event, actor, or advisory lineage	Do not merge. LangChain LLMMathChain prompt injection into Python exec and LlamaIndex safe_eval command injection are separate vulnerabilities in different frameworks, but together they strengthen a reviewer-legible execution-surface subtype around LLM-generated code reaching host execution paths.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	CrewAI	agent tool boundary failures	2	Global	English	T3_authoritative_source	high	keep_distinct_lineages_do_not_event_merge	subtype_caption_control	same-family over-collapse risk	results text on repeated subtype patterns without same-event claims	subtype adjacency graph with explicit non-merge labels	Carry non-merge rationale into captions and heatmaps so repeated failure modes are visible without event conflation.	same product family but distinct CVEs and attack surfaces (local file read vs SSRF/internal retrieval)	Do not merge. These rows support a candidate subtype around agent-tool boundary failures, but they are separate vulnerabilities and should remain distinct cases.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	data/cases/authoritative-candidates.jsonl:LIMEN-000003	Information Commissioner's Office	biometric governance / facial recognition oversight	2	United Kingdom	en	T3_authoritative_source	high	keep_distinct_lineages_do_not_event_merge	subtype_caption_control	same-family over-collapse risk	results text on repeated subtype patterns without same-event claims	subtype adjacency graph with explicit non-merge labels	Carry non-merge rationale into captions and heatmaps so repeated failure modes are visible without event conflation.	same regulator family but different regulated entities, dates, intervention types, and affected contexts	Do not collapse. Serco worker-attendance enforcement and Chelmer school canteen reprimand are separate events; useful as repeated subtype evidence, not duplicate evidence.	data/cases/authoritative-candidates.jsonl
REVIEW-NOMERGE-SEC-001	reviewed_not_duplicate	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	U.S. Securities and Exchange Commission	AI-washing / misleading AI marketing in regulated finance	2	US;CA	en	T3_authoritative_source	high	keep_distinct_lineages_do_not_event_merge	subtype_caption_control	same-family over-collapse risk	results text on repeated subtype patterns without same-event claims	subtype adjacency graph with explicit non-merge labels	Carry non-merge rationale into captions and heatmaps so repeated failure modes are visible without event conflation.	same SEC announcement batch and reporting date, but different firms, order identifiers, and claim particulars	Do not collapse. Delphia and Global Predictions were announced together by the SEC, but they remain distinct enforcement matters and should count as repeated subtype evidence, not a single duplicate event.	results/boost/limen-boost-009/candidate-cases.jsonl
REVIEW-NOMERGE-LANGCHAIN-001	reviewed_not_duplicate	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LangChain	agent/runtime trust-boundary failures involving model-mediated execution or unsafe serialized state revival	2	Global	English	T3_authoritative_source	high	keep_distinct_lineages_do_not_event_merge	subtype_caption_control	same-family over-collapse risk	results text on repeated subtype patterns without same-event claims	subtype adjacency graph with explicit non-merge labels	Carry non-merge rationale into captions and heatmaps so repeated failure modes are visible without event conflation.	same framework family but distinct vulnerable components and exploit surfaces (LLMMathChain Python exec vs load()/loads() object revival and chat-history poisoning)	Do not merge. The older LangChain row is an execution-surface prompt-injection vulnerability in LLMMathChain, while the newer row is a vendor-advisory-backed unsafe-deserialization and message-history poisoning issue in load()/loads() paths. Together they strengthen a bounded subtype around agent/runtime trust-boundary failures inside the same framework family without creating a same-event duplicate claim.	data/cases/security-agentic-candidates.jsonl; sources/sources.md
REVIEW-NOMERGE-FILEREAD-001	reviewed_not_duplicate	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code and CrewAI	agent-enabled unauthorized local file disclosure / boundary bypass	2	Global	English	T3_authoritative_source	high	keep_distinct_lineages_do_not_event_merge	subtype_caption_control	same-family over-collapse risk	results text on repeated subtype patterns without same-event claims	subtype adjacency graph with explicit non-merge labels	Carry non-merge rationale into captions and heatmaps so repeated failure modes are visible without event conflation.	repeated file-disclosure pattern across distinct agent frameworks; no shared event, actor, or advisory lineage	Do not merge. Claude Code's default allowlist enabled unauthorized file read plus exfiltration before a forced update, while the CrewAI JSON loader flaw allowed arbitrary server-side local file read. These are separate vulnerabilities in different products, but together they support a reviewer-legible file-disclosure / boundary-bypass subtype inside the security_risk + agentic_control_failure stack.	data/cases/security-agentic-candidates.jsonl
REVIEW-SINGLETON-LIMEN-000008	no_cluster_review_row	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC / Lingo Telecom deepfake robocall enforcement matter	standalone deepfake-election-enforcement lineage; no reviewed same-event duplicate or same-mechanism recurrence package yet	1	United States	en	T3_authoritative_source	high	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_and_join_safety	no reviewed overlap package yet	methods/limitations or bounded frontier text for one-lineage watch states	singleton watchlist tile or future overlap queue panel	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap, duplicate, or recurrence package exists.	authoritative singleton with simultaneous bare-ID collision exposure against an unrelated security lineage	Keep as a standalone lineage counted by normalized_record_key. This row materially changes taxonomy counts and still lacks a reviewed same-event duplicate or actor-family recurrence package, but it now also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000008` against the unrelated LangChain state-revival record; singleton handling and join-safety therefore both apply.	data/cases/authoritative-candidates.jsonl
REVIEW-SINGLETON-LIMEN-000009	no_cluster_review_row	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	PraisonAI Platform ownership-assignment abuse	identity / authorization-boundary abuse singleton awaiting a second reviewed lineage	1	Global	English	T3_authoritative_source	high	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_and_join_safety	no reviewed overlap package yet	methods/limitations or bounded frontier text for one-lineage watch states	singleton watchlist tile or future overlap queue panel	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap, duplicate, or recurrence package exists.	standalone security singleton with simultaneous bare-ID collision exposure against an unrelated public-sector lineage	Keep as a standalone lineage counted by normalized_record_key. The mechanism is reviewer-legible but still singleton-strength locally, so this row should remain a bounded watch state rather than a promoted subtype or duplicate cluster. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009` against the unrelated ORION public-sector row, so singleton handling and join-safety both apply.	data/cases/security-agentic-candidates.jsonl
REVIEW-SINGLETON-LMWCS-20260606-002	no_cluster_review_row	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Finnish intimate-image abuse lead	translation-caution deepfake/intimate-image singleton without reviewed overlap package yet	1	Finland	fi	T1_single_public_source	low	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_and_join_safety	no reviewed overlap package yet	methods/limitations or bounded frontier text for one-lineage watch states	singleton watchlist tile or future overlap queue panel	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap, duplicate, or recurrence package exists.	standalone multilingual singleton; no reviewed same-event duplicate or authoritative corroboration package yet	Keep as a standalone lineage counted by normalized_record_key. The row remains useful negative evidence and a residual/deepfake watch item, but direct-source and police corroboration are still incomplete.	data/cases/multilingual-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000008	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000008	none; shared local identifier only	none confirmed	2	United States;Global	en;English	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across distinct deepfake-governance and agent-memory security lineages	Do not merge. Bare case_id reuse now points to an FCC deepfake robocall enforcement matter and a separate LangChain state-revival / message-history-poisoning vulnerability; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000009	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000009	none; shared local identifier only	none confirmed	2	Slovenia;Global	sl;English	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across distinct public-sector border-management and agent-workspace authorization lineages	Do not merge. Bare case_id reuse now points to the Slovenian police ORION public-sector pilot row and a separate PraisonAI ownership-assignment vulnerability; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-SINGLETON-LIMEN-000010	no_cluster_review_row	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC / DoNotPay AI-lawyer claims package	singleton official non-finance AI-capability-misstatement lineage awaiting reviewed overlap or recurrence package	1	United States	en	T3_authoritative_source	high	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_and_join_safety	no reviewed overlap package yet	methods/limitations or bounded frontier text for one-lineage watch states	singleton watchlist tile or future overlap queue panel	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap, duplicate, or recurrence package exists.	standalone authoritative singleton; no reviewed same-event duplicate, derivative queue copy, or bounded recurrence package yet	Keep as a standalone lineage counted by normalized_record_key. The row materially widens non-finance authoritative AI-claim coverage, but there is still no reviewed same-event duplicate or event-merge candidate; preserve FTC complaint/final-order posture and do not infer unauthorized-practice adjudication.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
REVIEW-SINGLETON-LIMEN-000011	no_cluster_review_row	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC / Workado AI-detector accuracy claims package	singleton official detector-governance / false-capability lineage awaiting reviewed overlap or recurrence package	1	United States	en	T3_authoritative_source	high	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_and_join_safety	no reviewed overlap package yet	methods/limitations or bounded frontier text for one-lineage watch states	singleton watchlist tile or future overlap queue panel	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap, duplicate, or recurrence package exists.	standalone authoritative singleton; no reviewed same-event duplicate, derivative queue copy, or bounded recurrence package yet	Keep as a standalone lineage counted by normalized_record_key. The row strengthens non-finance AI-claim and detector-governance coverage, but there is still no same-event duplicate or reviewer-safe recurrence package; preserve FTC complaint/final-order posture and do not overread the order as a general scientific verdict on detectors.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
REVIEW-SINGLETON-LIMEN-000012	no_cluster_review_row	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP Server	MCP/browser-control local trust-boundary failure awaiting a second reviewed lineage	1	Global	English	T3_authoritative_source	high	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_and_join_safety	no reviewed overlap package yet	methods/limitations or bounded frontier text for one-lineage watch states	singleton watchlist tile or future overlap queue panel	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap, duplicate, or recurrence package exists.	standalone MCP/plugin-style trust-boundary lineage; no reviewed same-event duplicate or bounded recurrence package yet	Keep as a standalone lineage counted by normalized_record_key. The row usefully seeds MCP/plugin-style trust-boundary coverage, but there is still no reviewed same-event duplicate, derivative queue copy, or bounded recurrence package; do not upgrade singleton-strength evidence into a broader prevalence claim.	data/cases/security-agentic-candidates.jsonl; results/boost/limen-continuous-experiments/playwright-mcp-promotion-sync-report-v0.1.md
REVIEW-SINGLETON-AUTH-LIMEN-000012	no_cluster_review_row	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet / AI-supported disability-allowance screening opinion	standalone public-sector AI governance / legal-basis opinion lineage awaiting reviewed overlap or recurrence package	1	Denmark	da	T3_authoritative_source	high	count_as_singleton_lineage_pending_future_overlap_review	singleton_watch_and_join_safety	no reviewed overlap package yet	methods/limitations or bounded frontier text for one-lineage watch states	singleton watchlist tile or future overlap queue panel	Keep as a singleton lineage counted by normalized_record_key until a reviewed overlap, duplicate, or recurrence package exists.	standalone authoritative singleton; no reviewed same-event duplicate, derivative queue copy, or bounded recurrence package yet	Keep as a standalone lineage counted by normalized_record_key. The row widens rare-language public-sector governance coverage and adds a second education/public-sector pairing, but it is still a bounded legal-basis opinion package rather than a harm finding or duplicate event. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000012` against the unrelated Playwright MCP security row, so singleton handling and join-safety both apply.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/danish-public-sector-governance-anchor-v0.1.tsv
REVIEW-IDCOLLISION-LIMEN-000012	identifier_collision_blocker	data/cases/authoritative-candidates.jsonl:LIMEN-000012	none; shared local identifier only	none confirmed	2	Denmark;Global	da;English	T3_authoritative_source	high	block_bare_id_joins_use_file_qualified_or_global_id	normalized_key_propagation	schema_namespace_collision	methods appendix on denominator-safe joins for strong rows that share local ids	identifier-collision overlay for authority/security/public-sector/ai-washing counts	Patch downstream tables and captions to use file-qualified or synthetic normalized keys only.	not a duplicate cluster; namespace collision across distinct Danish public-sector governance and MCP security lineages	Do not merge. Bare case_id reuse now points to a Datatilsynet legal-basis opinion on AI-supported disability-allowance screening and a separate Playwright MCP DNS-rebinding / origin-validation vulnerability; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-FTC-001	reviewed_not_duplicate	data/cases/authoritative-candidates.jsonl:LIMEN-000010	Federal Trade Commission	official non-finance false AI capability / performance claim enforcement	2	United States	en	T3_authoritative_source	high	keep_distinct_lineages_do_not_event_merge	subtype_caption_control	same-family over-collapse risk	results text on repeated subtype patterns without same-event claims	subtype adjacency graph with explicit non-merge labels	Carry non-merge rationale into captions and heatmaps so repeated failure modes are visible without event conflation.	same regulator family and complaint-plus-final-order posture, but different products, dates, claimed capabilities, and affected-use contexts	Do not collapse. The DoNotPay AI-lawyer matter and the Workado AI-detector accuracy matter are separate FTC complaint-plus-final-order packages with different products, dates, and claim particulars, but together they establish a bounded non-finance authoritative false-capability recurrence package outside the SEC finance subset.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
