sidecar_id	generated_at_utc	dashboard_export	source_row_number	row_key	dashboard_surface	manuscript_surface	source_pointer_status	source_id_or_pointer	source_url_or_path	accessed_at_status	rights_terms_status	language	jurisdiction	translation_status	denominator_scope	claim_ceiling	uncertainty_flag	reviewer_safe_reading	provenance_note	observatory_hook	action_needed_before_public_dashboard
DRPS-011	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	12	sf11	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/security/security-issuer-notice-subledger-v0.1.tsv; results/security/security-issuer-notice-status-v0.1.md; results/security/security... [truncated]	results/security/security-issuer-notice-subledger-v0.1.tsv; results/security/security-issuer-notice-status-v0.1.md; results/security/security... [truncated]	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Mostly English with some multilingual advisories	Global	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	May support bounded shared empirical claims when exact cited source limits remain attached.	yes	source-family saturation and uncertainty; not completeness	not_row_level_in_export	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay	join_access_date_and_rights_terms_from_source_ledger
DRPS-012	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	13	sf12	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	sources/multilingual-outlet-authority-matrix.tsv; results/multilingual/multilingual-weird-case-queue.tsv; results/boost/limen-boost-005/source-resolution-log.tsv; data/cases/multilingual-candidates.jsonl	sources/multilingual-outlet-authority-matrix.tsv; results/multilingual/multilingual-weird-case-queue.tsv; results/boost/limen-boost-005/source-resolution-log.tsv; data/cases/multilingual-candidates.jsonl	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Multilingual, including underrepresented and local-language reporting	Global	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	May support bounded shared empirical claims when exact cited source limits remain attached.	no	source-family saturation and uncertainty; not completeness	Grounded in local rare-language queue plus the outlet-authority matrix and source-resolution log; translation alone is insufficient for final legal/policy claims	Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note	join_access_date_and_rights_terms_from_source_ledger
DRPS-013	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	14	sf13	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/source-map/research-integrity-family-inventory-v0.1.tsv; results/boost/limen-boost-008/document-depth-matrix.tsv; results/boost/limen-boost-008/notice-text-evidence.tsv; results/boost/limen-boost-008/source-delta.tsv; results/boost/limen-boost-008/status.md	results/source-map/research-integrity-family-inventory-v0.1.tsv; results/boost/limen-boost-008/document-depth-matrix.tsv; results/boost/limen-boost-008/notice-text-evidence.tsv; results/boost/limen-boost-008/source-delta.tsv; results/boost/limen-boost-008/status.md	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Mostly English with some multilingual notices	Global scholarly ecosystem	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	May support bounded shared empirical claims when exact cited source limits remain attached.	yes	source-family saturation and uncertainty; not completeness	Grounded in 2026-06-07 shard-008 DOI/publisher verification rows plus the sf13 direct-notice diversity router; two dire... [truncated]	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline	join_access_date_and_rights_terms_from_source_ledger
DRPS-014	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	15	sf14	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/boost/limen-boost-001/lead-queue-populated-rows.tsv; results/boost/limen-boost-008/fake-article-network-platform-action-depth-audit.tsv; sources/sources.md	results/boost/limen-boost-001/lead-queue-populated-rows.tsv; results/boost/limen-boost-008/fake-article-network-platform-action-depth-audit.tsv; sources/sources.md	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Highly multilingual	Global	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	Planned frontier only; still not safe for shared claims, but one governed lead-queue row now exists and remains below seeded use.	no	source-family saturation and uncertainty; not completeness	Grounded in the local planned-frontier contract plus one governed lead row verified on 2026-06-08; still below seeded evidence use while the social/web anchor remains discovery-only.	Lead queue; corroboration backlog; source-upgrade funnel	join_access_date_and_rights_terms_from_source_ledger
DRPS-015	2026-06-18T06:04:55Z	results/dashboard/source-family-coverage.tsv	16	sf15	Source-family saturation map	Figure 1 / Figure 4	direct_row_pointer	results/boost/limen-boost-001/frontier-queue-populated-rows.tsv; results/boost/limen-boost-001/frontier-queue-implementation.tsv; results/boost/limen-boost-013/frontier-intake-schema-board.tsv; results/boost/limen-boost-037/frontier-family-intake-contract.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv; results/source-map/source-family-visual-provenance-currentness-audit-v0.1.tsv	results/boost/limen-boost-001/frontier-queue-populated-rows.tsv; results/boost/limen-boost-001/frontier-queue-implementation.tsv; results/boost/limen-boost-013/frontier-intake-schema-board.tsv; results/boost/limen-boost-037/frontier-family-intake-contract.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv; results/source-map/source-family-visual-provenance-currentness-audit-v0.1.tsv	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Multilingual	Global	not_row_level_in_export__language_scope_only	source family row; 15-family dashboard surface	Planned frontier only; still not safe for shared claims, but one governed residual queue row now exists and remains below seeded use.	no	source-family saturation and uncertainty; not completeness	Important for LIMEN differentiation, but only if interpretation stays cautious and clearly separated ... [truncated]	Residual-category queue; novelty/authority matrix; taxonomy stress-test panel	join_access_date_and_rights_terms_from_source_ledger
DRPS-016	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	2	unlawful_or_allegedly_unlawful_use	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	posture-aware comparison across accusation, enforcement, and suspected misuse rows	mixed_authority_with_single_public_dependence; translation_caution_exposed; procedure_posture_mixed	taxonomy support and residual pressure; not prevalence	Useful for cases that may feed later law-to-evidence matrices but needs strong authority controls Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Legal-risk heatmap by category and evidence tier	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-017	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	3	security_risk	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	bounded repeated-mechanism overlay inside existing taxonomy labels	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	taxonomy support and residual pressure; not prevalence	Maps well to technical-governance observatory outputs but often needs separation of hazard from proven exploitation Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Security-to-governance edge list for graph/table views	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-018	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	4	agentic_control_failure	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	bounded repeated-mechanism overlay inside existing taxonomy labels	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	taxonomy support and residual pressure; not prevalence	Particularly valuable for thesis claims about attestation limits and governance blind spots Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Agentic-control matrix linking case type to oversight evidence needs	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-019	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	5	institutional_absurdity	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	residual-pressure queue and small governance-anomaly appendix	all_single_public_source; translation_caution_exposed; media_heavy_authority_thin	taxonomy support and residual pressure; not prevalence	Strong candidate for normative discussion sections and limitations on legal inference Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Public-sector absurdity typology and dashboard filter	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-020	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	6	public_sector_misuse_or_gap	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	small comparison panel on disclosure-surface heterogeneity	mixed_authority_with_single_public_dependence; translation_caution_exposed; heterogeneous_surface_not_one_proof_class	taxonomy support and residual pressure; not prevalence	Directly supports observatory and policy-brief outputs on public-sector AI visibility Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Map-ready country/authority evidence-gap matrix	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-021	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	7	deepfake_or_synthetic_identity	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	limitations-forward queue and provenance-confusion methods panel	mixed_authority_with_single_public_dependence; translation_caution_exposed; direct_authority_gap	taxonomy support and residual pressure; not prevalence	Pairs naturally with attestation/C2PA discussion but must not overclaim authenticity resolution Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Synthetic-identity topology linking media, provenance evidence, and harm types	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-022	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	8	legal_procedural_contamination	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	source-depth panel pairing a document-grade anchor with a broadcaster-resolved comparator	pair_only; mixed_authority_with_single_public_dependence; translation_caution_exposed; one_document_anchor_one_broadcaster_anchor	taxonomy support and residual pressure; not prevalence	Strong hostile-reviewer contribution because it clarifies where public proof ends Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Process-contamination typology for justice/admin case tables	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-023	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	9	health_medical_or_mental_health	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	methods safeguard and zero-seed heatmap row	zero_seed_methods_guardrail	taxonomy support and residual pressure; not prevalence	Requires especially cautious language because parallel health-law regimes dominate interpretation Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Sector split for health-related LIMEN cases with uncertainty flags	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-024	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	10	education_workplace_or_hr	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	cross-domain comparator for hiring, schooling, and worker monitoring	mixed_authority_with_single_public_dependence; translation_caution_exposed	taxonomy support and residual pressure; not prevalence	Important for law-to-evidence rows on contestability and governance visibility Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Employment/education decision-flow matrix	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
DRPS-025	2026-06-18T06:04:55Z	results/dashboard/taxonomy-heatmap.tsv	11	finance_insurance_or_market	Taxonomy heatmap	Figure 2 / Table 2	direct_row_pointer	TSRQ-046	TSRQ-046	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export	not_row_level_in_export	not_applicable_or_not_row_level	39_governed_record_refs/29_unique_lineages_core; 44_governed_record_refs/34_unique_lineages_extended	narrow sector-concentrated comparator attached to AI-washing findings	pair_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy; sector_concentrated_finance_heavy	taxonomy support and residual pressure; not prevalence	Needs careful separation of consumer-fraud allegations from AI governance evidence Join-safe sample refs now use file-qualified keys instead of raw LIMEN-00000X identifiers. Live refresh 2026-06-08T11:25:43Z: support routed from the canonical duplicate-governed core with refreshed counts, evidence-tier snapshots, and denominator contract.	Sectoral harm matrix across finance/insurance/market records	join_access_date_and_rights_terms_from_source_ledger; add_language_if_row_claim_is_source_level; add_jurisdiction_if_row_claim_is_source_level
