source_id	jurisdiction	language	source_family	evidence_tier	uncertainty_flags	has_lat_lon	notes
LIMEN-S-045	Global	English	public vendor/platform security advisory API	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-046	United States	English	public federal regulator disposition order	T3_authoritative_source	settlement_posture,no_prevalence_claim	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md; referenced_by=results/boost/limen-boost-007/source-delta.tsv
LIMEN-S-047	United States	English	public federal agency release	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags; referenced_by=results/boost/limen-boost-007/source-delta.tsv
LIMEN-S-048	Global	English	public official standards overview page	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-049	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only,context_only	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-050	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only,context_only	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-051	Global	English	public vulnerability record	T3_authoritative_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-052	Global	English	public vendor release note	T2_corrob_context_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-053	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-054	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-055	Global	English	public vendor repository timeline API	T2_corrob_context_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-056	Global	English	public vendor repository pull-request API	T2_corrob_context_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-057	Global	English	public vendor repository issue API	T2_corrob_context_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-058	Global	English	public vendor repository timeline API	T2_corrob_context_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-059	Global	English	public scholarly metadata API	T2_corrob_context_source	access_barrier	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-060	Global	English	public scholarly metadata API	T2_corrob_context_source	access_barrier	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-061	Global	English	public scholarly metadata API	T2_corrob_context_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-062	Global	English	public scholarly metadata API	T2_corrob_context_source		false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-063	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only	false	access_date=2026-06-07; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-064	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-065	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-066	Global	English	public scholarly preprint metadata	T2_corrob_context_source	preprint_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-067	Global	English	public scholarly metadata for published journal article	T2_corrob_context_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-068	Finland	Finnish	public regional news article shell with bounded visible excerpt	T1_single_public_source	discovery_only,title_or_preview_only,machine_translation_review_needed	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-069	Lithuania	Lithuanian	Google News-discovered news lead	T1_single_public_source	discovery_only,title_or_preview_only,access_barrier,machine_translation_review_needed	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-070	Estonia	Estonian	Google News-discovered news lead	T1_single_public_source	discovery_only,title_or_preview_only,access_barrier,machine_translation_review_needed	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-071	Global	English	public vendor/platform security advisory API	T3_authoritative_source	no_prevalence_claim	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-072	Global	English	public AVID incident report JSON	T2_corrob_context_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-073	Global	English	public vendor release metadata API	T2_corrob_context_source	no_prevalence_claim	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-074	Global	English	public vulnerability-record API	T3_authoritative_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-080	Global	English	public social post	T1_single_public_source	discovery_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-081	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-082	Global	English	public archived platform page	T2_corrob_context_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-083	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-084	Global	English	public archival metadata API	T2_corrob_context_source	search_surface_only,access_barrier	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-075	Global	English	public vulnerability-record API	T3_authoritative_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-076	Global	English	public advisory-database page	T2_corrob_context_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-077	Global	English	public vulnerability-record API	T3_authoritative_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-085	Global	English	public archived publisher page	T2_corrob_context_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-086	Global	English	public archived publisher page	T2_corrob_context_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-087	Global	English	public scholarly metadata API	T2_corrob_context_source	negative_evidence_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-088	Global	English	public bibliographic metadata API	T2_corrob_context_source	negative_evidence_only,preprint_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-089	Global	English	public platform security advisory API	T3_authoritative_source	source_qualified_version	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-090	Global	English	public vulnerability-record API	T3_authoritative_source	source_qualified_version	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-091	Global	English	public scholarly metadata API	T2_corrob_context_source	negative_evidence_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-092	Global	English	public bibliographic metadata API	T2_corrob_context_source	negative_evidence_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-093	Global	English	public bibliographic metadata API	T2_corrob_context_source	negative_evidence_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-094	Global	English	public scholarly metadata API	T2_corrob_context_source	negative_evidence_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-095	Global	English	public vendor pull-request API	T2_corrob_context_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-096	Global	English	public vendor release/tag metadata API	T2_corrob_context_source		false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; missing uncertainty_flags
LIMEN-S-097	Finland	Finnish	public legal database search interface	T3_authoritative_source	negative_evidence_only,search_surface_only,machine_translation_review_needed	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-098	Finland	Finnish	public parliamentary ombudsman search interface	T2_corrob_context_source	negative_evidence_only,search_surface_only,machine_translation_review_needed	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-099	Finland	Finnish	public ministry search interface	T3_authoritative_source	negative_evidence_only,search_surface_only,machine_translation_review_needed	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-100	Global	English	public scholarly preprint	T2_corrob_context_source	preprint_only,context_only	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
LIMEN-S-101	Slovenia	Slovenian	public Slovenian procurement search interface	T2_corrob_context_source	negative_evidence_only,search_surface_only,machine_translation_review_needed	false	access_date=2026-06-08; missing lat_lon; evidence_tier inferred; no explicit evidence_tier column in sources.md; uncertainty_flags inferred from source notes; no explicit uncertainty_flags column in sources.md
