join_audit_id	dashboard_export	sidecar_id	row_key	dashboard_surface	manuscript_surface	join_status	candidate_source_id	candidate_source_title	candidate_path_or_url	candidate_access_date	candidate_rights_terms_note	sidecar_accessed_at_status	sidecar_rights_terms_status	claim_ceiling	uncertainty_flag	public_dashboard_action	reviewer_safe_reading
SLJ-041	results/dashboard/evidence-funnel.tsv	DRPS-041	translation_dependent	Evidence-tier funnel and confidence cap	Figure 3 / Figure 5 publication-safe-lineage variant	no_source_ledger_match						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Translation-dependent rows need explicit caution in map/funnel prose and should not harden into comparative legal claims.	safe_only_after_normalized_record_key_or_lineage_key_collapse	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	evidence maturity and proof ceilings; not truth or legal finding
SLJ-042	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-042	CA	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	0	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-043	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-043	Denmark	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness; this row is a bounded non-English authoritative sidecar, not a multilingual-ladder member.	1	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-044	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-044	Estonia	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	1	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-045	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-045	Finland	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	2	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-046	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-046	France	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness; this row is a bounded non-English authoritative sidecar, not a multilingual-ladder member.	1	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-047	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-047	Global	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	0	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-048	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-048	Italy	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	0	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-049	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-049	Lithuania	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	1	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-050	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-050	Slovenia	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	2	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-051	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-051	US	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	0	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-052	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-052	United Kingdom	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	0	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-053	results/dashboard/jurisdiction-language-coverage.tsv	DRPS-053	United States	Jurisdiction/language coverage map	Figure 5 / SI S1 Panel C sidecar	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Shows current visibility surface, not prevalence or completeness.	0	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	visibility burden; not country ranking or readiness
SLJ-054	results/dashboard/legal-uncertainty-matrix.tsv	DRPS-054	unlawful_or_allegedly_unlawful_use	Legal uncertainty matrix	Figure 6	artifact_pointer_only_no_ledger_join						not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	not_row_level_in_export__needs_source_ledger_join_before_public_dashboard	Impossible to conclude illegality or AI Act breach from media allegations alone	LQ-005: The presence of generated content does not establish intent, materiality, attributable actor, or legal threshold crossed. || LQ-008: Current strong support remains concentrated in U.S. finance and venture-facing enforcement/charging records; the non-finance signal remains weak and the Nate row is still charging-stage rather than disposition-grade.	retain_not_row_level_in_export_label_and_do_not_show_as_source-verified_tooltip	verification routing; not legal conclusion
