as_of_utc	lane_id	record_ref	record_title	direct_membership_state_count	direct_membership_states	propagated_state_count	propagated_states	delta_state_count	direct_cluster_refs	propagated_cluster_refs	reconciliation_note
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	2	reviewed_not_duplicate|no_cluster_review_row	2	reviewed_not_duplicate|no_cluster_review_row	0	REVIEW-SINGLETON-LIMEN-000011:no_cluster_review_row|REVIEW-NOMERGE-FTC-001:reviewed_not_duplicate	REVIEW-SINGLETON-LIMEN-000011:no_cluster_review_row|REVIEW-NOMERGE-FTC-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration	2	identifier_collision_blocker|no_cluster_review_row	2	identifier_collision_blocker|no_cluster_review_row	0	REVIEW-SINGLETON-AUTH-LIMEN-000012:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000012:identifier_collision_blocker	REVIEW-SINGLETON-AUTH-LIMEN-000012:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000012:identifier_collision_blocker	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	2	reviewed_not_duplicate|identifier_collision_blocker	2	reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000001:identifier_collision_blocker|REVIEW-NOMERGE-CODEEXEC-001:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000001:identifier_collision_blocker|REVIEW-NOMERGE-CODEEXEC-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allows public candidate record for remote code execution risk	1	identifier_collision_blocker	1	identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000002:identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000002:identifier_collision_blocker	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	2	reviewed_not_duplicate|identifier_collision_blocker	2	reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000003:identifier_collision_blocker|REVIEW-NOMERGE-FILEREAD-001:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000003:identifier_collision_blocker|REVIEW-NOMERGE-FILEREAD-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	2	reviewed_not_duplicate|identifier_collision_blocker	2	reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000004:identifier_collision_blocker|REVIEW-NOMERGE-CREWAI-001:reviewed_not_duplicate|REVIEW-NOMERGE-FILEREAD-001:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000004:identifier_collision_blocker|REVIEW-NOMERGE-CREWAI-001:reviewed_not_duplicate|REVIEW-NOMERGE-FILEREAD-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	2	reviewed_not_duplicate|identifier_collision_blocker	2	reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000005:identifier_collision_blocker|REVIEW-NOMERGE-CREWAI-001:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000005:identifier_collision_blocker|REVIEW-NOMERGE-CREWAI-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	2	reviewed_not_duplicate|identifier_collision_blocker	2	reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000006:identifier_collision_blocker|REVIEW-NOMERGE-CODEEXEC-001:reviewed_not_duplicate|REVIEW-NOMERGE-CODEEXEC-002:reviewed_not_duplicate|REVIEW-NOMERGE-LANGCHAIN-001:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000006:identifier_collision_blocker|REVIEW-NOMERGE-CODEEXEC-001:reviewed_not_duplicate|REVIEW-NOMERGE-CODEEXEC-002:reviewed_not_duplicate|REVIEW-NOMERGE-LANGCHAIN-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	2	reviewed_not_duplicate|identifier_collision_blocker	2	reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000007:identifier_collision_blocker|REVIEW-NOMERGE-CODEEXEC-002:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000007:identifier_collision_blocker|REVIEW-NOMERGE-CODEEXEC-002:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	2	reviewed_not_duplicate|identifier_collision_blocker	2	reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-NOMERGE-LANGCHAIN-001:reviewed_not_duplicate|REVIEW-IDCOLLISION-LIMEN-000008:identifier_collision_blocker	REVIEW-NOMERGE-LANGCHAIN-001:reviewed_not_duplicate|REVIEW-IDCOLLISION-LIMEN-000008:identifier_collision_blocker	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	2	identifier_collision_blocker|no_cluster_review_row	2	identifier_collision_blocker|no_cluster_review_row	0	REVIEW-SINGLETON-LIMEN-000009:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000009:identifier_collision_blocker	REVIEW-SINGLETON-LIMEN-000009:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000009:identifier_collision_blocker	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	2	identifier_collision_blocker|no_cluster_review_row	2	identifier_collision_blocker|no_cluster_review_row	0	REVIEW-SINGLETON-LIMEN-000012:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000012:identifier_collision_blocker	REVIEW-SINGLETON-LIMEN-000012:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000012:identifier_collision_blocker	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-004:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-004:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-001:stable_duplicate_cluster|CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-001:stable_duplicate_cluster|CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	1	no_cluster_review_row	1	no_cluster_review_row	0	REVIEW-SINGLETON-LMWCS-20260606-002:no_cluster_review_row	REVIEW-SINGLETON-LMWCS-20260606-002:no_cluster_review_row	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-003:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-003:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-005:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-005:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-006:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-006:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-004:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-004:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-001:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-001:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-006:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-006:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-003:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-003:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LMWCS-20260606-005:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LMWCS-20260606-005:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	3	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	3	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000001:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318:stable_duplicate_cluster|REVIEW-NOMERGE-SEC-001:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000001:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318:stable_duplicate_cluster|REVIEW-NOMERGE-SEC-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	3	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	3	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	0	REVIEW-IDCOLLISION-LIMEN-000002:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-GP-20260318:stable_duplicate_cluster|REVIEW-NOMERGE-SEC-001:reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000002:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-GP-20260318:stable_duplicate_cluster|REVIEW-NOMERGE-SEC-001:reviewed_not_duplicate	direct_equals_propagated
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-007/candidate-cases.jsonl:LIMEN-007-CAND-003	FCC settles spoofed AI-generated robocalls case against Lingo Telecom	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LIMEN-007-CAND-003:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LIMEN-007-CAND-003:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	1	stable_duplicate_cluster	2	stable_duplicate_cluster|reviewed_not_duplicate	1	CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001:stable_duplicate_cluster	CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001:stable_duplicate_cluster	propagated_exceeds_direct_membership; downstream consumers should prefer propagated multistate burden when counting governed record complexity
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-007	A citation alert led researchers to a network of fake articles. But who is benefiting?	1	no_cluster_review_row	1	no_cluster_review_row	0	REVIEW-SINGLETON-LIMEN-008-LEAD-007:no_cluster_review_row	REVIEW-SINGLETON-LIMEN-008-LEAD-007:no_cluster_review_row	direct_equals_propagated; residual frontier singleton remains count-silent for seeded taxonomy while visible in the broader reviewed local surface
