as_of_utc	lane_id	record_ref	record_title	duplicate_control_states	state_count	cluster_refs	lineage_role	evidence_tier	jurisdictions	languages	interpretation_hook
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration	identifier_collision_blocker|no_cluster_review_row	2	REVIEW-SINGLETON-AUTH-LIMEN-000012:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000012:identifier_collision_blocker	multi_state	T3_authoritative_source	Denmark	da	standalone lineage plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	reviewed_not_duplicate|identifier_collision_blocker	2	REVIEW-IDCOLLISION-LIMEN-000001:identifier_collision_blocker|REVIEW-NOMERGE-CODEEXEC-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	Global	English	non-merge reasoning plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allows public candidate record for remote code execution risk	identifier_collision_blocker	1	REVIEW-IDCOLLISION-LIMEN-000002:identifier_collision_blocker	single_state	T1_single_public_source	Global	English	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	reviewed_not_duplicate|identifier_collision_blocker	2	REVIEW-IDCOLLISION-LIMEN-000003:identifier_collision_blocker|REVIEW-NOMERGE-FILEREAD-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	Global	English	non-merge reasoning plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	reviewed_not_duplicate|identifier_collision_blocker	2	REVIEW-IDCOLLISION-LIMEN-000004:identifier_collision_blocker|REVIEW-NOMERGE-CREWAI-001:reviewed_not_duplicate|REVIEW-NOMERGE-FILEREAD-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	Global	English	non-merge reasoning plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	reviewed_not_duplicate|identifier_collision_blocker	2	REVIEW-IDCOLLISION-LIMEN-000005:identifier_collision_blocker|REVIEW-NOMERGE-CREWAI-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	Global	English	non-merge reasoning plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	reviewed_not_duplicate|identifier_collision_blocker	2	REVIEW-IDCOLLISION-LIMEN-000006:identifier_collision_blocker|REVIEW-NOMERGE-CODEEXEC-001:reviewed_not_duplicate|REVIEW-NOMERGE-CODEEXEC-002:reviewed_not_duplicate|REVIEW-NOMERGE-LANGCHAIN-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	Global	English	non-merge reasoning plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	reviewed_not_duplicate|identifier_collision_blocker	2	REVIEW-IDCOLLISION-LIMEN-000007:identifier_collision_blocker|REVIEW-NOMERGE-CODEEXEC-002:reviewed_not_duplicate	multi_state	T3_authoritative_source	Global	English	non-merge reasoning plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	reviewed_not_duplicate|identifier_collision_blocker	2	REVIEW-NOMERGE-LANGCHAIN-001:reviewed_not_duplicate|REVIEW-IDCOLLISION-LIMEN-000008:identifier_collision_blocker	multi_state	T3_authoritative_source	Global	English	non-merge reasoning plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	identifier_collision_blocker|no_cluster_review_row	2	REVIEW-SINGLETON-LIMEN-000009:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000009:identifier_collision_blocker	multi_state	T3_authoritative_source	Global	English	standalone lineage plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	identifier_collision_blocker|no_cluster_review_row	2	REVIEW-SINGLETON-LIMEN-000012:no_cluster_review_row|REVIEW-IDCOLLISION-LIMEN-000012:identifier_collision_blocker	multi_state	T3_authoritative_source	Global	English	standalone lineage plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-004:stable_duplicate_cluster	multi_state	T3_authoritative_source_direct_url_resolved	Slovenia	sl	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-001:stable_duplicate_cluster|CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001:stable_duplicate_cluster	multi_state	T1_single_public_source	Finland	fi	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	no_cluster_review_row	1	REVIEW-SINGLETON-LMWCS-20260606-002:no_cluster_review_row	single_state	T1_single_public_source	Finland	fi	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-003:stable_duplicate_cluster	multi_state	T1_single_public_source	Lithuania	lt	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-005:stable_duplicate_cluster	multi_state	T1_single_public_source	Slovenia	sl	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-006:stable_duplicate_cluster	multi_state	T1_single_public_source	Estonia	et	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-004:stable_duplicate_cluster	multi_state		Slovenia	sl	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-001:stable_duplicate_cluster	multi_state		Finland	fi	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-006:stable_duplicate_cluster	multi_state		Estonia	et	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-003:stable_duplicate_cluster	multi_state		Lithuania	lt	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LMWCS-20260606-005:stable_duplicate_cluster	multi_state		Slovenia	sl	single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	3	REVIEW-IDCOLLISION-LIMEN-000001:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318:stable_duplicate_cluster|REVIEW-NOMERGE-SEC-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	US;CA	en	lineage collapse plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	stable_duplicate_cluster|reviewed_not_duplicate|identifier_collision_blocker	3	REVIEW-IDCOLLISION-LIMEN-000002:identifier_collision_blocker|CLUSTER-DERIVATIVE-SEC-GP-20260318:stable_duplicate_cluster|REVIEW-NOMERGE-SEC-001:reviewed_not_duplicate	multi_state	T3_authoritative_source	US	en	lineage collapse plus join-safety burden travel together
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-007/candidate-cases.jsonl:LIMEN-007-CAND-003	FCC settles spoofed AI-generated robocalls case against Lingo Telecom	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LIMEN-007-CAND-003:stable_duplicate_cluster	multi_state	T3_authoritative_source			single-state control only
2026-06-07T18:27:08Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	stable_duplicate_cluster|reviewed_not_duplicate	2	CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001:stable_duplicate_cluster	multi_state	T1_single_public_source	Finland	fi	single-state control only
