as_of_utc	audit_id	cluster_id	cluster_status	language_scope_before	language_scope_after	changed	normalization_note
2026-06-08T05:02:09Z	DLNR-012	CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	et	et	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-013	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	stable_duplicate_cluster	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-014	CLUSTER-DERIVATIVE-SEC-GP-20260318	stable_duplicate_cluster	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-015	REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-016	REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-017	REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-018	REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-019	REVIEW-NOMERGE-SEC-001	reviewed_not_duplicate	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-020	REVIEW-NOMERGE-LANGCHAIN-001	reviewed_not_duplicate	English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-021	REVIEW-NOMERGE-FILEREAD-001	reviewed_not_duplicate	English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-022	REVIEW-SINGLETON-LIMEN-000008	no_cluster_review_row	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-023	REVIEW-SINGLETON-LIMEN-000009	no_cluster_review_row	English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-024	REVIEW-SINGLETON-LMWCS-20260606-002	no_cluster_review_row	fi	fi	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-025	REVIEW-IDCOLLISION-LIMEN-000008	identifier_collision_blocker	en;English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-026	REVIEW-IDCOLLISION-LIMEN-000009	identifier_collision_blocker	sl;English	en;sl	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-027	REVIEW-SINGLETON-LIMEN-000010	no_cluster_review_row	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-028	REVIEW-SINGLETON-LIMEN-000011	no_cluster_review_row	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-029	REVIEW-SINGLETON-LIMEN-000012	no_cluster_review_row	English	en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-030	REVIEW-SINGLETON-AUTH-LIMEN-000012	no_cluster_review_row	da	da	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-031	REVIEW-IDCOLLISION-LIMEN-000012	identifier_collision_blocker	da;English	da;en	yes	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-032	REVIEW-NOMERGE-FTC-001	reviewed_not_duplicate	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-033	CLUSTER-DERIVATIVE-LIMEN-007-CAND-003	stable_duplicate_cluster	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-034	CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001	stable_duplicate_cluster	fi	fi	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
2026-06-08T05:02:09Z	DLNR-035	REVIEW-SINGLETON-LIMEN-008-LEAD-007	no_cluster_review_row	en	en	no	Canonical duplicate ledger now uses normalized language codes in language_scope for safer dashboard/export grouping; raw member/source provenance remains in the underlying case files and prior audit surfaces.
