as_of_utc	audit_id	cluster_id	cluster_status	member_count	language_scope_raw	member_language_values_raw	normalized_scope_codes	normalized_member_codes	scope_member_alignment	mixed_code_name_surface	non_iso_scope_tokens	non_iso_member_tokens	missing_member_records	normalization_status	review_note
2026-06-07T22:05:33Z	DLNA-018	REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	2	en	en;en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-019	REVIEW-NOMERGE-SEC-001	reviewed_not_duplicate	2	en	en;en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-020	REVIEW-NOMERGE-LANGCHAIN-001	reviewed_not_duplicate	2	English	English;English	en	en	aligned	no	English	English;English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-021	REVIEW-NOMERGE-FILEREAD-001	reviewed_not_duplicate	2	English	English;English	en	en	aligned	no	English	English;English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-022	REVIEW-SINGLETON-LIMEN-000008	no_cluster_review_row	1	en	en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-023	REVIEW-SINGLETON-LIMEN-000009	no_cluster_review_row	1	English	English	en	en	aligned	no	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-024	REVIEW-SINGLETON-LMWCS-20260606-002	no_cluster_review_row	1	fi	fi	fi	fi	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-025	REVIEW-IDCOLLISION-LIMEN-000008	identifier_collision_blocker	2	en;English	en;English	en	en	aligned	yes	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-026	REVIEW-IDCOLLISION-LIMEN-000009	identifier_collision_blocker	2	sl;English	sl;English	en;sl	en;sl	aligned	yes	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-027	REVIEW-SINGLETON-LIMEN-000010	no_cluster_review_row	1	en	en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-028	REVIEW-SINGLETON-LIMEN-000011	no_cluster_review_row	1	en	en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-029	REVIEW-SINGLETON-LIMEN-000012	no_cluster_review_row	1	English	English	en	en	aligned	no	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-030	REVIEW-SINGLETON-AUTH-LIMEN-000012	no_cluster_review_row	1	da	da	da	da	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-031	REVIEW-IDCOLLISION-LIMEN-000012	identifier_collision_blocker	2	da;English	da;English	da;en	da;en	aligned	yes	English	English	(none)	normalization_caution	Normalize to ISO language codes on dashboard/export surfaces while preserving original source values in provenance.
2026-06-07T22:05:33Z	DLNA-032	REVIEW-NOMERGE-FTC-001	reviewed_not_duplicate	2	en	en;en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-033	CLUSTER-DERIVATIVE-LIMEN-007-CAND-003	stable_duplicate_cluster	2	en	en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-034	CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001	stable_duplicate_cluster	2	fi	fi;fi	fi	fi	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
2026-06-07T22:05:33Z	DLNA-035	REVIEW-SINGLETON-LIMEN-008-LEAD-007	no_cluster_review_row	1	en	en	en	en	aligned	no	(none)	(none)	(none)	clean	No language-normalization issue detected in current cluster/member comparison.
