as_of_utc	lane_id	record_ref	record_title	record_status	evidence_tier	limen_categories	review_row_count	review_row_ids	review_state_bundle	coverage_status	paper_use_hook	next_move
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	authoritative_candidate	T3_authoritative_source	ai_washing_or_false_ai_claim;education_workplace_or_hr	2	REVIEW-SINGLETON-LIMEN-000011;REVIEW-NOMERGE-FTC-001	no_cluster_review_row;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration	authoritative_candidate	T3_authoritative_source	public_sector_misuse_or_gap;education_workplace_or_hr	2	REVIEW-SINGLETON-AUTH-LIMEN-000012;REVIEW-IDCOLLISION-LIMEN-000012	no_cluster_review_row;identifier_collision_blocker	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	candidate	T1_single_public_source	legal_procedural_contamination;public_sector_misuse_or_gap;institutional_absurdity	2	CLUSTER-DERIVATIVE-LMWCS-20260606-001;CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001	stable_duplicate_cluster;stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	candidate	T1_single_public_source	deepfake_or_synthetic_identity;unlawful_or_allegedly_unlawful_use;normative_or_moral_outlier	1	REVIEW-SINGLETON-LMWCS-20260606-002	no_cluster_review_row	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	candidate	T1_single_public_source	unlawful_or_allegedly_unlawful_use;deepfake_or_synthetic_identity;public_sector_misuse_or_gap	1	CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	candidate	T3_authoritative_source_direct_url_resolved	surveillance_biometrics_or_policing;public_sector_misuse_or_gap;normative_or_moral_outlier	1	CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	candidate	T1_single_public_source	institutional_absurdity;public_sector_misuse_or_gap;ai_washing_or_false_ai_claim	1	CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	candidate	T1_single_public_source	education_workplace_or_hr;institutional_absurdity;normative_or_moral_outlier	1	CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	authoritative	T3_authoritative_source	security_risk;agentic_control_failure	2	REVIEW-IDCOLLISION-LIMEN-000001;REVIEW-NOMERGE-CODEEXEC-001	identifier_collision_blocker;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allows public candidate record for remote code execution risk	candidate	T1_single_public_source	security_risk;agentic_control_failure	1	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	authoritative	T3_authoritative_source	security_risk;agentic_control_failure	2	REVIEW-IDCOLLISION-LIMEN-000003;REVIEW-NOMERGE-FILEREAD-001	identifier_collision_blocker;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	authoritative	T3_authoritative_source	security_risk;agentic_control_failure	3	REVIEW-IDCOLLISION-LIMEN-000004;REVIEW-NOMERGE-CREWAI-001;REVIEW-NOMERGE-FILEREAD-001	identifier_collision_blocker;reviewed_not_duplicate;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	authoritative	T3_authoritative_source	security_risk;agentic_control_failure	2	REVIEW-IDCOLLISION-LIMEN-000005;REVIEW-NOMERGE-CREWAI-001	identifier_collision_blocker;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	authoritative	T3_authoritative_source	security_risk;agentic_control_failure	4	REVIEW-IDCOLLISION-LIMEN-000006;REVIEW-NOMERGE-CODEEXEC-001;REVIEW-NOMERGE-CODEEXEC-002;REVIEW-NOMERGE-LANGCHAIN-001	identifier_collision_blocker;reviewed_not_duplicate;reviewed_not_duplicate;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	authoritative	T3_authoritative_source	security_risk;agentic_control_failure	2	REVIEW-IDCOLLISION-LIMEN-000007;REVIEW-NOMERGE-CODEEXEC-002	identifier_collision_blocker;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	authoritative	T3_authoritative_source	security_risk;agentic_control_failure	2	REVIEW-NOMERGE-LANGCHAIN-001;REVIEW-IDCOLLISION-LIMEN-000008	reviewed_not_duplicate;identifier_collision_blocker	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	authoritative	T3_authoritative_source	security_risk;agentic_control_failure	2	REVIEW-SINGLETON-LIMEN-000009;REVIEW-IDCOLLISION-LIMEN-000009	no_cluster_review_row;identifier_collision_blocker	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	authoritative	T3_authoritative_source	security_risk;agentic_control_failure	2	REVIEW-SINGLETON-LIMEN-000012;REVIEW-IDCOLLISION-LIMEN-000012	no_cluster_review_row;identifier_collision_blocker	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist				1	CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception				1	CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control				1	CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary				1	CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam				1	CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-007/candidate-cases.jsonl:LIMEN-007-CAND-003	FCC settles spoofed AI-generated robocalls case against Lingo Telecom	authoritative_source_record			1	CLUSTER-DERIVATIVE-LIMEN-007-CAND-003	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	candidate	T1_single_public_source	legal_procedural_contamination;public_sector_misuse_or_gap;institutional_absurdity	1	CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001	stable_duplicate_cluster	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-007	A citation alert led researchers to a network of fake articles. But who is benefiting?	candidate	T1_single_public_source	research_integrity;residual_unclassified	1	REVIEW-SINGLETON-LIMEN-008-LEAD-007	no_cluster_review_row	covered	residual frontier control row	seek direct platform, publisher, indexing-service, or institutional action before any stronger residual promotion claim
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	authoritative	T3_authoritative_source	ai_washing_or_false_ai_claim;finance_insurance_or_market	3	REVIEW-IDCOLLISION-LIMEN-000001;CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318;REVIEW-NOMERGE-SEC-001	identifier_collision_blocker;stable_duplicate_cluster;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
2026-06-07T19:45:12Z	limen-dedupe-cluster-taxonomy	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	authoritative	T3_authoritative_source	ai_washing_or_false_ai_claim;finance_insurance_or_market	3	REVIEW-IDCOLLISION-LIMEN-000002;CLUSTER-DERIVATIVE-SEC-GP-20260318;REVIEW-NOMERGE-SEC-001	identifier_collision_blocker;stable_duplicate_cluster;reviewed_not_duplicate	covered	duplicate-governed denominator row	already governed; preserve current bounded interpretation
