metric_group	metric_key	row_count	lineage_refs	notes
singleton_pressure_bucket	identity_authorization_abuse	1	REVIEW-SINGLETON-LIMEN-000009	singleton queue families useful for taxonomy/residual prioritization
singleton_pressure_bucket	official_false_capability_or_detector	2	REVIEW-SINGLETON-LIMEN-000010;REVIEW-SINGLETON-LIMEN-000011	singleton queue families useful for taxonomy/residual prioritization
singleton_pressure_bucket	mcp_or_local_tool_boundary	2	REVIEW-SINGLETON-LIMEN-000012;REVIEW-SINGLETON-LIMEN-000016	singleton queue families useful for taxonomy/residual prioritization
singleton_pressure_bucket	public_sector_governance_anchor	1	REVIEW-SINGLETON-AUTH-LIMEN-000012	singleton queue families useful for taxonomy/residual prioritization
singleton_pressure_bucket	research_integrity_residual_frontier	1	REVIEW-SINGLETON-LIMEN-008-LEAD-007	singleton queue families useful for taxonomy/residual prioritization
singleton_pressure_bucket	biometric_governance_warning_singleton	1	REVIEW-SINGLETON-LIMEN-000015	warning-page-depth French CNIL singleton kept in the core seeded package as a bounded non-recurrence row
singleton_pressure_bucket	authoritative_sidecar_chronology	2	REVIEW-SIDECAR-LIMEN-000013;REVIEW-SIDECAR-LIMEN-000014	extended reviewed local surface only; count-silent FTC chronology sidecars
multi_state_record_refs	identifier_collision_blocker+reviewed_not_duplicate	9		record refs that simultaneously require more than one duplicate-control state
multi_state_record_refs	identifier_collision_blocker+stable_duplicate_cluster	3		record refs that simultaneously require more than one duplicate-control state
multi_state_record_refs	identifier_collision_blocker+no_cluster_review_row	3		record refs that simultaneously require more than one duplicate-control state
multi_state_record_refs	identifier_collision_blocker+reviewed_not_duplicate+stable_duplicate_cluster	2		record refs that simultaneously require more than one duplicate-control state
multi_state_record_refs	no_cluster_review_row+reviewed_not_duplicate	2		record refs that simultaneously require more than one duplicate-control state
multi_state_record_refs	identifier_collision_blocker+no_cluster_review_row+stable_duplicate_cluster	1		record refs that simultaneously require more than one duplicate-control state
language_scope_surface	en;it	1		mixed language-scope formatting still visible in canonical ledger
language_scope_surface	en	30		mixed language-scope formatting still visible in canonical ledger
language_scope_surface	fi	3		mixed language-scope formatting still visible in canonical ledger
language_scope_surface	lt	1		mixed language-scope formatting still visible in canonical ledger
language_scope_surface	sl	2		mixed language-scope formatting still visible in canonical ledger
language_scope_surface	et	1		mixed language-scope formatting still visible in canonical ledger
language_scope_surface	en;sl	1		mixed language-scope formatting still visible in canonical ledger
language_scope_surface	da	1		mixed language-scope formatting still visible in canonical ledger
language_scope_surface	da;en	1		mixed language-scope formatting still visible in canonical ledger
language_scope_surface	fr	1		mixed language-scope formatting still visible in canonical ledger
