as_of_utc	lane_id	surface_kind	row_id	row_kind	count_contract_state	evidence_tier_ceiling	member_case_count	graph_surface_state	translation_dependency	authority_risk	publication_role_now	current_claim_ceiling	blocker_class	priority_now	threshold_change_needed	next_smallest_publishability_move	evidence_basis
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_identifier_collision	no	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000003;data/cases/security-agentic-candidates.jsonl:LIMEN-000003
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_identifier_collision	no	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000004;data/cases/security-agentic-candidates.jsonl:LIMEN-000004
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_identifier_collision	no	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000005;data/cases/security-agentic-candidates.jsonl:LIMEN-000005
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_identifier_collision	no	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000006;data/cases/security-agentic-candidates.jsonl:LIMEN-000006
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_identifier_collision	no	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000007;data/cases/security-agentic-candidates.jsonl:LIMEN-000007
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000008	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_identifier_collision	no	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000008;data/cases/security-agentic-candidates.jsonl:LIMEN-000008
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000009	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_identifier_collision	yes	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000009;data/cases/security-agentic-candidates.jsonl:LIMEN-000009
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-IDCOLLISION-LIMEN-000012	identifier_collision_blocker	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_identifier_collision	yes	join_safety_not_authority	methods_schema_control	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	bare_id_join_hazard	medium	global_normalized_id adoption in downstream exports, figures, and dashboards	Patch any downstream count-bearing table/graph/export to use file-qualified or globally normalized identifiers only.	data/cases/authoritative-candidates.jsonl:LIMEN-000012;data/cases/security-agentic-candidates.jsonl:LIMEN-000012
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_reviewed_nonmerge	no	authority_adequate_nonmerge	bounded_recurrence_overlay	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	nonmerge_caption_discipline	medium	caption-safe repeated-pattern prose plus, where possible, one stronger same-mechanism comparator	Carry non-merge language into captions/graph legends; do not let similarity become event collapse.	data/cases/security-agentic-candidates.jsonl:LIMEN-000001;data/cases/security-agentic-candidates.jsonl:LIMEN-000006
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_reviewed_nonmerge	no	authority_adequate_nonmerge	bounded_recurrence_overlay	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	nonmerge_caption_discipline	medium	caption-safe repeated-pattern prose plus, where possible, one stronger same-mechanism comparator	Carry non-merge language into captions/graph legends; do not let similarity become event collapse.	data/cases/security-agentic-candidates.jsonl:LIMEN-000006;data/cases/security-agentic-candidates.jsonl:LIMEN-000007
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_reviewed_nonmerge	no	authority_adequate_nonmerge	bounded_recurrence_overlay	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	nonmerge_caption_discipline	medium	caption-safe repeated-pattern prose plus, where possible, one stronger same-mechanism comparator	Carry non-merge language into captions/graph legends; do not let similarity become event collapse.	data/cases/security-agentic-candidates.jsonl:LIMEN-000004;data/cases/security-agentic-candidates.jsonl:LIMEN-000005
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-NOMERGE-FILEREAD-001	reviewed_not_duplicate	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_reviewed_nonmerge	no	authority_adequate_nonmerge	bounded_recurrence_overlay	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	nonmerge_caption_discipline	medium	caption-safe repeated-pattern prose plus, where possible, one stronger same-mechanism comparator	Carry non-merge language into captions/graph legends; do not let similarity become event collapse.	data/cases/security-agentic-candidates.jsonl:LIMEN-000003;data/cases/security-agentic-candidates.jsonl:LIMEN-000004
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-NOMERGE-FTC-001	reviewed_not_duplicate	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_reviewed_nonmerge	no	authority_adequate_nonmerge	bounded_recurrence_overlay	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	nonmerge_caption_discipline	medium	caption-safe repeated-pattern prose plus, where possible, one stronger same-mechanism comparator	Carry non-merge language into captions/graph legends; do not let similarity become event collapse.	data/cases/authoritative-candidates.jsonl:LIMEN-000010;data/cases/authoritative-candidates.jsonl:LIMEN-000011
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_reviewed_nonmerge	no	authority_adequate_nonmerge	bounded_recurrence_overlay	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	nonmerge_caption_discipline	medium	caption-safe repeated-pattern prose plus, where possible, one stronger same-mechanism comparator	Carry non-merge language into captions/graph legends; do not let similarity become event collapse.	data/cases/authoritative-candidates.jsonl:LIMEN-000003;data/cases/authoritative-candidates.jsonl:LIMEN-000004
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-NOMERGE-LANGCHAIN-001	reviewed_not_duplicate	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_reviewed_nonmerge	no	authority_adequate_nonmerge	bounded_recurrence_overlay	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	nonmerge_caption_discipline	medium	caption-safe repeated-pattern prose plus, where possible, one stronger same-mechanism comparator	Carry non-merge language into captions/graph legends; do not let similarity become event collapse.	data/cases/security-agentic-candidates.jsonl:LIMEN-000006;data/cases/security-agentic-candidates.jsonl:LIMEN-000008
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-NOMERGE-SEC-001	reviewed_not_duplicate	inside_extended_reviewed_surface	T3_authoritative_source	2	graph_expected_reviewed_nonmerge	no	authority_adequate_nonmerge	bounded_recurrence_overlay	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	nonmerge_caption_discipline	medium	caption-safe repeated-pattern prose plus, where possible, one stronger same-mechanism comparator	Carry non-merge language into captions/graph legends; do not let similarity become event collapse.	results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	CLUSTER-DERIVATIVE-LIMEN-007-CAND-003	stable_duplicate_cluster	inside_extended_reviewed_surface	T3_authoritative_source	2	ledger_only_stable_collapse	no	authority_adequate_collapse	count_safe_duplicate_collapse	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	denominator_control_only	low	none for denominator control; keep provenance and avoid double counting	Reuse only as duplicate-collapse metadata; preserve member provenance and do not widen event counts.	data/cases/authoritative-candidates.jsonl:LIMEN-000008;results/boost/limen-boost-007/candidate-cases.jsonl:LIMEN-007-CAND-003
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	inside_extended_reviewed_surface	Finland	2	ledger_only_stable_collapse	yes	authority_adequate_collapse	count_safe_duplicate_collapse	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	denominator_control_only	low	none for denominator control; keep provenance and avoid double counting	Reuse only as duplicate-collapse metadata; preserve member provenance and do not widen event counts.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	inside_extended_reviewed_surface	T3_authoritative_source	3	ledger_only_stable_collapse	yes	authority_adequate_collapse	count_safe_duplicate_collapse	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	denominator_control_only	low	none for denominator control; keep provenance and avoid double counting	Reuse only as duplicate-collapse metadata; preserve member provenance and do not widen event counts.	data/cases/authoritative-candidates.jsonl:LIMEN-000009;data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	stable_duplicate_cluster	inside_extended_reviewed_surface	T3_authoritative_source	2	ledger_only_stable_collapse	no	authority_adequate_collapse	count_safe_duplicate_collapse	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	denominator_control_only	low	none for denominator control; keep provenance and avoid double counting	Reuse only as duplicate-collapse metadata; preserve member provenance and do not widen event counts.	data/cases/authoritative-candidates.jsonl:LIMEN-000006;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	CLUSTER-DERIVATIVE-SEC-GP-20260318	stable_duplicate_cluster	inside_extended_reviewed_surface	T3_authoritative_source	2	ledger_only_stable_collapse	no	authority_adequate_collapse	count_safe_duplicate_collapse	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	denominator_control_only	low	none for denominator control; keep provenance and avoid double counting	Reuse only as duplicate-collapse metadata; preserve member provenance and do not widen event counts.	data/cases/authoritative-candidates.jsonl:LIMEN-000007;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-SINGLETON-AUTH-LIMEN-000012	no_cluster_review_row	inside_extended_reviewed_surface	T3_authoritative_source	1	singleton_ledger_only	yes	bounded_singleton_watch	singleton_watch_or_limitation_note	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	singleton_recurrence_gap	low	one second reviewed lineage or higher-authority same-row support	Keep as singleton watch state until a second reviewed lineage or stronger authority appears.	data/cases/authoritative-candidates.jsonl:LIMEN-000012
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-SINGLETON-LIMEN-000008	no_cluster_review_row	inside_extended_reviewed_surface	T3_authoritative_source	1	singleton_ledger_only	no	bounded_singleton_watch	singleton_watch_or_limitation_note	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	singleton_recurrence_gap	low	one second reviewed lineage or higher-authority same-row support	Keep as singleton watch state until a second reviewed lineage or stronger authority appears.	data/cases/authoritative-candidates.jsonl:LIMEN-000008
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-SINGLETON-LIMEN-000009	no_cluster_review_row	inside_extended_reviewed_surface	T3_authoritative_source	1	singleton_ledger_only	no	bounded_singleton_watch	singleton_watch_or_limitation_note	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	singleton_recurrence_gap	low	one second reviewed lineage or higher-authority same-row support	Keep as singleton watch state until a second reviewed lineage or stronger authority appears.	data/cases/security-agentic-candidates.jsonl:LIMEN-000009
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-SINGLETON-LIMEN-000010	no_cluster_review_row	inside_extended_reviewed_surface	T3_authoritative_source	1	singleton_ledger_only	no	bounded_singleton_watch	singleton_watch_or_limitation_note	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	singleton_recurrence_gap	low	one second reviewed lineage or higher-authority same-row support	Keep as singleton watch state until a second reviewed lineage or stronger authority appears.	data/cases/authoritative-candidates.jsonl:LIMEN-000010
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-SINGLETON-LIMEN-000011	no_cluster_review_row	inside_extended_reviewed_surface	T3_authoritative_source	1	singleton_ledger_only	no	bounded_singleton_watch	singleton_watch_or_limitation_note	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	singleton_recurrence_gap	low	one second reviewed lineage or higher-authority same-row support	Keep as singleton watch state until a second reviewed lineage or stronger authority appears.	data/cases/authoritative-candidates.jsonl:LIMEN-000011
2026-06-07T22:03:57Z	limen-boost-059	duplicate_cluster_row	REVIEW-SINGLETON-LIMEN-000012	no_cluster_review_row	inside_extended_reviewed_surface	T3_authoritative_source	1	singleton_ledger_only	no	bounded_singleton_watch	singleton_watch_or_limitation_note	bounded descriptive use only; preserve duplicate/nonmerge/join-safety cautions from row notes	singleton_recurrence_gap	low	one second reviewed lineage or higher-authority same-row support	Keep as singleton watch state until a second reviewed lineage or stronger authority appears.	data/cases/security-agentic-candidates.jsonl:LIMEN-000012
