cluster_id	cluster_status	authority_band	evidence_tier_ceiling	claim_use_class	hostile_reviewer_confidence	graph_contract_state	graph_review_surface_status	materialized_vs_expected_edges	graph_edge_rows_present	canonical_case_id	jurisdiction_scope	language_scope	cluster_kind_tags	safe_reuse_sentence	forbidden_overread	visualization_role	next_publishability_move	provenance_inputs
CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	low_single_source_public	T1_single_public_source	lineage_count_collapse_only	medium	ledger_only_by_design	ledger_only_stable_collapse	0/0	0	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	Slovenia	sl	stable_collapse	Safe for deduplicated lineage counts and provenance-preserving collapse only.	Do not present as repeated-event prevalence, new incident evidence, or graph-visible recurrence unless separately reviewed.	ledger collapse note / appendix table, not primary graph edge	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	low_single_source_public	T1_single_public_source	lineage_count_collapse_only	medium	ledger_only_by_design	ledger_only_stable_collapse	0/0	0	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	Estonia	et	stable_collapse	Safe for deduplicated lineage counts and provenance-preserving collapse only.	Do not present as repeated-event prevalence, new incident evidence, or graph-visible recurrence unless separately reviewed.	ledger collapse note / appendix table, not primary graph edge	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl
CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	stable_duplicate_cluster	high_document_or_authoritative_bundle	T3_authoritative_source	lineage_count_collapse_only	high	ledger_only_by_design	ledger_only_stable_collapse	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000006	United States;US;CA	en	join_safety;stable_collapse;reviewed_overlay	Safe for deduplicated lineage counts and provenance-preserving collapse only.	Do not present as repeated-event prevalence, new incident evidence, or graph-visible recurrence unless separately reviewed.	ledger collapse note / appendix table, not primary graph edge	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
CLUSTER-DERIVATIVE-SEC-GP-20260318	stable_duplicate_cluster	high_document_or_authoritative_bundle	T3_authoritative_source	lineage_count_collapse_only	high	ledger_only_by_design	ledger_only_stable_collapse	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000007	United States;US	en	join_safety;stable_collapse;reviewed_overlay	Safe for deduplicated lineage counts and provenance-preserving collapse only.	Do not present as repeated-event prevalence, new incident evidence, or graph-visible recurrence unless separately reviewed.	ledger collapse note / appendix table, not primary graph edge	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl
REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		Global	en	join_safety;reviewed_overlay	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		Global	en	join_safety;reviewed_overlay	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		Global	en	join_safety;reviewed_overlay	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		United Kingdom	en	join_safety;reviewed_overlay	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims.	data/cases/authoritative-candidates.jsonl
REVIEW-NOMERGE-SEC-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		US;CA	en	join_safety;stable_collapse;reviewed_overlay	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims.	results/boost/limen-boost-009/candidate-cases.jsonl
REVIEW-NOMERGE-LANGCHAIN-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		Global	en	join_safety;reviewed_overlay	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims.	data/cases/security-agentic-candidates.jsonl; sources/sources.md
REVIEW-NOMERGE-FILEREAD-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		Global	en	join_safety;reviewed_overlay	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims.	data/cases/security-agentic-candidates.jsonl
REVIEW-SINGLETON-LIMEN-000008	no_cluster_review_row	high_document_or_authoritative_bundle	T3_authoritative_source	singleton_watch_or_limitations_row	medium	ledger_only_by_design	singleton_ledger_only	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000008	United States	en	join_safety;singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	data/cases/authoritative-candidates.jsonl
REVIEW-SINGLETON-LIMEN-000009	no_cluster_review_row	high_document_or_authoritative_bundle	T3_authoritative_source	singleton_watch_or_limitations_row	medium	ledger_only_by_design	singleton_ledger_only	0/0	0	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	Global	en	join_safety;singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	data/cases/security-agentic-candidates.jsonl
REVIEW-SINGLETON-LMWCS-20260606-002	no_cluster_review_row	low_single_source_public	T1_single_public_source	singleton_watch_or_limitations_row	low	ledger_only_by_design	singleton_ledger_only	0/0	0	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Finland	fi	singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	data/cases/multilingual-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000008	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	1/1	1		United States;Global	en	join_safety;reviewed_overlay;singleton_watch	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-IDCOLLISION-LIMEN-000009	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	1/1	1		Slovenia;Global	en;sl	join_safety;stable_collapse;singleton_watch	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-SINGLETON-LIMEN-000010	no_cluster_review_row	high_document_or_authoritative_bundle	T3_authoritative_source	singleton_watch_or_limitations_row	medium	ledger_only_by_design	singleton_ledger_only	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000010	United States	en	singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
REVIEW-SINGLETON-LIMEN-000011	no_cluster_review_row	high_document_or_authoritative_bundle	T3_authoritative_source	singleton_watch_or_limitations_row	medium	ledger_only_by_design	singleton_ledger_only	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000011	United States	en	singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
REVIEW-SINGLETON-LIMEN-000012	no_cluster_review_row	high_document_or_authoritative_bundle	T3_authoritative_source	singleton_watch_or_limitations_row	medium	ledger_only_by_design	singleton_ledger_only	0/0	0	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Global	en	singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	data/cases/security-agentic-candidates.jsonl; results/boost/limen-continuous-experiments/playwright-mcp-promotion-sync-report-v0.1.md
REVIEW-SINGLETON-AUTH-LIMEN-000012	no_cluster_review_row	high_document_or_authoritative_bundle	T3_authoritative_source	singleton_watch_or_limitations_row	medium	ledger_only_by_design	singleton_ledger_only	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Denmark	da	join_safety;singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/danish-public-sector-governance-anchor-v0.1.tsv
REVIEW-IDCOLLISION-LIMEN-000012	identifier_collision_blocker	high_document_or_authoritative_bundle	T3_authoritative_source	join_safety_schema_guardrail	high	complete_for_current_contract	graph_expected_identifier_collision	1/1	1		Denmark;Global	da;en	join_safety;singleton_watch	Safe for schema/join-safety claims that bare IDs collide across unrelated lineages.	Do not present as same-event duplication or empirical recurrence.	Figure 4 join-safety edge	Pairwise collision edges are part of the Figure 4 quality-control surface and must stay file-qualified to prevent bare-ID joins.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-FTC-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		United States	en	reviewed_overlay;singleton_watch	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
CLUSTER-DERIVATIVE-LIMEN-007-CAND-003	stable_duplicate_cluster	high_document_or_authoritative_bundle	T3_authoritative_source	lineage_count_collapse_only	high	ledger_only_by_design	ledger_only_stable_collapse	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000008	United States	en	join_safety;stable_collapse;singleton_watch	Safe for deduplicated lineage counts and provenance-preserving collapse only.	Do not present as repeated-event prevalence, new incident evidence, or graph-visible recurrence unless separately reviewed.	ledger collapse note / appendix table, not primary graph edge	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they travel as collapse metadata rather than as graph edges.	data/cases/authoritative-candidates.jsonl; results/boost/limen-boost-007/candidate-cases.jsonl; results/boost/limen-boost-007/route-priority-register.tsv; results/boost/limen-boost-007/route-gate-drift-audit.tsv
CLUSTER-DERIVATIVE-LIMEN-008-LEAD-001	stable_duplicate_cluster	low_single_source_public	T1_single_public_source	lineage_count_collapse_only	medium	ledger_only_by_design	ledger_only_stable_collapse	0/0	0	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	Finland	fi	stable_collapse	Safe for deduplicated lineage counts and provenance-preserving collapse only.	Do not present as repeated-event prevalence, new incident evidence, or graph-visible recurrence unless separately reviewed.	ledger collapse note / appendix table, not primary graph edge	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they travel as collapse metadata rather than as graph edges.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-008/candidate-cases.jsonl; results/boost/limen-boost-008/official-finnish-companion-frontier.tsv
REVIEW-SINGLETON-LIMEN-008-LEAD-007	no_cluster_review_row	low_single_source_public	T1_single_public_source	singleton_watch_or_limitations_row	low	ledger_only_by_design	singleton_ledger_only	0/0	0	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-007	unknown_or_multijurisdictional	en	residual_frontier;singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Singleton frontier rows remain ledger-only until a reviewed overlap or direct authority upgrade exists; not graph-eligible under the current Figure 4 contract.	results/boost/limen-boost-008/candidate-cases.jsonl; results/boost/limen-boost-008/status.md
REVIEW-SIDECAR-LIMEN-000013	no_cluster_review_row	high_document_or_authoritative_bundle	T3_authoritative_source	singleton_watch_or_limitations_row	medium	ledger_only_by_design	sidecar_ledger_only	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000013	United States	en	extended_sidecar;singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Extended-only sidecar rows remain ledger-only and are excluded from same-event, recurrence, and seeded-headline graph claims unless a later synchronized route explicitly says otherwise.	data/cases/authoritative-candidates.jsonl; sources/authoritative-source-ledger.tsv; results/authoritative-scout/ftc-late-disposition-resolution-board-v0.1.tsv; results/authoritative-scout/ftc-held-case-document-read-board-v0.1.tsv
REVIEW-SIDECAR-LIMEN-000014	no_cluster_review_row	high_document_or_authoritative_bundle	T3_authoritative_source	singleton_watch_or_limitations_row	medium	ledger_only_by_design	sidecar_ledger_only	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000014	United States	en	extended_sidecar;singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Extended-only sidecar rows remain ledger-only and are excluded from same-event, recurrence, and seeded-headline graph claims unless a later synchronized route explicitly says otherwise.	data/cases/authoritative-candidates.jsonl; sources/authoritative-source-ledger.tsv; results/authoritative-scout/ftc-late-disposition-resolution-board-v0.1.tsv; results/authoritative-scout/ftc-held-case-document-read-board-v0.1.tsv
REVIEW-SINGLETON-LIMEN-000015	no_cluster_review_row	high_document_or_authoritative_bundle	T3_authoritative_source	singleton_watch_or_limitations_row	medium	ledger_only_by_design	singleton_ledger_only	0/0	0	data/cases/authoritative-candidates.jsonl:LIMEN-000015	France	fr	singleton_watch	Safe as a singleton watch/limitations row showing one lineage without reviewed overlap.	Do not convert into recurrence, prevalence, or category-expansion evidence.	legend/queue note or singleton panel, not pairwise graph	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/french-cnil-warning-candidate-board-v0.1.tsv; results/authoritative-scout/french-cnil-companion-link-audit-v0.1.tsv; results/authoritative-scout/french-cnil-official-search-discovery-audit-v0.1.tsv
REVIEW-NOMERGE-RI-SPRINGER-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		unknown_or_multijurisdictional	en	research_integrity_shadow;reviewed_overlay	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims. This Springer direct-notice pair is now materialized on the extended reviewed local surface only; it must not be imported into seeded denominator counts or restated as cross-publisher or prevalence evidence.	results/boost/limen-boost-008/candidate-cases.jsonl; results/boost/limen-boost-008/notice-text-evidence.tsv; results/boost/limen-boost-008/springer-book-chapter-notice-audit.tsv; results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv; results/paper-snapshot-20260607/exports/authoritative-source-anchors.tsv
REVIEW-NOMERGE-TRUSTBOUNDARY-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	T3_authoritative_source	bounded_recurrence_overlay	medium-high	complete_for_current_contract	graph_expected_reviewed_nonmerge	1/1	1		Global	en	join_safety;reviewed_overlay;singleton_watch	Safe for bounded subtype/reviewer overlay claims that distinct cases share a narrow failure mode or actor family.	Do not flatten into same-event merge, prevalence, or cross-family generalization.	Figure 4 non-merge overlay edge when explicitly captioned	Reviewer-safe non-merge edges are allowed as subtype-preserving similarity overlays, not as same-event recurrence claims. This core trust-boundary pair is now materialized in Figure 4 while staying a bounded non-merge authorization-boundary overlay rather than a same-event duplicate or prevalence claim.	data/cases/security-agentic-candidates.jsonl; results/security/security-agentic-trust-boundary-breadth-board-v0.1.tsv; results/security/security-agentic-watch-v0.1.tsv
