target_file	row_key	field	old_value	new_value	rationale
results/boost/limen-boost-011/source-authority-balance.tsv	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	paper_claim_ceiling	Use for bounded exemplar or methods discussion; avoid prevalence or cross-country ranking rhetoric.	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	paper claim ceiling lowered to methods/limitations only
results/boost/limen-boost-011/source-authority-balance.tsv	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	duplicate_control_state	no_cluster_review_row	reviewed_not_duplicate	sync authority-balance table with reviewed non-merge LangChain control already present in duplicate ledger
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	source_family_bucket	multilingual_public_authority_with_translation_caution	multilingual_news_or_lead_surface	news-retold authority warning remains unresolved lead surface
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	authority_class	authoritative_source_translation_capped	single_public_source_translation_capped	without captured police text this remains single-source and translation-capped
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	publication_confidence_cap	medium	low	downgrade unresolved derivative to low cap
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	reviewer_safe_paper_use	bounded_exemplar_with_translation_caution	limitations_or_queue_only	paper-safe use remains limitations/queue only
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	visualization_band	translation_caution_authority	translation_caution_provisional	visual layer should show this derivative as provisional not authority-backed
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	claim_ceiling_restatement	existence_and_narrow_scope_only	methods_only_until_corroborated	keep methods-only until direct authority text exists
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-003	paper_claim_ceiling	Use for bounded exemplar or methods discussion; avoid prevalence or cross-country ranking rhetoric.	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	paper claim ceiling lowered to methods/limitations only
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-004	source_family_bucket	multilingual_news_or_lead_surface	multilingual_public_authority_with_translation_caution	resolved direct official police page should sit in authority bucket
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-004	authority_class	single_public_source_translation_capped	authoritative_public_authority_translation_caution	resolved official police page remains translation-qualified but is authority-backed
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-004	reviewer_safe_paper_use	limitations_or_queue_only	bounded_exemplar_with_translation_caution	ORION can serve as a bounded translation-caution authority exemplar
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-004	visualization_band	translation_caution_provisional	translation_caution_authority	ORION should render in authority translation band, not provisional band
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-004	claim_ceiling_restatement	methods_or_gap_discussion_only	existence_and_narrow_scope_only	keep direct-official row narrow and translation-qualified
results/boost/limen-boost-011/source-authority-balance.tsv	CLUSTER-DERIVATIVE-LMWCS-20260606-004	paper_claim_ceiling	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	Use for narrow source-supported descriptive claims with explicit translation caution and without deployment/compliance overread.	promote from provisional to authority-with-caution wording
