as_of_utc	lane_id	route_id	target_case_ids	probe_surface	query_id	query_string	query_purpose	result_count_or_state	top_public_hit	open_url	exact_row_match_state	evidence_decision	why_not_counted_for_promotion
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	DBLP	Q3	LangChain CVE-2023-29374	langchain_framework_plus_cve	0	(no hit returned)	https://dblp.org/search/publ/api	zero_hit	negative_result_keep_gap_open	No candidate work returned on this bounded surface.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	Crossref	Q3	LangChain CVE-2023-29374	langchain_framework_plus_cve	1+	Introduction to LangChain	https://doi.org/10.1007/979-8-8688-1718-2_1	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	arXiv	Q4	LlamaIndex CVE-2024-3271	llamaindex_framework_plus_cve	22	Evaluating Large Language Models for Document-grounded Response Generation in Information-Seeking Dialogues	http://arxiv.org/abs/2309.11838v1	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	OpenAlex	Q4	LlamaIndex CVE-2024-3271	llamaindex_framework_plus_cve	0	(no work returned)	https://api.openalex.org/works	zero_hit	negative_result_keep_gap_open	No candidate work returned on this bounded surface.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	DBLP	Q4	LlamaIndex CVE-2024-3271	llamaindex_framework_plus_cve	probe_error	HTTPError: HTTP Error 429: Too Many Requests		probe_error	retry_before_reuse	Probe failed; do not draw stronger literature conclusion from this surface alone.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	Crossref	Q4	LlamaIndex CVE-2024-3271	llamaindex_framework_plus_cve	1+	Charliecloud is not affected by CVE-2024-21626 or related vulnerabilities	https://doi.org/10.2172/2290297	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	arXiv	Q5	LLMMathChain safe_eval vulnerability	langchain_path_probe	22418	SoK: Automated Vulnerability Repair: Methods, Tools, and Assessments	http://arxiv.org/abs/2506.11697v1	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	OpenAlex	Q5	LLMMathChain safe_eval vulnerability	langchain_path_probe	0	(no work returned)	https://api.openalex.org/works	zero_hit	negative_result_keep_gap_open	No candidate work returned on this bounded surface.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	DBLP	Q5	LLMMathChain safe_eval vulnerability	langchain_path_probe	probe_error	RemoteDisconnected: Remote end closed connection without response		probe_error	retry_before_reuse	Probe failed; do not draw stronger literature conclusion from this surface alone.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	Crossref	Q5	LLMMathChain safe_eval vulnerability	langchain_path_probe	1+	Inpatient Medical Facilities and their Vulnerability	https://doi.org/10.36682/icsss_2021_6	topical_or_numeric_near_miss	near_miss_do_not_count	Top hit is topical, framework-level, or numeric-collision noise rather than an incident-specific scholarly match.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	arXiv	Q6	PandasQueryEngine insecure deserialization vulnerability	llamaindex_path_probe	23239	An In-depth Study of Java Deserialization Remote-Code Execution Exploits and Vulnerabilities	http://arxiv.org/abs/2208.08173v1	path_or_component_overlap_only	near_miss_do_not_count	Top hit touches a related component/path but not yet a clean row-level scholarly attach.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	OpenAlex	Q6	PandasQueryEngine insecure deserialization vulnerability	llamaindex_path_probe	0	(no work returned)	https://api.openalex.org/works	zero_hit	negative_result_keep_gap_open	No candidate work returned on this bounded surface.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	DBLP	Q6	PandasQueryEngine insecure deserialization vulnerability	llamaindex_path_probe	probe_error	RemoteDisconnected: Remote end closed connection without response		probe_error	retry_before_reuse	Probe failed; do not draw stronger literature conclusion from this surface alone.
2026-06-07T18:26:48Z	limen-boost-016	SEC-PRF-001	LIMEN-000006; LIMEN-000007	Crossref	Q6	PandasQueryEngine insecure deserialization vulnerability	llamaindex_path_probe	1+	Insecure Deserialization Detection in Python	https://doi.org/10.31979/etd.3yzt-6hxp	path_or_component_overlap_only	near_miss_do_not_count	Top hit touches a related component/path but not yet a clean row-level scholarly attach.
